,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italy or Germany?,,1.0,0.19220130275865163,0.28593138470051993,0.22863229709016863,-9.791644107217363e-17,0.08770580193070306,-0.07686483672655545,0.362659260367683,0.15094638162798857,-0.0877058019307027,0.1597524126056733,-0.24446611542714816,-0.24649440900532849,-0.0318536676743301,0.11359236684941283,0.06384778070925794,0.23078316568852528,0.33454012979849784,0.2930639344467447,0.08013097181725015,0.013791099338474045,-0.21060686063174214,-0.129173961153883,-0.16655247229446113,0.15504341823651033,-0.05194367165781697,-0.18698278636282734,0.439703910740169,0.04703903468528898,-0.05504818825631801,-0.02535915646704858,-0.08304547985373979,-0.42299852516714304,-0.15408536030154585,0.40257338627917305
Which picture best describes your relationship with Italian or German language?,,0.19220130275865163,1.0,-0.08543943856923561,0.05980957704059013,0.05577379402141191,0.31515577556289354,-0.40524996435144034,0.21489641973961654,-0.19131161585506992,-0.21254691840288154,0.16782650436677216,0.37299404656159574,-0.17680377873026998,0.11357340613838585,0.21357979133376365,0.17759559036784908,0.01859680555438996,0.045816955043078096,0.36370429652713987,0.016482972226988434,0.06991615089823366,0.40091126786732767,0.14731349460294185,0.35259155994244873,-0.0414602392615123,-0.05534409885844602,-0.07012358074610348,0.644651441709716,0.07796193376055004,-0.16560521995880081,0.13456651946696965,0.43720491878899553,-0.2666775844296063,0.21215177675266392,0.6724558437014538
Which picture best describes your relationship with Italian or German Culture?,,0.28593138470051993,-0.08543943856923561,1.0,-0.19637783977720186,0.3056703182095762,-0.24317906804669548,0.3366337871956436,0.30851602658597727,0.6190670428129477,-0.37236794794650163,0.12457698694251541,-0.39904117673042,0.21713685600796095,-0.13523945514838084,0.04921154961312461,-0.15173888289457288,-0.19496498902308285,-0.09340101528566004,0.1339874390223773,-0.03631732544473486,-0.14657953454387285,-0.1565016451548991,-0.11060715596143948,-0.035275984465518766,0.010747098003652658,-0.22616041808131135,-0.29004255219952185,0.4755082316201913,0.2775464553426555,-0.41019406170636896,-0.24499519020176755,-0.4101462471875287,-0.1373255542465912,-0.633000333687676,0.3911939192756222
I see myself as someone who  [... is reserved ],,0.22863229709016863,0.05980957704059013,-0.19637783977720186,1.0,0.01895585582337039,-0.06102897945428878,0.12225241173045645,-0.13764648339419658,-0.2150699090825246,-0.2092422152718468,0.22232341514619222,0.10661188690310547,0.02450286215250956,0.0664949223624814,-0.16937532890015497,0.17499063976147458,0.44407377380746715,0.3824333917233694,0.3458664693244941,0.13602532609803633,0.12429575016722888,-0.29309627156894735,0.09215006175108724,-0.2612201427244238,-0.2650888892148493,-0.22073871368940678,-0.07434835471731023,0.4736055089166725,-0.04136900547259703,-0.14227419001045447,-0.16763557651716032,-0.016510329410361704,0.12454817351174423,0.22440486786358244,0.3657716251836878
I see myself as someone who  [... is generally trusting],,-9.791644107217363e-17,0.05577379402141191,0.3056703182095762,0.01895585582337039,1.0,-0.37630890450319093,0.273163417830626,0.1257389226923863,0.33581736501664183,-0.37630890450319093,0.22847692344185358,0.08270910481863815,-0.05875579936119561,-0.07086632106804895,0.18953562637585894,0.02608991584827175,-0.16110299469961986,0.07974287459105825,-0.2199732641878185,0.011754135979636957,-0.013149297283804328,-0.07147323755368391,-0.166631671040734,-0.19409078514116104,-0.41391867719235775,-0.16715142339902517,-0.14784285647353954,0.24411514613726276,0.4161079604283462,-0.8135390156762908,-0.3989536152715799,-0.11877113736973445,-0.13273601259969875,-0.34280079539521996,0.05298192875245742
I see myself as someone who  [... tends to be lazy],,0.08770580193070306,0.31515577556289354,-0.24317906804669548,-0.06102897945428878,-0.37630890450319093,1.0,-0.46577582095318737,0.2024102261881838,-0.14342112903322402,0.23076923076923087,-0.21016820186917726,0.3043252434614711,-0.08107121179967633,-0.12106256360515283,-0.24906774069335913,-0.22399283234404566,-0.0867472397949362,-0.23635894458260626,0.06562572098966436,0.23246299933607217,0.1935295083178926,0.14401464504669112,-0.0799715707169418,0.5356126653579864,0.08158924398306279,0.15375694650662175,0.09599692814744815,0.01952637169799141,0.20742581191683412,0.3621034121889507,0.8396147957213255,0.43701422443753785,-0.20662970811046966,0.11154561344975752,0.09162090062385499
"I see myself as someone who  [... is relaxed, handles stress well]",,-0.07686483672655545,-0.40524996435144034,0.3366337871956436,0.12225241173045645,0.273163417830626,-0.46577582095318737,1.0,-0.3363519624783591,0.17052113498410076,0.049029033784545935,-0.07335711469272516,-0.5907269532815762,0.3243913685983293,-0.1862288388476543,-0.17859392859401757,-0.21415196681760093,0.06680963638268791,0.24155925639960812,-0.3119698068419864,-0.19123837797692766,-0.22293185322983464,0.05038565354548769,0.13592553320611733,-0.16293490931859111,-0.14734223962232604,-0.18874306884518852,0.27979974235990146,0.014779231687786921,0.10951943033259874,-0.12693810007243683,-0.2959281630614532,-0.9052647736131277,0.44224635512945354,-0.2086755258460172,-0.013893962910374046
I see myself as someone who  [... has few artistic interests],,0.362659260367683,0.21489641973961654,0.30851602658597727,-0.13764648339419658,0.1257389226923863,0.2024102261881838,-0.3363519624783591,1.0,0.2571219994860469,-0.20241022618818394,0.2031511270822352,0.11439729110421955,-0.08126680004967415,0.04200737294098323,0.14980117725462752,-0.03909283845010246,-0.14130434782608703,-0.1194858324597282,0.16857161849063337,0.44301623047899796,0.20915237704037654,-0.18123718580863396,-0.2555243629681683,-2.7094733377107667e-17,0.3066978075410737,0.0470946338605143,-0.2495927377968071,0.26424198028966894,0.5302980611161701,-0.19963735237617264,0.033442665192320746,0.2601031971418618,-0.8544038759549891,-0.24029413960365112,0.2642176819474571
"I see myself as someone who  [... is ongoing, sociable]",,0.15094638162798857,-0.19131161585506992,0.6190670428129477,-0.2150699090825246,0.33581736501664183,-0.14342112903322402,0.17052113498410076,0.2571219994860469,1.0,-0.12135633995118886,0.03444864091309665,-0.06547000501583262,-0.12144094716330087,-0.0040068298975175385,0.10716472972798707,0.16292118918710083,-0.18351045931060617,-0.12741298169365822,0.11922012330745545,0.24656171283225117,0.2995358804711236,-0.46877286264068774,-0.31732595863702523,-0.2514049304404468,-0.015602161985357611,-0.0800405739532853,-0.4107449699224091,0.14982644370438317,0.42709066788251115,-0.2700530570551945,-0.12281092252400133,-0.1358003258568892,-0.2721037880845369,-0.9731089827617141,0.018927429857652563
