,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.457357729563425,0.6153607951664195,-0.3450595285516323,-0.06877866374942135,-0.0730446684756337,0.256101275116305,-0.01096322524133792,0.12274756325774575,-0.07229058758963065,-0.06534666277174166,-0.18494445514376293,-0.09764469236341296,0.025640136810615426,-0.29444780078846344,-0.3046586854130418,-0.14981910446110971,-0.22383808092878338,0.25213610972621286,0.09213316671081735,0.222280793499659,-0.19011139137581454,-0.187959782276263,-0.23095566076928994,-0.24026316359265878,-0.2350195776989068,-0.11631646035895912,0.9020204506311442,0.3006589364452696,-0.013234211779061283,0.026069559518823636,-0.2497636231309841,-0.046433740592799845,-0.257998080974995,0.21798939758765765,0.15506350028027546,0.2881981102873437,0.032155984714220424,0.007434061696804609,0.07441598392472204,-0.05769748073044342,-0.04037417461349256,-0.028574609595569168,0.2552512530132689,0.031092225207369664
Which picture best describes your relationship with Italian or German language?,0.457357729563425,1.0,0.3523515121335779,-0.33631044581601943,0.1644521837516883,0.1938077688473591,-0.1185187897933824,0.1674278668823614,0.3124287824195087,0.01858594797156934,-0.2683905636310475,0.08333643345311179,-0.0030125401922614474,0.06644829358184473,-0.12987741717402168,-0.25767180688595115,-0.028748006132141516,-0.038672852713210734,0.1187308707911975,0.08915108166738092,0.18718478702627947,-0.1319698936772092,-0.17614301599265628,-0.004453411610614611,-0.12077449062936021,-0.099545414003466,-0.06429579932857596,0.6831658232092828,0.39422780800414275,0.11636627932061525,-0.2705893958689676,0.11428712786437425,-0.11074919766538897,-0.11225121560215837,-0.00761368597303154,-0.03388687113915785,0.10669807477212709,-0.09094052582506386,0.022362223571531115,0.13583995823409936,-0.14834052546841658,0.08781667356418421,-0.038018381288118526,0.028090800089823086,0.007814655409099402
Which picture best describes your relationship with Italian or German Culture?,0.6153607951664195,0.3523515121335779,1.0,-0.2360413694044858,-0.03964993139432856,-0.046098517879190636,0.2760799472605217,-0.21222381674397145,0.2731174260104923,0.22226403225490934,0.013878948316934885,-0.05729603242274965,-0.004740277096256316,-0.0049789230864034075,-0.3579162916575386,-0.20910023001037964,-0.23061193522769396,-0.20428990710253817,-0.1320658088955201,-0.08894600837060246,0.16805475175348525,-0.16432446676863657,-0.43399496925736997,-0.39242055136216253,-0.4776149359211916,-0.3268088603258487,-0.11411080324817162,0.8194496540905447,0.3049488778053986,-0.1525867356218326,0.04158326416237455,-0.18732552791745963,0.13568434817774352,-0.33852114743385453,0.048420172518772855,-0.03607042585600736,0.0909409681574629,-0.04292888368401769,0.015338051055048898,-0.16708330349631434,-0.07936145284451296,-0.10976067568879928,-0.05505403264719943,0.04212345588549789,-0.07608851950988842
I see myself as someone who  [... is reserved ],-0.3450595285516323,-0.33631044581601943,-0.2360413694044858,1.0,0.031382126661536,0.003555051388461511,-0.24928669338616666,-0.11004990060164076,-0.35595494917917236,0.1465979420232781,-0.11628311501344098,0.36419183387642773,0.18534061896456466,-0.07300179935734313,0.010076233321302298,0.0063912078188450945,-0.1240466135302187,-0.17321618076100642,-0.00484395467402347,0.047388573482569495,-0.1769059207868503,0.21580082087334673,-0.12521213650778915,0.15806965571183174,0.16179369718486458,0.1424940497661898,-0.04009924704866092,-0.3753381074379873,-0.871443607861029,-0.056359027906375495,-0.05573629984063074,0.3493109356590376,0.17340458776515805,0.14952260311604545,-0.10959758529571129,-0.05974606444037625,-0.3618830111570133,-0.3443038309035409,-0.301208874842836,-0.38934271512687724,-0.15327603778466806,-0.1341107753107217,-0.15645526715653363,-0.2096375254856854,-0.27737384235464846
I see myself as someone who  [... is generally trusting],-0.06877866374942135,0.1644521837516883,-0.03964993139432856,0.031382126661536,1.0,-0.15394492534307366,-0.30142123614155925,0.14477490863676393,0.18010481875979342,-0.12535592767801948,0.16343476894270717,0.09348457946753452,0.05470382573480966,0.08003057987406263,0.21172259295012963,0.25503907346392857,-0.13745236491965437,0.12420728604406073,0.005310341729361524,0.1323919051574062,0.20997888165825207,0.06958194658468358,0.36479400679813023,0.03850865874685182,-0.01326142542654738,0.28214107652219556,-0.1978204249663705,-0.0008148049910157458,0.07304761312861786,0.8385162005756613,0.19225001675058687,0.22235422816283065,-0.06431967704109727,0.022166564186742743,0.3555120090199396,0.48262091260830736,0.2783232346485609,0.20445435436431406,0.5265510101145872,0.19025346994204187,0.2809114770651107,0.30697165857823855,0.2815772528243592,0.4216515742606634,0.4185256729361991
I see myself as someone who  [... tends to be lazy],-0.0730446684756337,0.1938077688473591,-0.046098517879190636,0.003555051388461511,-0.15394492534307366,1.0,0.05975515911730319,-0.18450550729203233,-0.3315447917129979,0.14200655345956353,-0.2971549725336126,0.021511310497803953,0.05975674660195298,-0.0714825420921511,-0.0391051672581322,0.04286103065529628,0.39258727694988504,0.09741139022890477,0.14287281296048263,-0.014238332018252068,0.11645704208407189,-0.26090841101608686,-0.26680085145383103,-0.043623640367744465,0.05633586760717712,-0.02166894716748141,-0.23508138912690188,0.00346137346650851,-0.17645283124351413,-0.19647799569665403,-0.9002664217312288,-0.020990735588818903,0.15301241220413392,-0.24135395968962398,-0.11047204436848775,-0.14937332635225123,0.1685331638669413,-0.21379511118122302,-0.096045175801851,0.026706263046805612,0.0054490419094425585,-0.18668454406903054,-0.02064453180531968,-0.027516498987874942,-0.060783464140994746
"I see myself as someone who  [... is relaxed, handles stress well]",0.256101275116305,-0.1185187897933824,0.2760799472605217,-0.24928669338616666,-0.30142123614155925,0.05975515911730319,1.0,-0.12684179412452376,0.18409466334041985,0.10982822175849277,0.07732274974662354,-0.5511506709877286,-0.17345270388987089,0.008989394455758908,-0.15001040691020087,-0.19643749776130312,-0.14733003091329044,0.01778818884125419,0.04652555326810977,0.1262704908110737,0.12520113868302715,-0.15931639068405207,-0.13838669185262387,-0.3677510887586157,-0.06826013693496151,-0.13965681376463604,-0.10081816373732871,0.2048824005895343,0.26729112186577536,-0.2923134031975204,-0.010445656490326853,-0.8766515049889865,-0.012522770401498717,-0.26988236533138393,-0.04181841797661896,-0.10721993280000372,0.09700016241553139,-0.04133741772765994,0.04039875290708397,-0.13479903133817117,-0.11013377382935174,-0.08209973401551533,0.0012522770401498596,-0.015278902712683584,-0.06380778799996407
I see myself as someone who  [... has few artistic interests],-0.01096322524133792,0.1674278668823614,-0.21222381674397145,-0.11004990060164076,0.14477490863676393,-0.18450550729203233,-0.12684179412452376,1.0,0.1435423129408037,0.16907477217574068,0.14901331800916112,0.04780838410827139,-0.3836674709508444,-0.09354961244045903,0.07101814636093111,0.058969013670189384,-0.27177375577325785,-2.794709869157333e-17,-0.2420879124967811,0.11165938337815288,0.035794677176069274,-0.022774069123403493,0.19122789584901564,0.06752050479401986,0.08138334568888969,-0.2291839462485177,-0.013602171244697814,-0.037145338175945,0.1506830464489407,0.01857147451205309,0.20904700558433056,0.09845266903290255,-0.8621187130060359,0.011987566898500968,0.13275034063087587,0.14506633218414222,0.25883285890728586,0.45124262819714017,0.3703418746652828,0.4351142364386695,0.47230435623884964,0.3682691336237258,0.48619485559061343,0.20748941509637298,0.5017622123945168
"I see myself as someone who  [... is ongoing, sociable]",0.12274756325774575,0.3124287824195087,0.2731174260104923,-0.35595494917917236,0.18010481875979342,-0.3315447917129979,0.18409466334041985,0.1435423129408037,1.0,0.168267728082447,0.0,-0.1784256768544545,3.788160683662163e-17,0.18799658842186978,-0.048190333404514604,-0.27509782995684773,-0.3061998101155819,-0.10941386125544544,-0.16216600817572796,-1.1869636259718454e-17,-0.07633675404193244,-0.024284316138063984,-0.049219424565051025,-7.07328373294695e-17,-0.10847528412541059,-0.0625856661269809,0.32150954600383985,0.2665963878371747,0.7685644315597276,0.046207068373809,0.25355991637210706,-0.20576372293827533,-0.09353236530393359,0.08475362743855681,0.17232610935085982,0.11279209961256637,-3.581933702817759e-18,0.14969623771302393,0.2336033173479695,0.15156305744429138,0.016787496689238905,0.08457952516008878,0.05611941918236018,0.1059665954435762,0.13195421379817002
I see myself as someone who  [... tends to find fault with others],-0.07229058758963065,0.01858594797156934,0.22226403225490934,0.1465979420232781,-0.12535592767801948,0.14200655345956353,0.10982822175849277,0.16907477217574068,0.168267728082447,1.0,-0.059550382966572966,0.1965160359875252,-0.18618099147452866,-0.16392038661790329,-0.07998302309547248,-0.06873376531864409,-0.26640015461680305,-0.2359932619490586,-0.27535372184001344,-0.09629083542170927,-0.0531316412561832,-0.003900527308924875,-0.18973402443361861,-0.03777662803043022,-0.13009332233180473,-0.008935519387635808,-0.14676803372849692,0.054810236417356495,-0.012043531735938697,-0.6456915648703885,-0.13575529882953088,0.05193509127091451,-0.21232638418196073,-0.09971008106635265,0.03690517461241736,0.03140206548397196,0.19394569993209707,0.19836373585187614,-0.03960568659995859,-0.19938843045588264,0.06651105703411514,-0.17660623816761928,0.0300461864408435,0.10386728417607913,-0.04118624119978312
I see myself as someone who  [... does a thorough job],-0.06534666277174166,-0.2683905636310475,0.013878948316934885,-0.11628311501344098,0.16343476894270717,-0.2971549725336126,0.07732274974662354,0.14901331800916112,0.0,-0.059550382966572966,1.0,0.0545871520432686,-0.05568658719990465,-0.19789147161464704,-0.014868185427912746,0.06989793034892904,-0.15699017934137405,-0.1344626799248564,-0.08072575796600132,-0.024679463699765643,-0.006927121575419308,0.33363443905438844,0.12416535901679385,0.11890809808103159,0.019687016837318185,0.04240536086110404,-0.05343657764521392,-0.1110900752362779,0.07960885891312022,0.1584963757762792,0.6831934169256979,-0.011736607103560422,-0.1276523675964568,0.19739904030194488,-0.17514116182737968,-0.08597597069957232,-0.004382902626769477,0.11206860209138352,0.26568358130146114,-0.004715477533436256,0.05301323474718498,0.19648270508443927,0.20098457876888942,-0.0991173193820322,0.137166980174766
I see myself as someone who  [... get nervous easily],-0.18494445514376293,0.08333643345311179,-0.05729603242274965,0.36419183387642773,0.09348457946753452,0.021511310497803953,-0.5511506709877286,0.04780838410827139,-0.1784256768544545,0.1965160359875252,0.0545871520432686,1.0,0.026543909128816913,-0.30435933008835037,-0.20271362550339267,0.005949638364999076,-0.028972527167276302,-0.09431524828124098,-0.05411142191041107,-0.20112412748033556,-0.14652288297349542,0.22400015448066785,-0.03459579359129642,0.3389867766578632,-0.08680323778255256,-0.1155039918813709,0.04720993319653301,-0.09317491850912694,-0.34298110289897643,-0.035976119782066635,0.008436661949063349,0.8846212837095833,-0.01658743270480606,0.2332803903980181,-0.07640263701366656,0.008781821112963132,-0.06398117313646705,-0.13354826268255812,-0.1183061942800538,-0.06883606828159924,-0.046835919911702835,-0.024237316009394324,-0.14119546375554443,-0.051653131227811636,-0.0962405456054581
I see myself as someone who  [... has active imagination],-0.09764469236341296,-0.0030125401922614474,-0.004740277096256316,0.18534061896456466,0.05470382573480966,0.05975674660195298,-0.17345270388987089,-0.3836674709508444,3.788160683662163e-17,-0.18618099147452866,-0.05568658719990465,0.026543909128816913,1.0,-0.1631451964248299,0.008364004341839421,-0.28647896143928103,0.07971691707689663,-0.20346508149767245,-0.04825000370670621,-0.1560749079347778,-0.17720737748155246,-0.0642761773334126,-0.21356538318033202,0.06706251923967212,-0.08660499613148814,0.08508946737291505,-0.02790089888096736,-0.053674322170361506,-0.12688648033134403,0.14435613280874407,-0.07109038413075225,0.1122400285647508,0.798695685803681,-0.04258062125280729,0.059818483293077,-0.013703485345826917,-0.05064700640926344,4.655297548331748e-18,0.06588502115702582,-0.07515876442246637,0.011654677216593388,0.17799233832840683,0.04870095645144399,-0.002829501596194768,0.04848448700495021
