Nationality,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination]
German,2,5,4,1,5,3,4,4,5,3
Italian,4,4,2,5,2,4,1,5,1,5
German,3,4,2,1,4,4,1,5,5,4
Italian,3,2,4,4,1,5,2,3,3,5
German,4,5,3,2,5,5,2,4,5,2
Italian,1,4,5,5,1,4,2,4,1,5
German,3,2,4,3,4,4,4,3,3,4
German,4,4,3,2,4,4,2,3,4,4
Italian,4,3,3,4,5,4,3,4,4,5
Italian,5,3,4,1,2,1,2,4,5,5
German,5,5,4,2,4,4,2,5,4,2
German,5,3,4,5,2,2,3,4,4,4
Italian,4,1,2,4,4,4,2,3,2,4
German,4,3,5,2,5,4,3,5,4,5
Italian,3,2,4,4,4,3,4,4,1,3
Italian,2,2,4,4,4,3,4,5,2,1
Italian,4,4,2,5,1,5,2,5,2,5
Italian,2,4,1,1,4,5,3,4,4,5
Italian,2,4,1,2,4,5,1,4,2,3
Italian,3,3,2,4,4,4,1,4,1,4
Italian,4,3,2,3,3,4,3,4,3,4
Italian,1,5,2,3,4,4,1,4,1,4
Italian,4,4,3,5,4,4,2,3,1,4
Italian,3,3,1,2,3,4,2,3,4,3
Italian,2,4,4,4,3,4,2,4,2,3
German,2,5,4,2,5,5,2,5,5,5
German,4,4,3,3,1,3,2,4,4,4
Italian,4,4,2,2,4,5,3,4,4,3
German,4,4,3,4,2,3,2,4,4,4
German,4,5,2,3,3,4,1,4,4,4
German,4,3,1,2,2,3,3,5,3,5
German,4,2,1,5,1,3,4,5,1,5
German,4,5,3,5,1,5,2,3,3,5
Italian,2,4,2,2,4,4,2,4,4,4
German,5,4,2,2,3,2,2,4,3,4
German,4,3,2,3,4,4,2,5,2,4
Italian,4,5,2,4,4,4,3,3,2,5
Italian,5,5,5,1,4,3,2,5,5,5
Italian,4,5,1,2,4,5,2,4,2,5
German,2,4,5,5,3,4,2,4,1,3
German,4,4,1,4,3,4,2,4,2,4
Italian,4,4,2,4,3,4,4,4,3,3
Italian,2,4,1,5,2,4,2,4,1,2
German,3,4,2,2,4,4,4,4,3,5
German,4,3,4,4,3,4,2,4,5,4
German,5,4,4,3,2,1,1,2,2,4
Italian,4,5,3,3,4,4,2,4,2,2
Italian,5,5,4,3,3,3,2,4,4,4
German,2,3,1,4,2,5,2,5,1,4
Italian,2,4,4,4,4,4,3,4,2,3
Italian,4,4,4,4,5,5,4,4,3,3
Italian,3,2,4,4,4,4,3,3,4,2
German,2,3,3,4,2,4,3,3,3,3
Italian,3,2,4,3,4,2,2,4,3,3
German,5,4,2,2,3,2,1,4,4,4
Italian,1,4,3,5,4,5,3,5,1,4
German,4,4,3,3,1,4,5,5,5,4
German,3,5,1,5,5,5,3,5,1,5
German,4,4,2,4,2,4,4,4,3,4
German,3,4,3,2,4,4,3,4,2,4
German,4,4,3,4,4,3,3,3,2,5
German,4,5,1,5,3,4,3,5,4,3
German,5,5,1,3,4,1,2,4,2,5
Italian,4,5,4,2,4,5,3,2,4,4
Italian,5,5,1,1,3,4,3,4,4,3
German,5,4,3,2,1,1,2,4,5,4
German,4,5,2,2,4,4,1,4,4,4
Italian,2,3,1,5,4,5,3,5,4,2
German,4,5,3,5,4,3,1,5,3,5
German,4,5,1,4,1,3,2,5,3,5
German,4,5,2,5,5,2,2,4,3,3
Italian,4,2,5,3,1,4,3,2,1,5
Italian,5,3,1,5,3,3,2,5,1,4
German,4,5,2,4,1,4,2,3,3,2
German,2,5,3,4,2,4,3,3,2,4
Italian,4,3,2,3,3,5,3,5,4,5
Italian,4,4,2,4,1,3,2,3,4,4
German,4,5,4,3,5,5,4,3,5,5
German,2,4,2,2,4,4,3,4,4,4
German,5,4,3,3,4,3,3,4,5,5
German,4,2,4,1,1,2,3,4,4,4
