dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,9.900011109876674,8.839329578563277e-05,,81,3,
mean_cultural_closeness,paired_ttest,A,B,-1.280188645233332,0.2041784523418502,0.6125353570255506,81,3,
mean_cultural_closeness,paired_ttest,A,F,-4.904832457554184,4.826075331049538e-06,1.4478225993148612e-05,81,3,
mean_cultural_closeness,paired_ttest,B,F,-2.7445198621758364,0.00747941538668156,0.02243824616004468,81,3,
mean_cultural_closeness,wilcoxon,A,B,,0.10276505742159693,0.3082951722647908,81,3,
mean_cultural_closeness,wilcoxon,A,F,,1.1555304483681134e-05,3.46659134510434e-05,81,3,
mean_cultural_closeness,wilcoxon,B,F,,0.01590763175310762,0.047722895259322856,81,3,
mean_competence,rm_anova,,,13.571014199883852,3.5965990050734607e-06,,81,3,
mean_competence,paired_ttest,A,B,-4.676971138139036,1.1655901083592625e-05,3.4967703250777876e-05,81,3,
mean_competence,paired_ttest,A,F,-3.5003041349361266,0.0007627645835210601,0.0022882937505631805,81,3,
mean_competence,paired_ttest,B,F,1.7875757930328573,0.07763151719827109,0.23289455159481326,81,3,
mean_competence,wilcoxon,A,B,,2.927683471786832e-05,8.783050415360496e-05,81,3,
mean_competence,wilcoxon,A,F,,0.0005124538815592015,0.0015373616446776044,81,3,
mean_competence,wilcoxon,B,F,,0.03400435004574542,0.10201305013723624,81,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,8.445404071560755,0.0003259697714662599,,81,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,0.6504244907218675,0.5172816880272216,1.0,81,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-3.676894487556816,0.00042596714147664135,0.001277901424429924,81,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-3.5379532558753297,0.0006746616692158256,0.0020239850076474767,81,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,B,,0.5330009545920842,1.0,81,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,F,,0.0006508244492532155,0.0019524733477596465,81,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,B,F,,0.0008321162883510213,0.0024963488650530637,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,3.690036900369005,0.027120532448429775,,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,0.0,1.0,1.0,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-2.7557517448461057,0.007249187585945474,0.021747562757836424,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-2.185094306335153,0.03180776333384552,0.09542329000153657,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,A,B,,0.8928929106573903,1.0,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,A,F,,0.006507266952661903,0.01952180085798571,81,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,B,F,,0.0391769683354353,0.11753090500630589,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,8.51186196980589,0.000306959312039156,,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-3.0027565647583723,0.0035692792339786727,0.010707837701936018,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-4.326695332996118,4.336412889373953e-05,0.00013009238668121857,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,-0.7695723712471176,0.4438199681159868,1.0,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,B,,0.004858782462281902,0.014576347386845705,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,F,,0.00010977961706864688,0.0003293388512059406,81,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,B,F,,0.5301025726353931,1.0,81,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.905763047242144,0.0013283508296181774,,81,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2846523918264916,0.0015164842992750926,0.0045494528978252775,81,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.002858752327098,0.0035682040080775137,0.010704612024232542,81,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.5307448924342753,0.5970659109370215,1.0,81,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.0005742319827505821,0.0017226959482517464,81,3,
