Analysis_Level,Variable,Group_A,Group_B,N_A,N_B,Mean_A,Mean_B,KS_p_value,Cliff_d,Magnitude
Global_Paradigm,Culture_Closeness_Q1,A,B,4,4,1.75,1.75,1.0,-0.062,Negligible
Global_Paradigm,Culture_Closeness_Q2,A,B,4,4,1.75,2.0,1.0,0.062,Negligible
Global_Paradigm,Culture_Closeness_Q3,A,B,4,4,2.5,2.0,1.0,0.25,Small
Global_Paradigm,Competence_Q1,A,B,4,4,5.0,3.75,0.7714,0.375,Medium
Global_Paradigm,Competence_Q2,A,B,4,4,5.5,6.5,1.0,-0.25,Small
Global_Paradigm,Competence_Q3,A,B,4,4,5.25,5.5,1.0,-0.062,Negligible
Global_Paradigm,Competence_Q4,A,B,4,4,3.5,4.75,0.2286,-0.688,Large
Global_Paradigm,Competence_Q5,A,B,4,4,5.0,5.0,0.7714,-0.125,Negligible
Global_Paradigm,Competence_Q6,A,B,4,4,4.25,4.25,1.0,0.062,Negligible
Global_Paradigm,Culture_Closeness_Q1,A,F,4,4,1.75,2.25,0.7714,-0.375,Medium
Global_Paradigm,Culture_Closeness_Q2,A,F,4,4,1.75,2.0,1.0,-0.25,Small
Global_Paradigm,Culture_Closeness_Q3,A,F,4,4,2.5,3.75,0.7714,-0.5,Large
Global_Paradigm,Competence_Q1,A,F,4,4,5.0,4.75,1.0,0.25,Small
Global_Paradigm,Competence_Q2,A,F,4,4,5.5,6.0,0.7714,-0.062,Negligible
Global_Paradigm,Competence_Q3,A,F,4,4,5.25,6.5,0.7714,-0.438,Medium
Global_Paradigm,Competence_Q4,A,F,4,4,3.5,4.5,0.7714,-0.5,Large
Global_Paradigm,Competence_Q5,A,F,4,4,5.0,5.5,0.7714,-0.125,Negligible
Global_Paradigm,Competence_Q6,A,F,4,4,4.25,5.0,1.0,-0.375,Medium
Global_Paradigm,Culture_Closeness_Q1,B,F,4,4,1.75,2.25,1.0,-0.438,Medium
Global_Paradigm,Culture_Closeness_Q2,B,F,4,4,2.0,2.0,0.7714,-0.25,Small
Global_Paradigm,Culture_Closeness_Q3,B,F,4,4,2.0,3.75,0.7714,-0.688,Large
Global_Paradigm,Competence_Q1,B,F,4,4,3.75,4.75,0.7714,-0.438,Medium
Global_Paradigm,Competence_Q2,B,F,4,4,6.5,6.0,1.0,0.188,Small
Global_Paradigm,Competence_Q3,B,F,4,4,5.5,6.5,0.7714,-0.375,Medium
Global_Paradigm,Competence_Q4,B,F,4,4,4.75,4.5,1.0,0.062,Negligible
Global_Paradigm,Competence_Q5,B,F,4,4,5.0,5.5,1.0,-0.25,Small
Global_Paradigm,Competence_Q6,B,F,4,4,4.25,5.0,0.7714,-0.375,Medium
