,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.7819747213958942,0.7310467945470582,0.6300315023626969,0.49610389610389605,0.44116348839243136,0.5215311004784692,0.555192892821178,0.5394636030549039,0.9206649928399288,0.6592690172112876
Which picture best describes the relationship between Pepper and your national culture? ,0.7819747213958942,1.0,0.7086456870251255,0.6095389952169276,0.34267078062922623,0.39931773379241886,0.5239255882778434,0.43418799547885883,0.49889117557167806,0.9132942328437541,0.5840744040917005
Which picture best describes the relationship between Pepper and your own preferences? ,0.7310467945470582,0.7086456870251255,1.0,0.7015148220610952,0.511853192228171,0.5822546568767358,0.6050326588009776,0.612299445247616,0.6901561759753855,0.8942860182789022,0.749907333474152
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.6300315023626969,0.6095389952169276,0.7015148220610952,1.0,0.7414656456377318,0.7087994136556195,0.8068824503943316,0.6611132536112377,0.7854348124641645,0.7114745882797526,0.8710164198815892
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.49610389610389605,0.34267078062922623,0.511853192228171,0.7414656456377318,1.0,0.7060511253541598,0.6349965823650034,0.5355689908657904,0.6573296003610174,0.4947911669773128,0.8105126683768871
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.44116348839243136,0.39931773379241886,0.5822546568767358,0.7087994136556195,0.7060511253541598,1.0,0.6738785378689297,0.7466014278436455,0.8153222542129129,0.5214573660796531,0.8992257761541296
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.5215311004784692,0.5239255882778434,0.6050326588009776,0.8068824503943316,0.6349965823650034,0.6738785378689297,1.0,0.5437456166805351,0.7961124379448015,0.6050031092457557,0.8422264325695304
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.555192892821178,0.43418799547885883,0.612299445247616,0.6611132536112377,0.5355689908657904,0.7466014278436455,0.5437456166805351,1.0,0.7492199685877048,0.5868825808173957,0.8249907146563097
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5394636030549039,0.49889117557167806,0.6901561759753855,0.7854348124641645,0.6573296003610174,0.8153222542129129,0.7961124379448015,0.7492199685877048,1.0,0.6335421309333755,0.926348578342952
mean_cultural_closeness,0.9206649928399288,0.9132942328437541,0.8942860182789022,0.7114745882797526,0.4947911669773128,0.5214573660796531,0.6050031092457557,0.5868825808173957,0.6335421309333755,1.0,0.730501960533912
mean_competence,0.6592690172112876,0.5840744040917005,0.749907333474152,0.8710164198815892,0.8105126683768871,0.8992257761541296,0.8422264325695304,0.8249907146563097,0.926348578342952,0.730501960533912,1.0
