Valore_Risposta,Language,Robot_You_Q1,Robot_You_Q2,Robot_You_Q3,Robot_You_Q4,Robot_You_Q5,Robot_You_Q6
1.0,Deutsch,4.0,0.0,0.0,0.0,1.0,3.0
2.0,Deutsch,7.0,4.0,2.0,3.0,3.0,3.0
3.0,Deutsch,4.0,7.0,9.0,4.0,6.0,8.0
4.0,Deutsch,4.0,4.0,6.0,7.0,6.0,2.0
5.0,Deutsch,0.0,4.0,2.0,5.0,3.0,3.0
1.0,Italiano,4.0,0.0,0.0,0.0,1.0,1.0
2.0,Italiano,5.0,6.0,1.0,1.0,3.0,7.0
3.0,Italiano,6.0,3.0,6.0,7.0,4.0,1.0
4.0,Italiano,1.0,6.0,8.0,8.0,6.0,4.0
5.0,Italiano,1.0,2.0,2.0,1.0,3.0,4.0
2.0,English,1.0,1.0,0.0,0.0,1.0,1.0
3.0,English,2.0,0.0,2.0,0.0,1.0,0.0
4.0,English,0.0,2.0,0.0,3.0,0.0,1.0
5.0,English,0.0,0.0,1.0,0.0,1.0,1.0
