,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.3181423814878888,0.38636363636363646,0.1195228609334393,-0.22453877415237664,-0.239904057561627,0.04867923835112353,0.04724555912615341,-0.09735847670224707,-0.026425821129084575,0.12407291674636634,-0.2328451577118998,-0.20194517395039005,-0.14608717744769437,0.12430275254090703,-0.05037927218598788,0.011399018814688857,0.2062842492517588,0.11920399101642999,0.0671913140683394,0.11572751247156894,0.18057877962865398,0.36321044052206786,-1.8114749998324344e-17,0.1360827634879543,0.16099765650087267,0.29247792676634055,0.05612135332663133,0.4202090316165288,-0.33277179254062655,0.1507556722888819,-0.2283577002507331,-0.1507556722888818,-0.1468446196428704,-0.011466261430667932,0.27725200001310496,0.0677534143499636,0.10109587962126505,0.3118304103725959,0.17202460187251095,0.24734296727668906,0.34803592302542047,0.033296357910601364,0.1135651217545698,0.2621774327378431,0.1806950345686742,0.24636993484761496
Which picture best describes your relationship with Italy or Germany?,0.3181423814878888,1.0,0.17931661502044624,0.3688452899102183,-0.11429648055233319,-0.00763236482012626,-0.0371686291633033,0.27656699039023214,0.18584314581651634,0.026902955733695562,0.06315656513894018,-0.04938527532825792,-0.2629197959964581,-0.2894823403798749,0.001581838948754673,-0.11219447141613702,-0.19438098918890684,0.014438107710487143,0.11756390891296653,0.12398314710341264,-0.09818087045699782,-0.030639873598525942,0.010271345291462713,-0.28070584158206713,-0.16971128226560278,-0.10244035570631338,-0.07443969932326738,-0.1642621451968514,0.8516795632478528,-0.06267433585795418,0.09592353720958507,-0.039316612695150806,0.0047961768604794066,-0.3165110421876424,-0.29037313597790876,-0.14184514667031348,0.24659186088946702,0.1672469962868755,0.3189869553791265,0.03348085245576223,0.03525324573285171,0.026334589218185378,-0.06355789560331075,0.026276275119244265,0.1029929121821822,0.268861101241495,0.06942292147950067
Which picture best describes your relationship with Italian or German language?,0.38636363636363646,0.17931661502044624,1.0,-0.010865714630313078,-0.1633009266562738,0.02180945977832958,0.13276155913942803,-0.3006535580755217,0.18586618279519893,-0.22101595853416114,-0.3564276517441067,0.014111827740114982,0.005648816054556472,-0.003794472141498626,-0.1197826524485105,0.04579933835089779,-0.10984509039609229,0.10501743598271357,0.005418363228019525,0.1496533813340284,0.00701378863464067,0.1696346111663113,0.3118473479229877,0.008533150081162661,0.27711399110274354,-0.08556518807039375,0.08092274653614152,0.040815529692095724,0.5627633150695862,-0.1984529962787739,0.013705061117171059,0.20759790931884825,-0.09593542782019752,0.17854970797485392,-0.13342558755686365,0.2765211255685425,0.06405777356723838,0.05284557343838856,0.2006181661138379,0.13062830730425976,0.16369607288857246,0.11458676581180936,0.12713154838593244,0.17269406944496557,0.333680368939073,0.11877855419199547,0.208374571518843
Which picture best describes your relationship with Italian or German Culture?,0.1195228609334393,0.3688452899102183,-0.010865714630313078,1.0,-0.13212315902611416,-0.11469607723722465,-0.10472907304416766,0.2597585220852598,-0.10472907304416748,0.27163011797226155,0.18388641967613878,-0.12987482388637936,-0.051987524491003585,0.30431605744245893,0.032685445332299085,-0.04215032320389586,-0.26431400806974803,-0.12327841818038446,-0.17809502551209616,-0.07629353182958953,-0.17520638947128775,-0.02877772315344767,0.009647100216020565,-0.24681737553493563,-0.07156600534955904,-0.3582139940824887,-0.27966238853595193,0.046954492963387696,0.5757452501212796,0.09386625457047505,0.22523436567388969,-0.17660801303037219,0.0180187492539113,-0.18209462391863554,0.24120454519113693,-0.051313034580436165,0.05182772429514496,0.08458288132641333,0.03727086277378101,-0.07014885934534273,-0.01655535788517847,-0.04272252623376015,-0.14326833442099776,-0.12339662049418677,-0.02997375349244569,0.06313024034987359,-0.06415204311140317
I see myself as someone who  [... is reserved ],-0.22453877415237664,-0.11429648055233319,-0.1633009266562738,-0.13212315902611416,1.0,0.10359185192128645,0.05044789156630443,-0.16973535888528188,-0.1513436746989136,-0.3541915592508168,0.10972231141115651,-0.10188436505835786,0.3777815781134389,0.0057674260647887655,-0.0034351738682217793,-0.1322645540721736,0.09608050731236709,-0.18527524981573287,-0.08853342113282352,-0.018568683439497843,0.10127609475596508,-0.07069722490951301,-0.07249317962148433,-0.19779253423232793,-0.16735207777353384,-0.008556264244286793,-0.012299891531751003,-0.11438211890835681,-0.192600946119067,0.3844065380243278,-0.8957361450137273,0.010208628758517841,-0.08853206084438006,0.3221141140350949,0.11011452914450705,-0.15542230002986,0.1132803385191534,0.021826870078860673,-0.08120432867068085,-0.21742526867085654,-0.3472412064873815,-0.2735976927792686,-0.1173207670271526,-0.05064290626550469,-0.2378386328552039,0.015364938814663841,-0.21869480479490877
I see myself as someone who  [... is generally trusting],-0.239904057561627,-0.00763236482012626,0.02180945977832958,-0.11469607723722465,0.10359185192128645,1.0,-0.15765768179249542,-0.11334401336131936,0.2277277625891598,0.12045357255203773,-0.3512340346993185,0.19551174341531613,0.12670875889333558,0.005006700946775279,-0.09244427757199163,0.1933790690307215,-0.06016275904903403,-0.2053769778871863,0.0750684929462508,-0.10074668048682668,0.09254499937814384,0.05776210925658774,-0.09197652834276723,0.3659257974252571,0.003264680712496005,-0.1812356503231397,0.0762680884548451,-0.016829675473635557,-0.03442287619326488,0.39597318423185895,-0.018083448741266932,0.8620413909732956,0.217001384895202,0.14091448033367354,-0.15817115193107875,-0.03371157079488991,0.02763234232755765,0.16219402215360326,0.12372320657454601,0.07161454704084375,-0.059338581459010546,-0.06657052130471983,0.059909485235830715,-0.008668778842946073,0.1422028850249891,0.1167101168537859,0.027177813143781326
I see myself as someone who  [... tends to be lazy],0.04867923835112353,-0.0371686291633033,0.13276155913942803,-0.10472907304416766,0.05044789156630443,-0.15765768179249542,1.0,0.07359609067949185,-0.14691943127962093,-0.32416998903244887,-0.15945006230248854,-0.21913801533580896,-0.018148684166012615,0.08533695037223041,0.02178346794710258,-0.05885819036874801,-0.0665874664619015,0.2831776358749321,0.020309658218828804,0.3238113772731322,0.10515917371654113,0.11720583272931016,-0.03536161521158057,-0.26044780367263215,0.15633596459170893,0.0795781626854412,-0.0074283144571311785,-0.1830402972567054,-9.571483792406998e-17,0.18661337171269374,-0.19080545390749296,-0.019616962799682076,-0.8806405564961218,-0.0536121318013153,0.15070559575854092,-0.0313201837230242,-0.45514947566171526,-0.29896717803930345,-0.10509000141915871,-0.062066314776349656,-0.005779424284097266,-0.12912645594004263,-0.165325816981357,-0.06935458008877987,-0.0799049597542818,-0.3058335145229319,-0.14284639680224195
"I see myself as someone who  [... is relaxed, handles stress well]",0.04724555912615341,0.27656699039023214,-0.3006535580755217,0.2597585220852598,-0.16973535888528188,-0.11334401336131936,0.07359609067949185,1.0,-0.25758631737822163,0.15980834491024826,0.0656532164298613,-0.05867146488488572,-0.4520972150897325,0.1025435599266432,-0.08926584627966858,-0.20945732568601827,-0.27573914490343227,0.02728884114549077,0.06758231046768241,0.03174491201579682,0.014580296087995138,-0.0682523632789935,-0.04576021424779086,-0.05321625496333063,-0.1954509099519832,0.03744701193542956,0.019225437470794943,0.053029694336662186,0.13170777796132707,0.125775915199954,0.19943100880436643,-0.1116967148425344,-0.08547043234472834,-0.8498751295626062,0.23836117024656464,-0.08230509772971879,-0.16389365471590284,0.01910532543222784,-0.19945676676492646,-0.16828495715412295,-0.29541845952250045,-0.2275376678652248,-0.3649603707534046,-0.24193291332400632,-0.15079484486906458,-0.1260854834143994,-0.29182855347400677
I see myself as someone who  [... has few artistic interests],-0.09735847670224707,0.18584314581651634,0.18586618279519893,-0.10472907304416748,-0.1513436746989136,0.2277277625891598,-0.14691943127962093,-0.25758631737822163,1.0,-0.015436666144402235,-0.01449546020931715,0.4004936142344093,0.09074342083006288,-0.2560108511166911,-0.07987271580604206,0.17657457110624383,0.053269973169521215,-0.13857628989624338,-0.008704139236641019,0.049062329889868514,0.1352046519212669,0.11720583272930975,0.09822670892105743,0.27872484252685215,0.22522977949653,0.19532821750062837,-0.18570786142827583,0.06283472890901838,0.167634953270038,0.31102228618782285,0.10274139825788092,0.1608590949573933,0.30822419477364266,0.20372610084499806,-0.8473003494869074,0.17502850261210198,0.1543550395722339,-0.011072858445900101,0.10509000141915874,0.014777693994368981,0.07513251569326525,-0.11264222752216493,0.2820263936740796,0.009046249576797349,0.07990495975428186,0.08931421220581191,0.07774099256253945
"I see myself as someone who  [... is ongoing, sociable]",-0.026425821129084575,0.026902955733695562,-0.22101595853416114,0.27163011797226155,-0.3541915592508168,0.12045357255203773,-0.32416998903244887,0.15980834491024826,-0.015436666144402235,1.0,0.057705625206297406,0.09024582583086577,-0.08210103145684391,0.15441894481942395,-0.04467331134118448,0.02928889997880826,-0.2578515380008946,-0.2507566109338252,-0.11655234374550741,-0.17755856469980824,-0.23650037809157265,-0.1654273410460727,-0.021329186963227074,-0.0644917123457551,0.02013815309343137,-0.1937431693502431,-0.07527344088838903,0.28771225183915183,0.010833530445194308,0.13647927728782214,0.7330270071385603,0.04969620962579391,0.29480433982746435,-0.14163787231445937,0.09574969805322416,0.07462582019699644,0.035808792169937896,0.04942352018754173,-0.0177484992399404,-0.01176583645829039,0.09621346767884038,0.03479997045327518,0.03167580954223904,-0.04474295103765344,-0.15422895730894629,0.023507764491941027,0.00023251885106671471
