,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,,0.03378686891997413,-0.11568015734921523,-0.06187437366864418,0.6465944642798107,-0.11123379096642266,0.14863787373182358,0.5415276135764961,-0.018505830254940157,-0.1860950518521161,0.27592167609350815,-0.6638642459409426,-0.38741365346641804,-0.4276532841238291,-0.21504317102911205,-0.010820457886019966,0.008014825107879719,-0.12383169007477729,-0.30058876482865643,-0.26397666695531424,0.0767688419798981,-0.3597837669140912,-0.050493909576809104,-0.1991274911100793,-0.37215331132239565,-0.2966068894677879,0.7851358838853205,0.21369863013698645,0.4046107493905031,-0.028180196702686573,-0.5903058507426809,0.23070258492429774,-0.4576782104576348,-0.15558411818409443,-0.2870867986170914,-0.025969098926447855,-0.21331817770130393,-0.009493290614465773,0.10999826018695905,0.018113831772562598,0.09525634636038888,-0.052342392259021465,-0.05490366199495816,-0.18203213437885124,0.005682387346666877
Which picture best describes your relationship with Italian or German language?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italian or German Culture?,0.03378686891997413,,1.0,-0.2743445508163419,0.43875236638699633,-0.10998533626601523,0.3429395382304592,0.3825460278380028,0.5597928684393498,-0.5477225575051662,0.16829726687457897,-0.17013616341790527,0.1996807659577181,-0.35832490721471605,-0.025416428388767058,-0.4028934570633855,-0.35139233751671906,-0.38547788583644216,0.11198865732661305,-0.017376201171423016,-0.00478737491351183,-0.10758287072798364,-0.15299751534052605,0.2155504683485664,-0.2376465939466792,-0.5137468353292414,-0.15599516255557638,0.6454972243679029,0.38854899257970377,0.5051345351522912,0.5444543033712508,0.16415176749272672,-0.30821614077180565,-0.1505115333881355,-0.07405415718928596,-0.23602759148258104,-0.2081665999466133,-0.3559160648393494,-0.07609759719101274,-0.14440388366538862,-0.16753764435328902,-0.21021323090253674,-0.3990346477910673,0.01562499999999988,-0.29720655081133307,-0.21391736411132745
I see myself as someone who  [... is reserved ],-0.11568015734921523,,-0.2743445508163419,1.0,0.04521699705952412,-0.43450383850969243,0.3251528993882845,-0.31065027779442667,-0.41384723682946734,-0.3966988053883346,0.07253113182701137,-0.21086537485779253,0.01577702305248003,0.3774892251499341,0.08702127569830807,0.5238359520839706,0.32566985672481275,0.6273638287483837,0.4236488296796154,0.28373577458557575,0.2899965606282947,-0.4646806072939981,0.241770439423371,-0.6408667515735149,-0.0333808886114997,0.28143626988016607,0.06800204009180459,-0.2584077523488571,-0.16551160974580081,-0.8209397738572989,0.2288191730528837,0.37217782112820025,-0.3215783677115778,0.21802186042584784,-0.37590816072267785,0.41253473457035145,0.24038652733788327,0.27713810252634374,0.05550059817633741,0.21205588428969321,0.22356422551390484,0.035823777796726144,-0.04018302369061177,-0.08230336524490267,0.3297564365829015,0.11773029610055634
I see myself as someone who  [... is generally trusting],-0.06187437366864418,,0.43875236638699633,0.04521699705952412,1.0,-0.2098101154547113,0.28261352459196515,0.4232561977400191,0.17085944049692478,-0.6060106503164306,0.4272844524862107,0.18327810367085978,-0.14170031301722186,0.14582344438340414,0.16872731734937912,0.03502331577755825,-0.22604299452739376,0.15159418619718937,0.08856004551467457,0.3473823544848545,0.20822070975452114,-0.1753460569544439,-0.259172536753931,-0.0877201419721821,-0.326404190998691,0.1066276139218672,-0.1280617269892006,0.22460056733490605,0.555322503676081,0.0817888467437629,0.9148619259333955,0.362696682836082,-0.06241410513336794,-0.36176950964196,-0.1723557951482008,-0.2210321688522809,-0.2602549072126208,-0.3896595476410286,-0.08575914598037289,-0.12821764183760784,0.09204422139411161,-0.22928150648138723,-0.040299144856741374,0.07153571191092332,-0.32714617031452536,-0.08577972207846055
I see myself as someone who  [... tends to be lazy],0.6465944642798107,,-0.10998533626601523,-0.43450383850969243,-0.2098101154547113,1.0,-0.4224451888293159,0.4487941707625716,0.4147806778921701,0.34136821478356205,-0.24231575768533278,0.519546590836306,-0.4831630361737308,-0.17515771294444074,-0.32986126191632187,-0.3679609653740238,-0.04696466357842328,-0.2391620840334205,-0.09853688107237642,-0.020385358174558714,-0.14321916279679225,0.306699390493415,-0.053847946152296176,0.4003914881143713,0.20910112438158895,-0.09643454880305058,-0.06152919871009877,0.42597137568529825,0.40728019129349063,0.5040817003777639,-0.3006840330747397,-0.8917248011065911,0.5632491747112683,-0.56283809479466,0.2561395341229462,-0.056639070583132944,0.13384929119850597,0.07488713544559289,0.31933318682925244,0.3965764604641927,0.38818881278975664,0.2992048256143416,0.351103679352731,0.3070423970759586,0.06676771900891292,0.36995395139880355
"I see myself as someone who  [... is relaxed, handles stress well]",-0.11123379096642266,,0.3429395382304592,0.3251528993882845,0.28261352459196515,-0.4224451888293159,1.0,-0.10495212651092889,-0.12933059894386184,-0.5259400186578375,0.2518507068541806,-0.39538278089001005,0.4930446936315178,-0.11235088294097069,-0.16735292573013952,-0.21827061260695638,0.07321903349815005,0.30913434525160116,-0.23462170386716955,-0.09534378249483728,-0.17337198301376958,0.042502371850324114,0.2518507068541805,-0.06307906396229665,-0.15647695332502184,-0.22551565116821776,0.38960507529463795,0.12750711555097294,0.23359096102948707,-0.2636485293637459,0.43858139947625135,0.4464369372645774,-0.8390914232552592,0.3362436889409917,0.12960030040544854,-0.1766033306894918,-0.342665076771342,-0.30567491292473803,-0.38543076688443073,-0.28812684324592447,-0.40448518803077965,-0.50887361178105,-0.560258538027,-0.377233492053505,-0.3122774112846823,-0.4662706307427506
I see myself as someone who  [... has few artistic interests],0.14863787373182358,,0.3825460278380028,-0.31065027779442667,0.4232561977400191,0.4487941707625716,-0.10495212651092889,1.0,0.4508348173337161,0.034921514788478915,-0.2224086486978884,0.33691014050742907,-0.35138058572276476,-0.09138384662027386,-0.14584430582928049,-0.24972199152043612,-0.5274855735217322,-0.22686620622480333,-0.038946196384733504,0.44314644913612555,0.11354625792998702,-0.12181998358678262,-0.42725871986699604,0.0952847716488664,0.33333945532628756,0.11529866255280075,-0.3333587388692365,0.35064400681060415,0.7186318069121216,0.4571709601168684,0.23929908253350773,-0.4532204651482771,0.26302299620512104,-0.8636638386215743,-0.157980423035143,-0.32012411688104164,-0.20827172322277412,-0.509098600388272,-0.013435769323125638,0.07365484280076727,0.17518168498587686,-0.17975394036875386,-0.12122135958881333,0.04781825347975045,-0.3846283933657266,-0.036401681698278995
"I see myself as someone who  [... is ongoing, sociable]",0.5415276135764961,,0.5597928684393498,-0.41384723682946734,0.17085944049692478,0.4147806778921701,-0.12933059894386184,0.4508348173337161,1.0,-0.11834115780078212,-0.028849488160527865,0.44347517170663353,-0.42358687104367887,-0.33783196234608814,-0.2815633522534223,-0.09616496053509238,-0.2600043559887592,-0.4705978928942327,0.1823722231782873,-0.010921626381844202,0.1444345713248689,-0.16228816518671593,-0.33176911384606866,0.10386949779898576,-0.25392940513732515,-0.41332493775580154,-0.5477225575051662,0.7607257743127305,0.5415276135764963,0.8595648808490985,0.16382439572766344,-0.3364429795300419,0.340883208099086,-0.5321386295276813,-0.2860534598405715,-0.38436818172178955,-0.0075485135609638975,-0.44498291135794865,0.09382104195877367,0.19802950859533486,0.11583440432786994,0.05829145139855572,-0.23789969669416314,0.11294066643951815,-0.2980947056620679,0.027818375866974217
I see myself as someone who  [... tends to find fault with others],-0.018505830254940157,,-0.5477225575051662,-0.3966988053883346,-0.6060106503164306,0.34136821478356205,-0.5259400186578375,0.034921514788478915,-0.11834115780078212,1.0,-0.38548087581354473,0.05481612620668946,-0.10936965981495168,-0.08722783759886477,0.06264518021884172,0.04469343487693275,0.004872544551705833,-0.054137162433851416,-0.41264225648956016,-0.19034674690672013,-0.12586335510551055,0.24041630560342614,-0.2095004759856219,0.04722474151812526,0.5553681076004986,0.09754878659299578,-0.26516504294495535,-0.3535533905932744,-0.2257711291102689,0.1484589938661345,-0.875595035770913,-0.44563901538054285,0.35061978369026525,-0.08243856200137387,0.03209310648893337,-0.19979271025696396,-0.1315587028960544,-0.04237896897630058,-0.20519567041703088,-0.17256712249065836,-0.2079987332987684,-0.12191138306614731,0.17356257356397076,-0.26815583544523736,-0.12815125719901882,-0.14585316910848634
