,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,73.0,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
unique,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,af963537-2f40-45ef-a585-362b6a0cfa23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.4931506849315068,,4.726027397260274,6.191780821917808,5.342465753424658,3.4794520547945207,3.8767123287671232,2.671232876712329,3.2465753424657535,3.2739726027397262,3.8219178082191783,2.493150684931507,4.013698630136986,3.0684931506849313,3.8767123287671232,0.726027397260274,0.7164383561643837,0.6561643835616439,0.7164383561643836,0.6246575342465753,0.7999999999999999,0.7383561643835617,0.7410958904109589,0.5808219178082191,0.7205479452054794,0.4397260273972602,0.7479452054794521,0.6876712328767124,0.32191780821917804,5.004566210045662,3.1068493150684935,-1.3835616438356164,-1.3424657534246576,-0.1780821917808219,0.6027397260273972,-3.095890410958904,1.1534462778469627
std,0.5034130089044646,,1.5921707227398938,1.197886266241213,1.145270202011926,1.0815316947260991,1.0266613295241693,1.1791568847715344,1.2447759941028236,1.2611753113289332,0.9478406123837585,0.9147447681553472,0.7726784347128627,1.3052114252241929,0.9992386751846525,0.1563715280814271,0.14435074820856106,0.1885517180524153,0.18857189804049174,0.20735156800696425,0.14043582955293932,0.15953938645214907,0.19063899598044537,0.2731795981516023,0.14039518046253607,0.2152128959034888,0.1491732671175591,0.1666209983094135,0.19454118054659458,0.6949845692507872,0.3149730002199869,1.505823298124663,1.5565201401612345,2.25673354008143,1.7138303918043192,0.9716021070840195,0.11605713652403105
min,0.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.3,0.1,0.1,0.1,0.4,0.3,0.2,0.0,0.3,0.0,0.4,0.2,0.0,3.0,2.55,-4.0,-4.0,-4.0,-3.0,-4.6,0.76875
25%,0.0,,4.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,0.7,0.6,0.5,0.6,0.5,0.7,0.7,0.6,0.4,0.6,0.3,0.7,0.6,0.2,4.666666666666667,2.87,-3.0,-2.0,-2.0,0.0,-3.5,1.056881313131313
50%,0.0,,5.0,7.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,0.7,0.7,0.7,0.7,0.6,0.8,0.7,0.7,0.6,0.7,0.5,0.8,0.7,0.3,5.0,3.08,-2.0,-1.0,0.0,0.0,-3.2,1.168181818181818
75%,1.0,,6.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.6,0.8,0.8,0.4,5.666666666666667,3.28,0.0,0.0,2.0,1.0,-2.5,1.2288510101010102
max,1.0,,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8,6.333333333333333,3.9899999999999998,2.0,3.0,4.0,4.0,0.0,1.356439393939394
