Prolific_ID,Language,Robot_You_Q1,Robot_You_Q2,Robot_You_Q3,Robot_You_Q4,Robot_You_Q5,Robot_You_Q6
673b34b6779d92368ad35f57,Deutsch,2.0,3.0,4.0,4.0,5.0,4.0
6648adee7d29687acc3a0912,Italiano,1.0,2.0,3.0,4.0,5.0,5.0
5e8df909e9fe6208d93321a9,Italiano,3.0,4.0,3.0,3.0,3.0,2.0
63b6bfc861dd62d55125a428,Deutsch,4.0,5.0,3.0,2.0,2.0,1.0
669bb61cbc7be494c80aab78,Italiano,4.0,5.0,3.0,2.0,1.0,1.0
5f0da6848c9769018bb99f27,Italiano,2.0,4.0,4.0,3.0,3.0,2.0
58d4ebdec8677b0001a2107b,Deutsch,2.0,3.0,4.0,5.0,4.0,3.0
674066a20dd7ea932dfcd1ea,Deutsch,4.0,5.0,5.0,4.0,3.0,3.0
671df4409cc481032b4fd9fc,Deutsch,2.0,3.0,4.0,5.0,4.0,3.0
5edd1cfb9a2ae09ff1250c9c,English,3.0,4.0,5.0,4.0,2.0,2.0
5b3f242f9c2ec600014ef9fc,Italiano,2.0,2.0,3.0,5.0,4.0,4.0
66826c4a2d42c713e9c7475d,Italiano,3.0,3.0,4.0,4.0,5.0,5.0
58c62eac444ade00010231a9,Italiano,5.0,4.0,4.0,3.0,3.0,2.0
672f7b856c1ce6995a666bc6,Italiano,2.0,2.0,4.0,4.0,2.0,2.0
5ac4d774436f550001ffd6c1,Italiano,2.0,3.0,4.0,3.0,3.0,2.0
5b0d0f0ebd9c3100015655d9,Deutsch,1.0,2.0,3.0,3.0,4.0,4.0
5e9c3ff1cf719d151612648f,Italiano,1.0,2.0,3.0,4.0,5.0,5.0
64e218df1a2b314bcf5c6269,Italiano,3.0,4.0,5.0,4.0,4.0,3.0
60be9461f162e71cab759c78,Italiano,3.0,4.0,4.0,4.0,4.0,5.0
680d588c03ed48387a03c442,Deutsch,3.0,4.0,3.0,4.0,3.0,3.0
6097e36e99d6c893daf55676,Italiano,1.0,2.0,2.0,3.0,4.0,4.0
67aa368415b94ae3e4391b29,Deutsch,1.0,2.0,3.0,5.0,4.0,2.0
5a520774eedc3200014206b4,Italiano,2.0,5.0,4.0,3.0,2.0,2.0
664a70b48ff64eb6fa5d8b05,Deutsch,1.0,2.0,3.0,4.0,5.0,5.0
578b4394ad1a6c0001466a6d,Italiano,1.0,2.0,3.0,3.0,4.0,4.0
66d07c4598239f725fa002b6,Deutsch,1.0,3.0,5.0,4.0,3.0,3.0
66c6f369443af2a09227ffc3,Deutsch,3.0,4.0,4.0,5.0,3.0,3.0
663cdadebd57d114ba72b4e1,Deutsch,2.0,4.0,3.0,3.0,2.0,2.0
67f95930e7b7de271e118c87,English,2.0,2.0,3.0,4.0,5.0,5.0
5ea824f580b9ef228f589930,English,3.0,4.0,3.0,4.0,3.0,4.0
67aa8150dff45fad8801d249,Deutsch,3.0,3.0,3.0,3.0,3.0,3.0
60f0035abb0afb22cdb36884,Italiano,3.0,4.0,5.0,4.0,2.0,2.0
633b2bff8b720f0f0e41f0fc,Deutsch,2.0,3.0,4.0,5.0,5.0,5.0
65e0bee6f886849136294ce0,Deutsch,4.0,5.0,3.0,2.0,2.0,1.0
5b648251bd56550001bf31fd,Deutsch,4.0,4.0,4.0,4.0,3.0,3.0
5f53ee2e1b73b474acb3adf8,Italiano,3.0,3.0,4.0,4.0,4.0,4.0
671fed50e69390f6b2370a67,Deutsch,3.0,5.0,2.0,2.0,1.0,1.0
67a941204a47fd12fb801074,Deutsch,2.0,3.0,2.0,3.0,4.0,5.0
67448b94aabb41a5a27f3bfa,Deutsch,2.0,2.0,3.0,4.0,4.0,2.0
