Nationality,Participant_ID,Trust_Overall,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Culture_Affinity
Italian, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,0.5285714285714286,0.75,0.375,0.625,0.5,0.625,0.9444444444444444
Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,0.45,0.75,0.25,0.625,0.625,0.5,1.0
Italian,3318f716-94c4-4264-a345-2546b545b2a1,0.9214285714285714,0.375,0.5,0.875,0.5,0.5,0.8888888888888888
Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,0.4857142857142857,0.75,0.5,0.625,0.75,1.0,0.9444444444444444
Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,0.6785714285714286,0.5,0.375,0.75,0.5,0.625,0.3333333333333333
Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,0.6285714285714286,0.75,0.125,0.375,0.5,0.75,0.8333333333333334
Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,0.6785714285714286,0.5,0.5,0.75,0.375,0.625,1.0
Italian, bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,0.6071428571428572,0.375,0.5,0.875,0.5,0.375,0.5
Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,0.65,0.875,0.5,0.625,0.625,0.5,1.0
Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,0.6428571428571429,0.625,0.625,0.375,0.375,0.875,0.8888888888888888
Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,0.7,0.625,0.375,0.375,0.25,0.625,0.7222222222222222
Italian,c12a3001-11c2-4e38-8bb5-788342191e17,0.7142857142857143,0.625,0.25,0.5,0.375,0.75,0.7777777777777778
Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,0.6357142857142857,0.75,0.5,0.5,0.5,0.625,0.7222222222222222
Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,0.692857142857143,0.375,0.5,0.5,0.25,0.75,0.8888888888888888
Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,0.85,0.75,0.5,0.5,0.5,0.75,1.0
Italian, b1f78262-947f-4f64-b434-66eed804c0a2,0.5642857142857143,0.625,0.375,0.25,0.5,0.5,0.6111111111111112
Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,0.6142857142857143,0.5,0.5,0.75,0.5,0.5,0.9444444444444444
Italian, a12345e3-86bb-407c-b37d-958545f2b64b,0.7285714285714286,0.875,0.625,0.5,0.5,0.625,0.9444444444444444
Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,0.6642857142857143,0.5,0.5,0.5,0.5,0.75,0.9444444444444444
Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,0.7071428571428571,0.75,0.75,0.375,0.5,0.875,0.9444444444444444
Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,0.7285714285714286,0.75,0.625,1.0,0.5,0.875,0.7222222222222222
Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,0.7642857142857143,0.875,0.625,0.375,0.25,0.875,0.6111111111111112
Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,0.6857142857142857,0.75,0.75,0.5,0.625,0.5,0.8333333333333334
Italian, 73f9f44d-e3dd-4508-ac67-58fec77cb282,0.7285714285714286,0.5,0.5,0.375,0.5,0.25,0.6666666666666666
Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,0.75,0.75,0.625,0.625,0.375,0.5,0.7777777777777778
Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,0.6785714285714286,0.75,0.625,0.75,0.625,0.625,0.7777777777777778
Italian,217bc211-db4a-48da-ba5d-2898104d8269,0.7071428571428571,0.5,0.625,0.75,0.5,0.625,0.8333333333333334
Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,0.5714285714285715,0.875,0.75,0.75,0.625,0.75,0.5555555555555555
Italian,703587b0-27fd-4a67-844b-5393d2523a08,0.8857142857142857,0.625,0.375,0.625,0.75,0.5,0.7777777777777778
Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,0.75,0.375,0.25,0.75,0.5,0.625,0.9444444444444444
Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,0.7071428571428571,0.5,0.625,0.75,0.5,0.75,0.8333333333333334
Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,0.7357142857142857,0.875,0.75,0.5,0.5,0.75,0.6666666666666666
Italian,14f09597-b462-4377-bc8c-ee9f84738755,0.6714285714285714,0.875,0.75,0.375,0.375,0.5,1.0
Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,0.6285714285714286,0.625,0.5,0.5,0.875,0.5,0.8333333333333334
Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,0.7214285714285714,0.75,0.375,0.625,0.25,0.5,0.7222222222222222
Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,0.7,0.75,0.375,0.5,0.5,0.625,0.2777777777777777
Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,0.6785714285714286,0.875,0.5,0.625,0.625,0.75,0.8333333333333334
Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,0.7142857142857143,0.625,0.5,0.375,0.75,0.375,0.8888888888888888
