,German,Italian
Culture_Affinity_Q1,3.9069767441860463,5.2631578947368425
Culture_Affinity_Q2,5.5813953488372094,6.526315789473684
Culture_Affinity_Q3,4.558139534883721,5.605263157894737
Personality_BFI_Q1,3.744186046511628,3.3157894736842106
Personality_BFI_Q2,4.069767441860465,3.6052631578947367
Personality_BFI_Q3,2.6744186046511627,2.710526315789474
Personality_BFI_Q4,3.1627906976744184,3.3947368421052633
Personality_BFI_Q5,3.0697674418604652,3.289473684210526
Personality_BFI_Q6,3.488372093023256,4.0
Personality_BFI_Q7,2.488372093023256,2.4473684210526314
Personality_BFI_Q8,4.069767441860465,3.9210526315789473
Personality_BFI_Q9,3.3488372093023258,2.6578947368421053
Personality_BFI_Q10,4.046511627906977,3.763157894736842
Robot_Trust_Q1,75.11627906976744,71.57894736842105
Robot_Trust_Q2,74.4186046511628,70.78947368421052
Robot_Trust_Q3,69.30232558139535,63.68421052631579
Robot_Trust_Q4,68.37209302325581,77.10526315789474
Robot_Trust_Q5,62.093023255813954,63.1578947368421
Robot_Trust_Q6,79.06976744186046,81.57894736842105
Robot_Trust_Q7,73.48837209302326,74.47368421052632
Robot_Trust_Q8,72.79069767441861,74.21052631578948
Robot_Trust_Q9,50.69767441860465,65.0
Robot_Trust_Q10,71.16279069767442,71.84210526315789
Robot_Trust_Q11,41.395348837209305,47.10526315789474
Robot_Trust_Q12,72.79069767441861,77.89473684210526
Robot_Trust_Q13,65.5813953488372,71.57894736842105
Robot_Trust_Q14,33.48837209302326,29.736842105263158
