Paradigm,Nationality,Participant_ID,Culture_Closeness_Q1,Culture_Closeness_Q2,Culture_Closeness_Q3,Competence_Q1,Competence_Q2,Competence_Q3,Competence_Q4,Competence_Q5,Competence_Q6,Culture_Closeness_Q1_norm,Culture_Closeness_Q2_norm,Culture_Closeness_Q3_norm,Culture_Closeness_Avg,Competence_Q1_norm,Competence_Q2_norm,Competence_Q3_norm,Competence_Q4_norm,Competence_Q5_norm,Competence_Q6_norm,Competence_Overall,all_average
F,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,2,5,6,7,8,5,7,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.625,0.75,0.875,0.5,0.75,0.375,0.6458333333333334,0.4895833333333333
A,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,1,1,2,5,8,8,3,7,4,0.0,0.0,0.1666666666666666,0.0555555555555555,0.5,0.875,0.875,0.25,0.75,0.375,0.6041666666666666,0.3298611111111111
B,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,4,1,6,9,8,6,5,5,0.1666666666666666,0.5,0.0,0.2222222222222222,0.625,1.0,0.875,0.625,0.5,0.5,0.6875,0.4548611111111111
B,German,6dae70e5-448b-415e-8971-daab8041bce0,1,1,2,4,7,6,5,7,6,0.0,0.0,0.1666666666666666,0.0555555555555555,0.375,0.75,0.625,0.5,0.75,0.625,0.6041666666666666,0.3298611111111111
A,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,6,7,5,5,7,6,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.625,0.75,0.5,0.5,0.75,0.625,0.625,0.4513888888888888
F,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,4,6,7,5,6,6,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.375,0.625,0.75,0.5,0.625,0.625,0.5833333333333334,0.4305555555555556
A,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,1,2,3,3,3,3,3,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.125,0.25,0.25,0.25,0.25,0.25,0.2291666666666666,0.1701388888888889
B,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,3,4,4,4,4,3,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.25,0.375,0.375,0.375,0.375,0.25,0.3333333333333333,0.25
F,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,5,5,5,5,5,4,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.5,0.5,0.5,0.5,0.375,0.4791666666666667,0.3229166666666667
A,German,7136f1af-5dd3-4449-8119-25485f011a03,1,2,4,7,4,5,3,3,4,0.0,0.1666666666666666,0.5,0.2222222222222222,0.75,0.375,0.5,0.25,0.25,0.375,0.4166666666666667,0.3194444444444444
F,German,7136f1af-5dd3-4449-8119-25485f011a03,2,2,5,4,6,6,3,4,6,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.375,0.625,0.625,0.25,0.375,0.625,0.4791666666666667,0.40625
B,German,7136f1af-5dd3-4449-8119-25485f011a03,2,1,3,2,6,4,4,4,3,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.125,0.625,0.375,0.375,0.375,0.25,0.3541666666666667,0.2604166666666667
