Paradigm,Nationality,Participant_ID,Culture_Closeness_Q1,Culture_Closeness_Q2,Culture_Closeness_Q3,Competence_Q1,Competence_Q2,Competence_Q3,Competence_Q4,Competence_Q5,Competence_Q6
F,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,2,5,6,7,8,5,7,4
A,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,1,1,2,5,8,8,3,7,4
B,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,4,1,6,9,8,6,5,5
B,German,6dae70e5-448b-415e-8971-daab8041bce0,1,1,2,4,7,6,5,7,6
A,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,6,7,5,5,7,6
F,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,4,6,7,5,6,6
A,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,1,2,3,3,3,3,3
B,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,3,4,4,4,4,3
F,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,5,5,5,5,5,4
A,German,7136f1af-5dd3-4449-8119-25485f011a03,1,2,4,7,4,5,3,3,4
F,German,7136f1af-5dd3-4449-8119-25485f011a03,2,2,5,4,6,6,3,4,6
B,German,7136f1af-5dd3-4449-8119-25485f011a03,2,1,3,2,6,4,4,4,3
