,count,mean,std,min,25%,50%,75%,max
I see myself as someone who  [... is reserved ],81.0,3.54320987654321,1.084543483637809,1.0,3.0,4.0,4.0,5.0
I see myself as someone who  [... is generally trusting],81.0,3.8518518518518516,1.0137937550497034,1.0,3.0,4.0,5.0,5.0
I see myself as someone who  [... tends to be lazy],81.0,2.691358024691358,1.2210853298259092,1.0,2.0,3.0,4.0,5.0
"I see myself as someone who  [... is relaxed, handles stress well]",81.0,3.271604938271605,1.2650330596373,1.0,2.0,3.0,4.0,5.0
I see myself as someone who  [... has few artistic interests],81.0,3.1728395061728394,1.2726952056245648,1.0,2.0,4.0,4.0,5.0
"I see myself as someone who  [... is ongoing, sociable]",81.0,3.728395061728395,1.0369708973617866,1.0,3.0,4.0,4.0,5.0
I see myself as someone who  [... tends to find fault with others],81.0,2.4691358024691357,0.909483641319161,1.0,2.0,2.0,3.0,5.0
I see myself as someone who  [... does a thorough job],81.0,4.0,0.7745966692414834,2.0,4.0,4.0,5.0,5.0
I see myself as someone who  [... get nervous easily],81.0,3.0246913580246915,1.322642323551376,1.0,2.0,3.0,4.0,5.0
I see myself as someone who  [... has active imagination],81.0,3.9135802469135803,0.9772094307797782,1.0,3.0,4.0,5.0,5.0
