,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.1169877247014489,-0.10688638598021066,0.0876661335984436,0.20286969280767395,0.09069485417139052,0.2680007936641172,0.00963546084470779,0.07285747005278265,0.10013213937534032,-0.049271904034478,0.11009908119135112
Which picture best describes the relationship between Pepper and your country? ,-0.1169877247014489,1.0,0.8230940094566465,0.648354720314374,0.5037490741914421,0.3945781570603176,0.42581865330719254,0.4600022955508779,0.30389538708051744,0.3547125048430129,0.9280667971558665,0.5596847575666711
Which picture best describes the relationship between Pepper and your national culture? ,-0.10688638598021066,0.8230940094566465,1.0,0.5640338731962217,0.5064781705539735,0.3901778384467916,0.42287722636878705,0.45599311023310524,0.22731748081893663,0.31831659851141386,0.8940740893328822,0.5290616324277427
Which picture best describes the relationship between Pepper and your own preferences? ,0.0876661335984436,0.648354720314374,0.5640338731962217,1.0,0.5555210078187158,0.5279593272531821,0.5366919469873707,0.5923257707826287,0.39142609535134104,0.5189190727371047,0.83687628732141,0.6789881383971708
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.20286969280767395,0.5037490741914421,0.5064781705539735,0.5555210078187158,1.0,0.6965693376024107,0.6943663165584631,0.7246623948510159,0.6358667415756568,0.7626342651410687,0.5897088445673973,0.8397208359194455
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.09069485417139052,0.3945781570603176,0.3901778384467916,0.5279593272531821,0.6965693376024107,1.0,0.7062898063202933,0.7022546962134527,0.46927711743548584,0.7037330184797039,0.4953821230730596,0.8423246036593731
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.2680007936641172,0.42581865330719254,0.42287722636878705,0.5366919469873707,0.6943663165584631,0.7062898063202933,1.0,0.6590556345928305,0.5474866227289792,0.7148778104407093,0.5224880648585111,0.8592892164984437
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.00963546084470779,0.4600022955508779,0.45599311023310524,0.5923257707826287,0.7246623948510159,0.7022546962134527,0.6590556345928305,1.0,0.478344884941776,0.7876591526972507,0.5689764967975137,0.8622116451307141
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.07285747005278265,0.30389538708051744,0.22731748081893663,0.39142609535134104,0.6358667415756568,0.46927711743548584,0.5474866227289792,0.478344884941776,1.0,0.742046258494881,0.3487799794136719,0.7353285139395149
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.10013213937534032,0.3547125048430129,0.31831659851141386,0.5189190727371047,0.7626342651410687,0.7037330184797039,0.7148778104407093,0.7876591526972507,0.742046258494881,1.0,0.45053828582524447,0.9081835484867712
mean_cultural_closeness,-0.049271904034478,0.9280667971558665,0.8940740893328822,0.83687628732141,0.5897088445673973,0.4953821230730596,0.5224880648585111,0.5689764967975137,0.3487799794136719,0.45053828582524447,1.0,0.6667053104364712
mean_competence,0.11009908119135112,0.5596847575666711,0.5290616324277427,0.6789881383971708,0.8397208359194455,0.8423246036593731,0.8592892164984437,0.8622116451307141,0.7353285139395149,0.9081835484867712,0.6667053104364712,1.0
