Valore_Risposta,Language,Robot_Human_Q1,Robot_Human_Q2,Robot_Human_Q3,Robot_Human_Q4,Robot_Human_Q5,Robot_Human_Q6
1.0,Deutsch,1.0,3.0,0.0,0.0,0.0,1.0
2.0,Deutsch,3.0,2.0,3.0,0.0,1.0,2.0
3.0,Deutsch,9.0,10.0,7.0,6.0,4.0,6.0
4.0,Deutsch,5.0,4.0,7.0,4.0,7.0,4.0
5.0,Deutsch,1.0,0.0,2.0,9.0,7.0,6.0
1.0,Italiano,1.0,1.0,0.0,0.0,0.0,0.0
2.0,Italiano,2.0,6.0,2.0,1.0,1.0,3.0
3.0,Italiano,7.0,9.0,10.0,2.0,0.0,2.0
4.0,Italiano,6.0,0.0,3.0,9.0,10.0,4.0
5.0,Italiano,1.0,1.0,2.0,5.0,6.0,8.0
2.0,English,0.0,0.0,0.0,1.0,0.0,0.0
3.0,English,1.0,2.0,0.0,0.0,0.0,1.0
4.0,English,2.0,1.0,3.0,1.0,2.0,1.0
5.0,English,0.0,0.0,0.0,1.0,1.0,1.0
