Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Crossed,Self-touch,Smile,Neutral,Comfortable,,B,,Italian
Tracking,Away,Tracking,Neutral,Back,Self-touch,Frown,Neutral,Withdrawal signal,,B,,German
Neutral,"Tracking, Neutral",Neutral,Tracking,Back,Fidgeting,Smile,Neutral,Comfortable,,B,,Italian
Tracking,Neutral,Neutral,,Crossed,Crossed,Neutral,Frown,Comfortable,,B,,German
Away,Neutral,Neutral,,Back,Crossed,Neutral,Smile,Comfortable,,B,,Italian
Away,Neutral,Neutral,,Fidgeting,"Self-touch, Back, Neutral/Side",Neutral,Smile,Comfortable,,B,,German
Away,Neutral,Neutral,,Crossed,,Frown,Neutral,Withdrawal signal,,B,,German
Tracking,Neutral,Neutral,Tracking,Fidgeting,"Crossed, Self-touch",Smile,"Neutral, Raised brows",Comfortable,,B,,Italian
Tracking,"Away, Neutral",Tracking,,Crossed,,Neutral,Frown,Comfortable,,B,,German
Tracking,Neutral,Neutral,Tracking,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,B,,German
Tracking,,Neutral,Tracking,Back,,Neutral,Smile,Comfortable,,B,,Italian
Away,Neutral,Neutral,Tracking,Crossed,Fidgeting,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,Tracking,Crossed,Self-touch,Neutral,Frown,Comfortable,,B,,Italian
Tracking,Neutral,Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,Tracking,Back,"Self-touch, Neutral/Side",Smile,Neutral,Comfortable,,B,,Italian
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,,Neutral/Side,"Self-touch, Back",Smile,,Comfortable,,B,,German
Neutral,"Away, Tracking",Neutral,,Back,Crossed,Neutral,,Comfortable,,B,,Italian
Tracking,"Away, Neutral",Neutral,Tracking,Neutral/Side,Self-touch,Smile,Neutral,Comfortable,,B,,Italian
Neutral,"Away, Tracking",Neutral,Tracking,Back,"Crossed, Self-touch",Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,Away,Neutral,,Crossed,,Frown,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,Tracking,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,B,,Italian
Neutral,Tracking,Neutral,,Self-touch,"Self-touch, Neutral/Side",Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Tracking,,Self-touch,"Crossed, Fidgeting",Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,,Back,"Self-touch, Neutral/Side",Smile,"Neutral, Raised brows",Comfortable,,B,,German
Tracking,,Tracking,,Self-touch,Back,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,,Comfortable,,B,,German
Tracking,,Tracking,,Back,Crossed,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,,Back,Self-touch,Smile,Neutral,Comfortable,,B,,German
Tracking,Away,Neutral,,Neutral/Side,"Crossed, Self-touch",Neutral,,Comfortable,,B,,German
Tracking,,Neutral,,Self-touch,Fidgeting,Smile,,Comfortable,,B,,Italian
Neutral,,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,B,,German
Tracking,Away,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,B,,German
Tracking,,Neutral,,Back,Self-touch,Smile,"Neutral, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,Raised brows,Comfortable,,B,,German
Tracking,Away,Neutral,,Crossed,,Neutral,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,Self-touch,Smile,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,,Neutral/Side,"Self-touch, Back",Smile,,Comfortable,,B,,German
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,"Crossed, Self-touch",Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
