,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
Nationality,1.0,0.4182463409572528,0.35373008194083927,0.3697335848597228,-0.19835243746638842,-0.23007987630163804,0.014848837993939672,0.09207120045727753,0.08668750659635166,0.24775714072382207,-0.022639476575945918,-0.09640889815050735,-0.2623239826249821,-0.14560618139711368,-0.11339030873078385,-0.12574757096947115,-0.15356500689385374,0.2365050147510146,0.026839279636687148,0.08967154601393366,0.03118694751637746,0.03596936402635565,0.25849500790737157,0.02189298521748905,0.13163622882103437,0.16982313184633996,0.17961793564667491,-0.09901647741941584,0.3215150938518315,-0.10572957306541347,0.14055649895582908,0.057657468285763076,-0.20248544276837602,-0.1465955159286452,-0.260910176829423,0.35565741689769675
Which picture best describes your relationship with Italy or Germany?,0.4182463409572528,1.0,0.5431909425775099,0.6252428975404556,-0.22581170886520238,-0.056653132720644,0.016221880200526166,0.048847983222442055,0.16524708663874685,0.33277832250514583,-0.08138737836299667,-2.4764405078150377e-16,-0.1398027682562994,-0.0958230990279201,-0.17744943000795832,-0.2540028437447849,-0.2562982352834112,0.06266445936788248,-0.0824869311624652,0.125188149240093,0.017503667710420827,0.06890063134304726,-0.04032045003808688,-0.09124051132054596,-0.066703771394047,-0.024491187801038546,-0.036345365809237994,-0.10735164859550615,0.5621774080976611,0.06311488740698887,-0.010962190163457414,0.012305785998351576,-0.10779064706239783,-0.1763852540831417,-0.3541869764493112,0.5037629748930511
Which picture best describes your relationship with Italian or German language?,0.35373008194083927,0.5431909425775099,1.0,0.4580211238079476,-0.08666391598186934,0.11302459216885387,0.11918119446554774,-0.2839188618110786,0.2390916945911721,0.2025804012424979,-0.03010546135521018,-0.0842113550277452,0.1546509395460517,0.058863431567411625,-0.08739202679556794,-0.07422210601223848,-0.13357254128382856,0.03269668676343493,-0.02113389002950467,0.1588361243225622,0.012980062249466703,0.15658980037677533,0.06546392924621665,0.14176204992383307,0.06924257829379403,0.024468794775200975,0.11849300502691984,-0.11434449931142002,0.7775041955153621,0.18094857400512016,-0.093828926407506,0.13093352075353262,0.24630050111289395,-0.14320326376636913,-0.21254310722510142,0.7780012303285596
Which picture best describes your relationship with Italian or German Culture?,0.3697335848597228,0.6252428975404556,0.4580211238079476,1.0,-0.171591025728281,0.06582682665851954,-0.02710386596462812,0.02719160245733713,0.14025517986294903,0.34825243747903517,-0.07612077513899389,0.034041451020905646,-0.047174015375557536,0.02109810098026579,-0.19291422080379175,-0.23705371518397558,-0.24719289796866073,-0.09000438327747776,-0.11927698865021961,-0.0006178054455324184,-0.036455675236056195,0.06481677534078059,-0.028354435988418553,-0.12744536312451846,-0.13973898938896184,-0.1460264955605452,-0.07002318005921579,-0.09558988871472038,0.7577085676963946,0.156148171871802,-0.08986422884714189,-0.036941976576470976,-0.042291030063179,-0.09162264106416544,-0.3717299468681678,0.6543427013226149
I see myself as someone who  [... is reserved ],-0.19835243746638842,-0.22581170886520238,-0.08666391598186934,-0.171591025728281,1.0,0.09684506699692161,-0.03227838373223987,-0.15443533938392445,-0.15037509028734186,-0.44513557301785717,-0.08417156626433497,-0.059517874027766426,0.32166721391664804,0.2217636079120623,0.08674471506369816,0.00039273215125694254,0.06691983765999039,0.007059854684022412,0.014997969137004713,0.09772139723103473,0.09166202407133493,-0.05355193348547574,-0.014903147192452794,0.025752693985345777,-0.07368760507132496,0.024324395434876377,-0.040818802086790465,-0.06424387303507123,0.2965649335687736,-0.081266857892874,-0.11548744073497241,0.004154684384194005,0.27124967805169276,0.2368206504557566,0.451360625321957,0.28492849527167935
I see myself as someone who  [... is generally trusting],-0.23007987630163804,-0.056653132720644,0.11302459216885387,0.06582682665851954,0.09684506699692161,1.0,-0.15856834015443136,-0.11443372210442063,0.1751023808250473,0.11582060191775428,-0.2354911486257628,0.06367145399670153,0.1705615642825581,0.0500026205221845,0.06413291001889164,0.18087017964205712,0.1409427715949454,-0.1930823649395201,0.15540374020861375,-0.014949917588806675,0.13787726915339296,0.16887249314245928,-0.09368681393171102,0.164420147140492,-0.08553898989541914,-0.19425669227020195,0.11820164504328816,-0.05784611627752986,0.14342207181420866,0.3605826660298107,-0.8116070390795145,-0.15092821103996018,0.16181675395210804,-0.10096805973195923,-0.10453888836184151,0.13090640597506037
I see myself as someone who  [... tends to be lazy],0.014848837993939672,0.016221880200526166,0.11918119446554774,-0.02710386596462812,-0.03227838373223987,-0.15856834015443136,1.0,-0.0664352770628129,0.050842223258997635,-0.13613368028395,0.15452148593404286,-0.2643129061504377,0.17504996736597506,-0.03310787419099446,-0.1134294769747846,-0.1780709840021523,-0.07986827629286578,0.11688883080014652,-0.05404477476647772,0.12834746146484688,0.07018033085726962,0.12726172940337938,-0.1749424633059594,-0.2581731972667586,0.08546514711590428,0.006531574838961965,0.09150289218782327,-0.12202495698908537,0.0353446491409645,0.32225134555919677,0.19913316533417927,0.8857827750778292,0.1378807116853115,-0.056325181298848045,0.11721169574182175,-0.008525935842058945
"I see myself as someone who  [... is relaxed, handles stress well]",0.09207120045727753,0.048847983222442055,-0.2839188618110786,0.02719160245733713,-0.15443533938392445,-0.11443372210442063,-0.0664352770628129,1.0,-0.22362144505513787,0.12364007699278064,0.029106364304247206,0.051026115045007425,-0.5643664085714402,-0.06166836272692086,0.002491923613930162,-0.06119500435994873,-0.13805136960316222,0.061644256582281766,0.10066072825007757,-0.1022710557140036,0.057976899606877484,-0.06283580224546745,0.038067047440977664,-0.03969415966608669,-0.10870661473646301,-0.028855968762574947,-0.055802754506530765,0.01660670264605821,-0.20869668238227979,0.054237899888400116,0.09417254931889134,-0.07495171340721378,-0.8788675518391894,0.130186888054167,-0.1214131455343899,-0.22037682050232305
I see myself as someone who  [... has few artistic interests],0.08668750659635166,0.16524708663874685,0.2390916945911721,0.14025517986294903,-0.15037509028734186,0.1751023808250473,0.050842223258997635,-0.22362144505513787,1.0,0.23491673423172957,0.08026055996215493,0.10143783390008598,0.1088200420324767,-0.1587023950534378,0.02608507653448028,0.055555505775461644,0.05702659485122012,-0.14013695183410588,0.0166149243829077,0.08146234545537025,0.20100962666229832,0.169265344109943,-0.07554480959324301,0.08147845809735908,0.037409092797212246,0.2195758344827279,0.09516858878581393,-0.038303246422432595,0.14622104247826997,0.5125152813692623,-0.06908220918796894,-0.010244756708722743,0.18648729222176635,-0.8285598786438015,-0.22750861553632296,0.19924692826676468
"I see myself as someone who  [... is ongoing, sociable]",0.24775714072382207,0.33277832250514583,0.2025804012424979,0.34825243747903517,-0.44513557301785717,0.11582060191775428,-0.13613368028395,0.12364007699278064,0.23491673423172957,1.0,0.1500489186015944,0.04668625894011193,-0.10441526297245007,-0.04812357238575721,-0.026124786399394816,-0.08338211284280374,-0.08092580453743203,-0.042697256263118114,-0.03809462810304829,-0.05539166819084104,-0.03273741436788155,0.08881809907469072,-0.14622716162309154,-0.04441267308385871,-0.08875133497943757,-0.04466845715869293,-0.018194890286989368,-0.020259033220968455,0.1163900310395454,0.4521361885050102,0.012590029894122787,-0.12573595632387835,-0.1286797515843526,-0.20079078659559463,-0.9888749711118553,0.08460128489724014
I see myself as someone who  [... tends to find fault with others],-0.022639476575945918,-0.08138737836299667,-0.03010546135521018,-0.07612077513899389,-0.08417156626433497,-0.2354911486257628,0.15452148593404286,0.029106364304247206,0.08026055996215493,0.1500489186015944,1.0,8.08943594431629e-17,0.10455511770458836,-0.06632936132293646,-0.03628578622514756,-0.06942937182516189,-0.03990037344430532,-0.10660705280371854,-0.12314974904381375,-0.1265539528300419,-0.11272785298595196,-0.06334613547172234,0.06852198510503148,-0.023195580176358806,0.022201498044776346,0.1848316070657649,0.05818822386034227,-0.11246197736865657,-0.09824342675842472,0.387126523230075,0.7589001598424339,0.11721873879884481,0.04433403703773411,-0.09689192814418073,-0.1531956456293,-0.06920763051718917
I see myself as someone who  [... does a thorough job],-0.09640889815050735,-2.4764405078150377e-16,-0.0842113550277452,0.034041451020905646,-0.059517874027766426,0.06367145399670153,-0.2643129061504377,0.051026115045007425,0.10143783390008598,0.04668625894011193,8.08943594431629e-17,1.0,0.024401805872758628,0.03302757853313068,0.020602788860164065,0.24497147039576245,0.14932977839684036,0.16535521581361873,-0.024299133022400124,0.01148467520555731,0.010171732027245422,-0.008141279991852346,0.1452049339105045,0.05178451656244789,0.06667825328664756,0.08553989227683001,0.03849741184896786,-0.03392773799097354,-0.05286258123008752,0.2617969116831715,-0.042663132971280764,-0.6817190896642303,-0.014101664470683804,-0.0561885773157416,-0.04291969400390274,-0.015980193098414055
I see myself as someone who  [... get nervous easily],-0.2623239826249821,-0.1398027682562994,0.1546509395460517,-0.047174015375557536,0.32166721391664804,0.1705615642825581,0.17504996736597506,-0.5643664085714402,0.1088200420324767,-0.10441526297245007,0.10455511770458836,0.024401805872758628,1.0,-0.007999626889993285,-0.03433563884261584,-0.11440238979812122,0.034295682479640224,-0.14013051082403807,-0.0736127415011768,0.07365301475452375,-0.03449180670204642,0.04438254760692841,-0.025448499449894312,0.034595537944393025,0.09625825242356616,-0.1004236619105538,-0.009463649362498973,-0.03152145267740658,0.2003232841608985,0.3568991754154402,-0.05143595147818386,0.1210489995607247,0.8898328306869169,-0.08490680770025803,0.09773860111487333,0.18336459397170815
I see myself as someone who  [... has active imagination],-0.14560618139711368,-0.0958230990279201,0.058863431567411625,0.02109810098026579,0.2217636079120623,0.0500026205221845,-0.03310787419099446,-0.06166836272692086,-0.1587023950534378,-0.04812357238575721,-0.06632936132293646,0.03302757853313068,-0.007999626889993285,1.0,-0.11088981478350222,-0.07148248211216687,-0.16246591474520716,-0.02256904217822957,-0.17453791963001172,-0.14408199044199682,-0.25989907797514916,-0.20379624979456396,-0.0774143424209696,0.016723101389538766,-0.0419781432737985,-0.011614610429541816,-0.016199549809201488,0.07536743230378719,0.14310102653255966,0.18849209220675553,-0.07337549349621447,-0.04100867913923084,0.02946260973802762,0.6842989815928594,0.030900731666916547,0.12834836970137525
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]",-0.11339030873078385,-0.17744943000795832,-0.08739202679556794,-0.19291422080379175,0.08674471506369816,0.06413291001889164,-0.1134294769747846,0.002491923613930162,0.02608507653448028,-0.026124786399394816,-0.03628578622514756,0.020602788860164065,-0.03433563884261584,-0.11088981478350222,1.0,0.569285180553812,0.5574093221248934,0.2628731462699546,0.31135471854770996,0.38791057786634936,0.5730622371932255,0.5044913840644082,-0.20890860914528578,0.35772154655536237,-0.3018875547866942,0.2827609256142031,0.14987673899370382,-0.07062549736736938,-0.12181970855755696,-0.02483995058587587,-0.06478404615679977,-0.09596101561285919,-0.021219714447929378,-0.0821496634228209,0.17453246687471058,-0.0007338886279716627
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]",-0.12574757096947115,-0.2540028437447849,-0.07422210601223848,-0.23705371518397558,0.00039273215125694254,0.18087017964205712,-0.1780709840021523,-0.06119500435994873,0.055555505775461644,-0.08338211284280374,-0.06942937182516189,0.24497147039576245,-0.11440238979812122,-0.07148248211216687,0.569285180553812,1.0,0.6025194063864254,0.3654630843199942,0.40389454968808225,0.2544769529640284,0.4366075664232927,0.44120818498207076,-0.16545216716563502,0.3805206195097164,-0.20972395729744622,0.29484931951162047,0.18277272131714353,-0.12604114711879164,-0.17863781132635106,-0.042023027417571086,-0.1629269004192824,-0.2529667684992087,-0.03228857647683883,-0.0815679905450856,0.16683991203169504,-0.04033193162768098
