,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,57.0,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
unique,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,af963537-2f40-45ef-a585-362b6a0cfa23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.5614035087719298,,5.333333333333333,6.473684210526316,5.508771929824562,3.2982456140350878,3.8596491228070176,2.6491228070175437,3.245614035087719,3.3157894736842106,4.052631578947368,2.491228070175439,3.9649122807017543,2.982456140350877,3.8947368421052633,0.7140350877192981,0.7017543859649122,0.6403508771929824,0.7210526315789474,0.6122807017543861,0.8,0.7350877192982456,0.7385964912280703,0.5701754385964912,0.7175438596491228,0.44561403508771935,0.7508771929824563,0.6877192982456141,0.32631578947368417,5.093567251461989,3.117017543859649,-1.368421052631579,-1.3157894736842106,-0.2631578947368421,0.5789473684210527,-3.3385964912280706,1.1683258018784333
std,0.5006261743217589,,1.1233453440081378,0.8681931804018278,1.1199937343183133,1.0344928412495134,1.059625885652035,1.1571397629835793,1.2716791732978483,1.25581354872964,0.7176611972128369,0.9087433831070532,0.8010018789148142,1.3023499100551095,0.9762210399274298,0.15403918389630153,0.15058365979245966,0.19259473468808525,0.19524420798548597,0.2113478644308921,0.14142135623730953,0.14939309133741216,0.1887500103736159,0.28218845797540404,0.12972884773571797,0.21553105132489156,0.1559794022774709,0.1691049710329953,0.20574456752893663,0.579937003847997,0.2824444630130263,1.5310078257167776,1.5715994438883194,2.2797737653224783,1.7315081001115413,0.7277053922052602,0.0931587290047272
min,0.0,,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.2,0.3,0.1,0.1,0.1,0.5,0.3,0.3,0.0,0.3,0.0,0.4,0.2,0.0,4.0,2.55,-4.0,-4.0,-4.0,-3.0,-4.6,0.931439393939394
25%,0.0,,4.0,6.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,0.7,0.6,0.5,0.6,0.5,0.7,0.7,0.6,0.3,0.6,0.3,0.7,0.6,0.2,4.666666666666667,2.96,-2.0,-2.0,-2.0,0.0,-3.8,1.0969065656565655
50%,1.0,,5.0,7.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,0.7,0.7,0.7,0.8,0.6,0.8,0.7,0.7,0.6,0.7,0.5,0.8,0.7,0.3,5.0,3.08,-2.0,-1.0,0.0,0.0,-3.3,1.1806186868686868
75%,1.0,,6.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,0.8,0.8,0.8,0.9,0.7,0.9,0.9,0.9,0.8,0.8,0.6,0.9,0.8,0.4,5.666666666666667,3.28,0.0,0.0,2.0,1.0,-3.2,1.2288510101010102
