Language,Prolific_ID,Culture_Country,Culture_Language,Culture_Culture_Self,3rd View Video 1,3rd View Video 2,3rd View Video 3,3rd View Video 4,3rd View Video 5,3rd View Video 6,1st View Image 1,1st View Image 2,1st View Image 3,1st View Image 4,1st View Image 5,1st View Image 6
German,673b34b6779d92368ad35f57,5.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,4.0
Italian,6648adee7d29687acc3a0912,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0
Italian,5e8df909e9fe6208d93321a9,4.0,6.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0
German,63b6bfc861dd62d55125a428,5.0,7.0,6.0,3.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0
Italian,669bb61cbc7be494c80aab78,2.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0
Italian,5f0da6848c9769018bb99f27,5.0,7.0,6.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0
German,58d4ebdec8677b0001a2107b,5.0,7.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0
German,674066a20dd7ea932dfcd1ea,5.0,6.0,6.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0
German,671df4409cc481032b4fd9fc,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,4.0,3.0
English,5edd1cfb9a2ae09ff1250c9c,5.0,7.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0
Italian,5b3f242f9c2ec600014ef9fc,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0
Italian,66826c4a2d42c713e9c7475d,6.0,7.0,6.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
Italian,58c62eac444ade00010231a9,5.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0
Italian,672f7b856c1ce6995a666bc6,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0
Italian,5ac4d774436f550001ffd6c1,4.0,6.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0
German,5b0d0f0ebd9c3100015655d9,3.0,7.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0
Italian,5e9c3ff1cf719d151612648f,7.0,7.0,7.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0
Italian,64e218df1a2b314bcf5c6269,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0
Italian,60be9461f162e71cab759c78,4.0,6.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
German,680d588c03ed48387a03c442,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0
Italian,6097e36e99d6c893daf55676,4.0,6.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0
German,67aa368415b94ae3e4391b29,6.0,6.0,6.0,2.0,1.0,3.0,4.0,5.0,4.0,1.0,2.0,3.0,5.0,4.0,2.0
