Metric,Group_A,Group_B,Mean_A,Mean_B,P_Value,Cliff_d,Magnitude
Culture_Closeness_Q1,Italian,German,2.6491228070175437,2.6511627906976742,0.9951509785573514,-0.02216782265741874,negligible
Culture_Closeness_Q2,Italian,German,2.6842105263157894,2.6589147286821704,0.9593603494991625,-0.0033319733442132462,negligible
Culture_Closeness_Q3,Italian,German,3.2280701754385963,3.0930232558139537,0.9614091838991617,0.0484156126750986,negligible
Competence_Q1,Italian,German,5.482456140350878,5.062015503875969,0.038659742003832154,0.14973480212158302,small
Competence_Q2,Italian,German,6.271929824561403,5.945736434108527,0.42920990333361025,0.09853121175030599,negligible
Competence_Q3,Italian,German,6.526315789473684,5.75968992248062,0.010162392061536246,0.2207262341901265,small
Competence_Q4,Italian,German,5.324561403508772,5.116279069767442,0.6401141804016038,0.08404732762137902,negligible
Competence_Q5,Italian,German,6.447368421052632,6.155038759689923,0.10051738198406421,0.13538691690466476,negligible
Competence_Q6,Italian,German,5.649122807017544,5.24031007751938,0.058314644919166214,0.15238678090575275,small
Culture_Closeness_Q1,A,B,2.54320987654321,2.45679012345679,0.9981164707075931,0.05258344764517604,negligible
Culture_Closeness_Q2,A,B,2.567901234567901,2.567901234567901,0.9999999991920984,0.020118884316415182,negligible
Culture_Closeness_Q3,A,B,2.802469135802469,3.271604938271605,0.4462211607239761,-0.16034141137021796,small
Competence_Q1,A,B,4.802469135802469,5.54320987654321,0.3380139796233299,-0.20698064319463497,small
Competence_Q2,A,B,5.469135802469136,6.555555555555555,0.05619054624042126,-0.27632982777015697,small
Competence_Q3,A,B,5.567901234567901,6.666666666666667,0.02288521891131717,-0.28821825941167506,small
Competence_Q4,A,B,4.703703703703703,5.691358024691358,0.0027764389376439243,-0.28593202255753697,small
Competence_Q5,A,B,5.962962962962963,6.654320987654321,0.4462211607239761,-0.18488035360463345,small
Competence_Q6,A,B,4.925925925925926,5.777777777777778,0.12448725716216284,-0.2423411065386374,small
Culture_Closeness_Q1,B,F,2.45679012345679,2.950617283950617,0.12448725716216284,-0.2234415485444292,small
Culture_Closeness_Q2,B,F,2.567901234567901,2.876543209876543,0.5705171228607941,-0.13946044810242342,negligible
Culture_Closeness_Q3,B,F,3.271604938271605,3.3950617283950617,0.925361084528803,-0.05883249504648681,negligible
Competence_Q1,B,F,5.54320987654321,5.432098765432099,0.999978514587676,0.027434842249657063,negligible
Competence_Q2,B,F,6.555555555555555,6.271604938271605,0.925361084528803,0.08443834781283341,negligible
Competence_Q3,B,F,6.666666666666667,6.1234567901234565,0.702688650071809,0.15576893766194178,small
Competence_Q4,B,F,5.691358024691358,5.246913580246914,0.2488106951862405,0.14738606919676878,small
Competence_Q5,B,F,6.654320987654321,6.2592592592592595,0.8276521652890327,0.12498094802621551,negligible
Competence_Q6,B,F,5.777777777777778,5.592592592592593,0.999978514587676,0.05456485291876238,negligible
Culture_Closeness_Q1,A,F,2.54320987654321,2.950617283950617,0.3380139796233299,-0.16963877457704618,small
Culture_Closeness_Q2,A,F,2.567901234567901,2.876543209876543,0.925361084528803,-0.12406645328456029,negligible
Culture_Closeness_Q3,A,F,2.802469135802469,3.3950617283950617,0.2488106951862405,-0.22389879591525683,small
Competence_Q1,A,F,4.802469135802469,5.432098765432099,0.3380139796233299,-0.18061271147690902,small
Competence_Q2,A,F,5.469135802469136,6.271604938271605,0.02288521891131717,-0.20408474317939337,small
Competence_Q3,A,F,5.567901234567901,6.1234567901234565,0.4462211607239761,-0.14327084285932024,negligible
Competence_Q4,A,F,4.703703703703703,5.246913580246914,0.02288521891131717,-0.16887669562566682,small
Competence_Q5,A,F,5.962962962962963,6.2592592592592595,0.925361084528803,-0.0661484529797287,negligible
Competence_Q6,A,F,4.925925925925926,5.592592592592593,0.2488106951862405,-0.18869074836153024,small
Culture_Closeness_Q1,Italian,German,2.710526315789474,2.395348837209302,0.9863254836356162,0.08384332925336598,negligible
Culture_Closeness_Q2,Italian,German,2.6315789473684212,2.511627906976744,0.8301975398937866,0.012851897184822521,negligible
