,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8104053040033468,0.6524472910299225,0.19149536101480794,0.09895656166595986,0.13670873239411924,0.09269709362762454,0.41130179815941625,0.4032525419791084,0.8735578455346058,0.3660340458955429
Which picture best describes the relationship between Pepper and your national culture? ,0.8104053040033468,1.0,0.8466132096191098,0.3377639812683607,0.15385544379235042,0.01980295085953347,0.23616853634164683,0.6324555320336759,0.5303300858899106,0.9639551970880841,0.46490912876941815
Which picture best describes the relationship between Pepper and your own preferences? ,0.6524472910299225,0.8466132096191098,1.0,0.2490302702698119,0.19613845530386698,0.10421759867668651,0.1371753073718756,0.6512171447631795,0.3074127808030224,0.9204422719535389,0.41096141009967885
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.19149536101480794,0.3377639812683607,0.2490302702698119,1.0,0.8331189763089822,0.8100787378070814,0.9476856655406486,0.8307471607356973,0.8491918278948405,0.2852385288556568,0.9360255668049771
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.09895656166595986,0.15385544379235042,0.19613845530386698,0.8331189763089822,1.0,0.7616979482229074,0.8025822866698253,0.6255432421712241,0.6372116189642144,0.16705219616486572,0.8221308487769629
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.13670873239411924,0.01980295085953347,0.10421759867668651,0.8100787378070814,0.7616979482229074,1.0,0.8382325409998371,0.6888467201936642,0.6861372411737249,0.09177479518618849,0.8459413089369244
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.09269709362762454,0.23616853634164683,0.1371753073718756,0.9476856655406486,0.8025822866698253,0.8382325409998371,1.0,0.8234284851240442,0.9120571170812068,0.17175222319165734,0.9449670799400937
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.41130179815941625,0.6324555320336759,0.6512171447631795,0.8307471607356973,0.6255432421712241,0.6888467201936642,0.8234284851240442,1.0,0.8571593913749194,0.625291073877919,0.9220226083444039
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.4032525419791084,0.5303300858899106,0.3074127808030224,0.8491918278948405,0.6372116189642144,0.6861372411737249,0.9120571170812068,0.8571593913749194,1.0,0.44567412932911465,0.9282669585398478
mean_cultural_closeness,0.8735578455346058,0.9639551970880841,0.9204422719535389,0.2852385288556568,0.16705219616486572,0.09177479518618849,0.17175222319165734,0.625291073877919,0.44567412932911465,1.0,0.45187132319261747
mean_competence,0.3660340458955429,0.46490912876941815,0.41096141009967885,0.9360255668049771,0.8221308487769629,0.8459413089369244,0.9449670799400937,0.9220226083444039,0.9282669585398478,0.45187132319261747,1.0
