,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.802693003896196,0.856712711914204,0.7157794877282424,0.534454096475023,0.6660504714649794,0.6427068393619931,0.3811864479215105,0.5511364944351602,0.9629320786756337,0.7491357592780021
Which picture best describes the relationship between Pepper and your national culture? ,0.802693003896196,1.0,0.6445747894605502,0.7276108534659526,0.5637586799249876,0.532224326285302,0.6666396142322746,0.2121849913125445,0.5615831685623954,0.9011875306371184,0.6844839086870207
Which picture best describes the relationship between Pepper and your own preferences? ,0.856712711914204,0.6445747894605502,1.0,0.7012583620088775,0.5620824251847182,0.7088087409956287,0.7218230018789678,0.3750763940685474,0.6198215031173032,0.8925817782387455,0.7832401358542107
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.7157794877282424,0.7276108534659526,0.7012583620088775,1.0,0.7110066746334128,0.7522860434437523,0.7710267742486118,0.5650805671272207,0.8344065906706125,0.7784234323200598,0.8951899698562154
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.534454096475023,0.5637586799249876,0.5620824251847182,0.7110066746334128,1.0,0.7643412519601097,0.6990995660793804,0.1516859956143149,0.6243257446176329,0.6016678280956566,0.7948007184912046
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.6660504714649794,0.532224326285302,0.7088087409956287,0.7522860434437523,0.7643412519601097,1.0,0.8060108812203451,0.39492776572687,0.7890818024541062,0.6844652287015985,0.9218902627667523
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.6427068393619931,0.6666396142322746,0.7218230018789678,0.7710267742486118,0.6990995660793804,0.8060108812203451,1.0,0.32469415900458626,0.7664540325370371,0.7336539597791202,0.8877575131660851
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.3811864479215105,0.2121849913125445,0.3750763940685474,0.5650805671272207,0.1516859956143149,0.39492776572687,0.32469415900458626,1.0,0.6406249539276188,0.34508243179747156,0.5727068944646254
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5511364944351602,0.5615831685623954,0.6198215031173032,0.8344065906706125,0.6243257446176329,0.7890818024541062,0.7664540325370371,0.6406249539276188,1.0,0.625371452444779,0.9080051471943263
mean_cultural_closeness,0.9629320786756337,0.9011875306371184,0.8925817782387455,0.7784234323200598,0.6016678280956566,0.6844652287015985,0.7336539597791202,0.34508243179747156,0.625371452444779,1.0,0.7996668767150156
mean_competence,0.7491357592780021,0.6844839086870207,0.7832401358542107,0.8951899698562154,0.7948007184912046,0.9218902627667523,0.8877575131660851,0.5727068944646254,0.9080051471943263,0.7996668767150156,1.0
