,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.04108134025548277,-0.04225001481984201,0.15316971293620993,0.1893583209293409,0.23213911414154095,0.45854346764242454,-0.10220372719158465,0.04708283488249022,0.2438548038823418,0.024770251767019132,0.18461141347334628
Which picture best describes the relationship between Pepper and your country? ,-0.04108134025548277,1.0,0.9442847000064586,0.5747313990283969,0.6278839844217731,0.46234166095745494,0.41020278655126013,0.4545924189981858,0.36237131250617743,0.42471416941301227,0.9472357055876642,0.6112474712236123
Which picture best describes the relationship between Pepper and your national culture? ,-0.04225001481984201,0.9442847000064586,1.0,0.5325056345010497,0.6331738705001251,0.4754942732102276,0.46349183662646315,0.45466765620134947,0.340527203169851,0.4367963615671424,0.9311247063507372,0.6208264334506317
Which picture best describes the relationship between Pepper and your own preferences? ,0.15316971293620993,0.5747313990283969,0.5325056345010497,1.0,0.8457554636514794,0.7517896594259429,0.5376976031242403,0.7083091543303026,0.4673158468456755,0.7364501518111517,0.7867346958168836,0.80968961096814
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.1893583209293409,0.6278839844217731,0.6331738705001251,0.8457554636514794,1.0,0.7869459778264944,0.6913348642481392,0.7761622181249368,0.6253605057070576,0.8797107847894744,0.7879961516447654,0.92228021971346
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.23213911414154095,0.46234166095745494,0.4754942732102276,0.7517896594259429,0.7869459778264944,1.0,0.7199145798193011,0.7082924589091478,0.48806934256701784,0.8124822173844397,0.6311133990284024,0.8923209547190043
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.45854346764242454,0.41020278655126013,0.46349183662646315,0.5376976031242403,0.6913348642481392,0.7199145798193011,1.0,0.36080627822462685,0.635270837520477,0.7310089929751643,0.5279423642620574,0.8038180888332189
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.10220372719158465,0.4545924189981858,0.45466765620134947,0.7083091543303026,0.7761622181249368,0.7082924589091478,0.36080627822462685,1.0,0.4246174109845043,0.779773029163932,0.6043890672226899,0.7970159361308936
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.04708283488249022,0.36237131250617743,0.340527203169851,0.4673158468456755,0.6253605057070576,0.48806934256701784,0.635270837520477,0.4246174109845043,1.0,0.6873685004556178,0.43784495073222274,0.7327347226429639
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.2438548038823418,0.42471416941301227,0.4367963615671424,0.7364501518111517,0.8797107847894744,0.8124822173844397,0.7310089929751643,0.779773029163932,0.6873685004556178,1.0,0.5966002180464077,0.9371576381315234
mean_cultural_closeness,0.024770251767019132,0.9472357055876642,0.9311247063507372,0.7867346958168836,0.7879961516447654,0.6311133990284024,0.5279423642620574,0.6043890672226899,0.43784495073222274,0.5966002180464077,1.0,0.7637504246368993
mean_competence,0.18461141347334628,0.6112474712236123,0.6208264334506317,0.80968961096814,0.92228021971346,0.8923209547190043,0.8038180888332189,0.7970159361308936,0.7327347226429639,0.9371576381315234,0.7637504246368993,1.0
