,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italy or Germany?,,1.0,0.4442902531573629,0.5202289113969861,-0.05415059309490847,0.08029684251682094,0.11442510246728073,-0.20933591873439758,0.2866590202470448,0.34110733859868164,-0.03548640975852751,0.16181254068252873,0.10093315741970142,-0.1581485574516253,-0.3239798804910008,-0.21658017745654404,-0.17733579823293202,0.02056189095523326,-0.03798698969520208,-0.029799120567720133,-0.047367905962936045,-0.06353048473185545,-0.11541854239236783,-0.07417400478083079,-0.024842175564026975,0.0013370781174618848,-0.0415736541412946,-0.014710622084316118,0.5199474198230641,0.2156530077899465,-0.07055696947795956,0.004537181419521558,0.1786726560120273,-0.3296679343579804,-0.3804382800548654,0.45225559256505976
Which picture best describes your relationship with Italian or German language?,,0.4442902531573629,1.0,0.374682299993384,0.09389591875217777,0.18698987874304696,0.10311706830966298,-0.5044839596836108,0.2782469421237069,0.011937045553447868,0.013321624054713873,0.07032257106651334,0.41478962889096993,0.036128665012136754,-0.15084010652043076,-0.022392095275665186,-0.04697309629747363,-0.10147473094775171,-0.0907263397207284,0.1626510094945749,-0.027195917990891036,0.14894798760516867,0.07755862386869111,0.26870300141705505,0.08774230768639035,-0.022085364337727155,0.13988299135354004,-0.09549524313105846,0.8073408240423916,0.18816828803751828,-0.10258037672322963,0.04090053383492242,0.5293290672077712,-0.22064993068222238,-0.03469344456766964,0.7890365289006244
Which picture best describes your relationship with Italian or German Culture?,,0.5202289113969861,0.374682299993384,1.0,-0.10310568621721006,0.3193442704486554,-0.04651961311933797,-0.1729079696795362,0.29422896909369356,0.2789740616981893,-0.2166650832497768,0.09445022449336107,0.11566523903229527,0.0573284042834552,-0.2441180800182446,-0.1283618454109619,-0.1836434855600988,-0.19856977203868215,-0.08087900214279552,0.08924540721069023,0.02655337017893109,0.034054649130168334,-0.04909720447979498,0.040701227148931346,-0.06627903479196418,-0.030469615720865213,0.01739299955400592,0.005654157773894138,0.7297730070881743,0.21693549449546173,-0.32919690195792845,-0.07997207654604803,0.16616992969105623,-0.22330499184237732,-0.30794561191034675,0.6596756379258143
I see myself as someone who  [... is reserved ],,-0.05415059309490847,0.09389591875217777,-0.10310568621721006,1.0,0.021055306448518746,-0.07783609131733049,-0.004173585439083391,-0.18422611471838948,-0.5594767077327,-0.24408816013223655,-0.04005997656200275,0.19629719258293474,0.07432188137484487,0.18151603739079747,-0.051690882406922344,0.08381922856526687,0.19466434286046844,0.21750379944259374,0.31181221013494437,0.22315501753544364,0.08329578706692037,-0.04030500541516908,0.1767289194486882,-0.17375133527934528,-0.015639171784154124,-0.11068586975295674,-0.1362167037229932,0.3698381122107102,-0.2553595125212216,-0.1695295932017678,-0.0372221963242127,0.11539047662199749,0.1975571898707692,0.5703659129379588,0.3552477334453158
I see myself as someone who  [... is generally trusting],,0.08029684251682094,0.18698987874304696,0.3193442704486554,0.021055306448518746,1.0,-0.13714527251250727,0.07336087894425146,0.29784414724495767,0.15552963400656517,-0.3045187732654045,-0.04117740221420884,0.1662725689274273,-0.15933309513185906,-0.03817354124700638,0.097879283933645,-0.03931976296863573,-0.18117804609671337,0.17293434038752212,0.005369975238295495,0.18835184387420925,0.16247504406683513,-0.11182925037951988,0.03997599945760552,-0.09307311372287272,-0.3317871464074963,0.10692022148326684,0.04147376192167106,0.29119592892106894,0.33879131045855654,-0.7903028707783123,-0.07992299438228852,0.053449096371232664,-0.33991910183016605,-0.15667374631385036,0.21837403686704301
I see myself as someone who  [... tends to be lazy],,0.11442510246728073,0.10311706830966298,-0.04651961311933797,-0.07783609131733049,-0.13714527251250727,1.0,-0.19396831200744877,0.16401137367143034,0.01578417917196912,0.10177547981464852,-0.32430886120403324,0.36240718167869623,-0.15591540860972145,-0.15313966793969894,-0.33906116335192626,-0.22296437634626637,-0.1091853523431834,-0.16686193923066803,0.0868499939757575,0.11088755080706929,0.17509495325822574,-0.13453402255973326,-0.2911175804625593,0.17474937528214113,-0.0850136183295027,0.0912370505535338,-0.03466467868148256,0.003027709805024937,0.34128222490616766,0.1469901821879139,0.8872822657774354,0.3203225538633702,-0.22289586153065885,-0.0387765925058421,-0.05588805597078052
"I see myself as someone who  [... is relaxed, handles stress well]",,-0.20933591873439758,-0.5044839596836108,-0.1729079696795362,-0.004173585439083391,0.07336087894425146,-0.19396831200744877,1.0,-0.26716679898777507,0.096546657771659,0.03052778098489684,-0.03683449729545924,-0.5081273353712493,0.060260222591067565,0.026472104201111426,-0.0011662190216599007,-0.08716254505681742,0.19627568585446162,0.2695717798748179,-0.2286470141182548,-0.005060338049543608,-0.1700384013611721,0.0544665754393127,-0.008920345913935803,0.008222190249616887,-0.037809195063116065,-0.1339932622225024,0.15878702040150394,-0.38213851201301946,0.0736738538750408,-0.02396933807946473,-0.12347335531962272,-0.8684684528541913,0.2616044540689791,-0.08956806443211102,-0.3531097474756468
I see myself as someone who  [... has few artistic interests],,0.2866590202470448,0.2782469421237069,0.29422896909369356,-0.18422611471838948,0.29784414724495767,0.16401137367143034,-0.26716679898777507,1.0,0.2738602912472449,-0.025536336437932954,0.1070468053515865,0.15026792779882658,0.017505169999239917,0.08365429151877318,0.05291123570137467,0.07590235313476873,-0.1276923614963793,0.012585559025118383,0.25606982914435494,0.24768224273773332,0.22812099915202114,-0.11266550947355765,0.046023046619637464,0.011472959887563972,0.302397328780301,0.3141876599661427,-0.03728806502987171,0.2517549532714625,0.6075951334587956,-0.19346997314853107,0.0673959698936169,0.2403795602194413,-0.8518506967335318,-0.25275249594459637,0.2963259078736232
"I see myself as someone who  [... is ongoing, sociable]",,0.34110733859868164,0.011937045553447868,0.2789740616981893,-0.5594767077327,0.15552963400656517,0.01578417917196912,0.096546657771659,0.2738602912472449,1.0,0.19230625962699052,0.1560525901982929,0.011674301957545305,-0.07641209592807162,-0.12150339100278981,-0.07539893958450283,0.09875735558279436,-0.006455172787495398,-0.05087094873830468,-0.03260709680718935,-0.05643624692407655,0.14451476970728583,-0.32600828822853567,-0.04297289559350849,-0.16413774948435003,-0.07088580049667524,-0.01008999760512625,-0.18982143188811001,-0.04727351747204874,0.5815628749801097,0.03125509370747461,-0.0645789819534491,-0.0488908827746269,-0.27582909206308354,-0.9883614814971808,-0.0817523755496176
