Paradigm,Nationality,Participant_ID,Culture_Closeness_Q1,Culture_Closeness_Q2,Culture_Closeness_Q3,Competence_Q1,Competence_Q2,Competence_Q3,Competence_Q4,Competence_Q5,Competence_Q6,Culture_Closeness_Q1_norm,Culture_Closeness_Q2_norm,Culture_Closeness_Q3_norm,Culture_Closeness_Avg,Competence_Q1_norm,Competence_Q2_norm,Competence_Q3_norm,Competence_Q4_norm,Competence_Q5_norm,Competence_Q6_norm,Competence_Overall,all_average
F,German,af963537-2f40-45ef-a585-362b6a0cfa23,2,1,1,3,2,2,1,7,2,0.1666666666666666,0.0,0.0,0.0555555555555555,0.25,0.125,0.125,0.0,0.75,0.125,0.2291666666666666,0.1423611111111111
B,German,af963537-2f40-45ef-a585-362b6a0cfa23,1,1,1,5,3,1,1,9,4,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,1.0,0.375,0.3541666666666667,0.1770833333333333
A,German,af963537-2f40-45ef-a585-362b6a0cfa23,1,1,1,3,2,4,3,7,3,0.0,0.0,0.0,0.0,0.25,0.125,0.375,0.25,0.75,0.25,0.3333333333333333,0.1666666666666666
F,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,3,3,2,4,5,4,5,5,4,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.375,0.5,0.375,0.5,0.5,0.375,0.4375,0.3576388888888888
A,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,4,3,2,6,7,6,5,6,6,0.5,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.625,0.75,0.625,0.5,0.625,0.625,0.625,0.4791666666666666
B,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,3,2,3,7,7,6,5,6,5,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.75,0.75,0.625,0.5,0.625,0.5,0.625,0.4513888888888888
B,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,3,4,5,6,5,9,7,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.375,0.5,0.625,0.5,1.0,0.75,0.625,0.4513888888888888
F,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,4,7,7,8,8,9,9,0.3333333333333333,0.1666666666666666,0.5,0.3333333333333333,0.75,0.75,0.875,0.875,1.0,1.0,0.875,0.6041666666666666
A,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,4,8,8,8,7,9,9,0.3333333333333333,0.1666666666666666,0.5,0.3333333333333333,0.875,0.875,0.875,0.75,1.0,1.0,0.8958333333333334,0.6145833333333334
A,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,2,1,2,2,4,3,4,5,5,0.1666666666666666,0.0,0.1666666666666666,0.1111111111111111,0.125,0.375,0.25,0.375,0.5,0.5,0.3541666666666667,0.2326388888888889
F,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,1,1,2,3,3,3,2,2,2,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.25,0.25,0.125,0.125,0.125,0.1875,0.1215277777777777
B,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,1,1,1,2,4,4,3,3,2,0.0,0.0,0.0,0.0,0.125,0.375,0.375,0.25,0.25,0.125,0.25,0.125
A,German,831dea5f-05d3-4907-8ac8-893e24281e36,2,4,1,7,9,8,6,5,7,0.1666666666666666,0.5,0.0,0.2222222222222222,0.75,1.0,0.875,0.625,0.5,0.75,0.75,0.4861111111111111
B,German,831dea5f-05d3-4907-8ac8-893e24281e36,4,4,4,6,5,8,8,9,8,0.5,0.5,0.5,0.5,0.625,0.5,0.875,0.875,1.0,0.875,0.7916666666666666,0.6458333333333333
F,German,831dea5f-05d3-4907-8ac8-893e24281e36,5,3,4,7,9,9,6,9,8,0.6666666666666666,0.3333333333333333,0.5,0.5,0.75,1.0,1.0,0.625,1.0,0.875,0.875,0.6875
A,Italian,3318f716-94c4-4264-a345-2546b545b2a1,3,3,5,7,9,7,8,9,9,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.75,1.0,0.75,0.875,1.0,1.0,0.8958333333333334,0.6701388888888888
B,Italian,3318f716-94c4-4264-a345-2546b545b2a1,2,2,5,7,9,9,5,9,7,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.75,1.0,1.0,0.5,1.0,0.75,0.8333333333333334,0.5833333333333334
F,Italian,3318f716-94c4-4264-a345-2546b545b2a1,2,5,5,9,9,9,6,9,9,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,0.625,1.0,1.0,0.9375,0.71875
B,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,2,3,5,4,5,5,4,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.5,0.375,0.5,0.5,0.375,0.4166666666666667,0.2361111111111111
A,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,1,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625
F,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,2,5,6,5,5,5,5,0.0,0.0,0.1666666666666666,0.0555555555555555,0.5,0.625,0.5,0.5,0.5,0.5,0.5208333333333334,0.2881944444444445
A,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,4,5,3,6,6,6,4,6,4,0.5,0.6666666666666666,0.3333333333333333,0.4999999999999999,0.625,0.625,0.625,0.375,0.625,0.375,0.5416666666666666,0.5208333333333333
B,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,6,5,5,7,8,8,7,5,5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.75,0.875,0.875,0.75,0.5,0.5,0.7083333333333334,0.7152777777777778
F,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,5,5,5,7,7,7,8,9,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.875,1.0,0.75,0.8125,0.7395833333333333
B,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,3,2,4,8,9,9,7,9,8,0.3333333333333333,0.1666666666666666,0.5,0.3333333333333333,0.875,1.0,1.0,0.75,1.0,0.875,0.9166666666666666,0.625
A,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,3,3,4,7,6,8,8,8,7,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888888,0.75,0.625,0.875,0.875,0.875,0.75,0.7916666666666666,0.5902777777777777
F,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,4,4,2,6,7,7,5,7,6,0.5,0.5,0.1666666666666666,0.3888888888888889,0.625,0.75,0.75,0.5,0.75,0.625,0.6666666666666666,0.5277777777777778
B,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,1,2,3,4,4,6,5,5,4,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.375,0.375,0.625,0.5,0.5,0.375,0.4583333333333333,0.3125
A,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,1,1,3,3,2,2,3,5,3,0.0,0.0,0.3333333333333333,0.1111111111111111,0.25,0.125,0.125,0.25,0.5,0.25,0.25,0.1805555555555555
F,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,2,2,4,5,6,6,4,4,5,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.5,0.625,0.625,0.375,0.375,0.5,0.5,0.3888888888888888
B,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,1,3,4,4,3,6,8,4,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.375,0.375,0.25,0.625,0.875,0.375,0.4791666666666667,0.3229166666666667
F,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,2,4,6,6,6,5,8,6,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.625,0.625,0.625,0.5,0.875,0.625,0.6458333333333334,0.4618055555555556
A,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,2,3,5,6,7,5,7,5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.625,0.75,0.5,0.75,0.5,0.6041666666666666,0.4131944444444444
F,German,54327bfe-6f42-427f-b32d-02e417005af2,2,2,3,3,6,3,2,4,2,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.25,0.625,0.25,0.125,0.375,0.125,0.2916666666666667,0.2569444444444444
