,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
28,0,75ce6743-7ce3-44de-adfc-a86b0e097dcc,1,2,4,4,4,3,4,2,3,2,4,4,4,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.7,0.9,0.5,0.8,0.8,0.5,3.3333333333333335,3.09,-2,-1,0,2,-2.1,0.9280934343434344
39,0,4db961c3-1479-418f-a6bc-970fd0316cad,2,2,3,2,4,5,5,3,4,2,4,1,3,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.1,0.1,0.3,0.5,0.6,0.5,2.3333333333333335,3.18,-2,1,-4,0,-3.2,0.5593434343434344
72,1,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,2,2,4,5,3,1,5,3,3,2,5,1,4,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.6,0.8,0.8,0.3,0.8,0.8,0.3,3.6666666666666665,2.77,-1,-4,-4,1,-2.3,0.9499368686868687
40,0,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,4,3,2,4,4,1,4,3,4,2,4,2,4,1.0,0.9,0.9,0.6,0.7,0.9,0.8,0.7,0.5,0.8,0.4,0.8,0.7,0.3,3.0,2.9,-2,-3,-2,1,-3.0,0.8416666666666666
58,0,306ce31e-7894-4635-86a2-db5a2e2aee61,5,3,6,4,4,2,4,2,4,4,4,3,4,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.5,0.2,0.7,0.3,0.8,0.7,0.2,4.333333333333333,3.17,0,-2,-1,2,-3.3,1.0335858585858586
31,0,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,3,1,4,2,1,5,1,3,4,5,1,5,0.9,0.7,0.7,0.8,0.4,0.5,0.5,0.1,1.0,0.6,0.7,0.9,0.3,0.2,2.6666666666666665,2.79,2,-4,-4,4,-2.1,0.764330808080808
15,1, bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,3,4,5,2,2,4,4,4,3,4,5,2,1,0.6,0.7,0.5,0.7,0.3,0.8,0.8,0.7,0.8,0.6,0.6,0.7,0.7,0.2,3.6666666666666665,2.96,2,-1,-2,-3,-2.4,0.905618686868687
48,0,101da011-5202-484f-bbcb-37ef039a2d7b,3,4,3,2,3,1,4,2,5,2,5,1,4,0.6,0.9,0.7,0.9,0.8,0.7,0.6,0.7,0.4,0.6,0.4,0.6,0.4,0.4,3.0,2.7600000000000002,-1,-4,-3,2,-4.4,0.76875
70,0,7136f1af-5dd3-4449-8119-25485f011a03,2,4,3,4,5,2,5,5,2,2,4,3,3,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.5,3.6666666666666665,3.19,-3,-2,-2,-2,-1.1,1.0224747474747475
60,0,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,4,4,4,4,4,3,4,4,3,3,3,2,5,0.4,0.4,0.2,0.5,0.3,0.5,0.7,0.7,0.5,0.7,0.4,0.5,0.5,0.6,4.0,3.1399999999999997,-1,0,-2,1,-2.6,0.931439393939394
