,,0
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9361951601228176
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9361951601228176
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9206016715911233
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.9206016715911233
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.9003410423868767
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.9003410423868767
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.8558362855251407
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,mean_competence,0.8558362855251407
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8526316141093988
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,mean_competence,0.8526316141093988
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,mean_competence,0.8507142159621364
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.8507142159621364
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.8506297433013963
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.8506297433013963
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.832884863221824
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.832884863221824
Which picture best describes the relationship between Pepper and your own preferences? ,mean_cultural_closeness,0.8297595298819609
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your own preferences? ,0.8297595298819609
