Informazioni cronologiche,P,Nationality,Participant ID,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. 
8/12/2025 12:54:17,F,German,af963537-2f40-45ef-a585-362b6a0cfa23,2,1,1,3,2,2,1,7,2
8/12/2025 12:57:41,B,German,af963537-2f40-45ef-a585-362b6a0cfa23,1,1,1,5,3,1,1,9,4
8/12/2025 13:00:45,A,German,af963537-2f40-45ef-a585-362b6a0cfa23,1,1,1,3,2,4,3,7,3
8/12/2025 13:58:28,F,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,3,3,2,4,5,4,5,5,4
8/12/2025 14:02:18,A,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,4,3,2,6,7,6,5,6,6
8/12/2025 14:06:06,B,Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,3,2,3,7,7,6,5,6,5
8/12/2025 15:17:03,B,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,3,4,5,6,5,9,7
8/12/2025 15:21:36,F,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,4,7,7,8,8,9,9
8/12/2025 15:25:55,A,German,769f83e0-4702-4b09-930c-53309601ff1f,3,2,4,8,8,8,7,9,9
8/12/2025 16:14:05,A,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,2,1,2,2,4,3,4,5,5
8/12/2025 16:18:21,F,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,1,1,2,3,3,3,2,2,2
8/12/2025 16:26:01,B,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,1,1,1,2,4,4,3,3,2
8/13/2025 8:07:29,A,German,831dea5f-05d3-4907-8ac8-893e24281e36,2,4,1,7,9,8,6,5,7
8/13/2025 8:12:18,B,German,831dea5f-05d3-4907-8ac8-893e24281e36,4,4,4,6,5,8,8,9,8
8/13/2025 8:16:39,F,German,831dea5f-05d3-4907-8ac8-893e24281e36,5,3,4,7,9,9,6,9,8
8/13/2025 9:22:27,A,Italian,3318f716-94c4-4264-a345-2546b545b2a1,3,3,5,7,9,7,8,9,9
8/13/2025 9:30:26,B,Italian,3318f716-94c4-4264-a345-2546b545b2a1,2,2,5,7,9,9,5,9,7
