,Nationality,  Which picture best describes your relationship with Italy or Germany?   ,  Which picture best describes your relationship with Italian or German language?   ,  Which picture best describes your relationship with Italian or German Culture?   ,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
1,0,5,7,4,2,5,4,1,5,3,4,4,5,3,0.7,0.7,0.5,0.4,0.5,0.6,0.7,0.5,0.8,0.5,0.6,0.8,0.8,0.3,5.333333333333333,3.6,1,1,0,4,-2,0.36856060606060603,1,1,1,5,3,1,1,9,4,1.0,3.1666666666666665
3,0,4,5,5,3,4,2,1,4,4,1,5,5,4,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.3,0.6,0.3,0.8,0.8,0.3,4.666666666666667,3.3,1,3,3,4,0,0.24545454545454545,3,2,3,4,5,6,5,9,7,2.6666666666666665,5.777777777777778
8,1,7,7,7,3,2,4,4,1,5,2,3,3,5,0.6,0.4,0.3,0.8,0.8,0.8,0.3,0.3,0.8,0.3,0.6,0.4,0.5,0.8,7.0,3.2,2,0,-1,-1,4,0.425189393939394,1,1,1,2,4,4,3,3,2,1.0,2.8333333333333335
10,0,5,7,5,4,5,3,2,5,5,2,4,5,2,0.8,0.6,1.0,0.5,0.5,1.0,1.0,1.0,0.3,0.7,0.5,0.7,0.9,0.2,5.666666666666667,3.7,1,3,1,3,-3,0.2712121212121212,4,4,4,6,5,8,8,9,8,4.0,7.0
13,1,6,7,6,1,4,5,5,1,4,2,4,1,5,0.9,0.9,0.7,1.0,0.9,1.0,0.9,0.9,0.1,0.9,0.1,1.0,1.0,0.0,6.333333333333333,3.2,3,2,-1,-4,4,0.1606060606060606,2,2,5,7,9,9,5,9,7,3.0,7.0
15,0,6,7,5,3,2,4,3,4,4,4,3,3,4,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.5,0.8,0.5,0.3,6.0,3.4,1,-2,-1,0,0,0.321969696969697,1,1,2,3,5,4,5,5,4,1.3333333333333333,4.055555555555555
19,0,5,7,6,4,4,3,2,4,4,2,3,4,4,0.7,0.4,0.4,0.1,0.2,0.9,0.6,0.5,0.5,0.6,0.5,0.7,0.4,0.3,6.0,3.4,0,2,0,2,0,0.290530303030303,6,5,5,7,8,8,7,5,5,5.333333333333333,6.388888888888889
21,1,7,7,6,4,3,3,4,5,4,3,4,4,5,0.3,0.3,0.3,0.5,0.3,0.7,0.5,0.4,0.6,0.5,0.5,0.7,0.5,0.1,6.666666666666667,3.9,0,0,1,0,0,0.26875000000000004,3,2,4,8,9,9,7,9,8,3.0,7.5
24,1,2,5,2,5,3,4,1,2,1,2,4,5,5,0.5,0.9,0.8,1.0,0.7,0.9,0.5,0.5,0.8,0.8,0.8,0.9,0.9,0.3,3.0,3.2,-4,1,0,4,3,0.42689393939393944,1,2,3,4,4,6,5,5,4,2.0,4.333333333333333
27,0,7,7,5,5,5,4,2,4,4,2,5,4,2,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.2,0.7,0.2,0.7,0.7,0.1,6.333333333333333,3.7,-1,3,1,2,-2,0.18901515151515152,2,1,3,4,4,3,6,8,4,2.0,4.5
32,0,3,6,2,5,3,4,5,2,2,3,4,4,4,0.8,0.9,0.7,0.7,0.6,0.8,0.8,0.9,0.5,0.9,0.2,0.9,0.7,0.0,3.6666666666666665,3.6,-3,0,0,-1,2,0.22916666666666669,2,1,3,6,7,8,7,6,7,2.0,6.166666666666667
33,1,6,7,5,4,1,2,4,4,4,2,3,2,4,0.9,0.8,0.1,0.8,0.1,0.8,0.9,0.7,0.5,0.7,0.5,0.8,0.7,0.5,6.0,3.0,0,-1,1,-2,0,0.34488636363636366,1,1,1,3,3,8,1,7,4,1.0,4.0
36,0,5,6,5,4,3,5,2,5,4,3,5,4,5,0.8,0.7,0.7,0.8,0.7,0.9,0.9,1.0,0.3,0.5,0.7,0.8,0.7,0.4,5.333333333333333,4.0,0,0,0,2,0,0.3270833333333333,1,1,1,2,2,2,3,5,2,1.0,2.5
41,1,7,7,7,3,2,4,4,4,3,4,4,1,3,0.7,0.7,0.7,0.9,0.4,0.9,0.7,0.7,1.0,0.6,0.4,0.8,0.8,0.0,7.0,3.2,0,-2,0,-3,-1,0.3293560606060606,1,1,6,7,7,7,7,5,7,2.6666666666666665,5.944444444444444
43,1,7,7,7,4,4,2,5,1,5,2,5,2,5,0.8,0.6,0.4,0.8,0.2,0.9,0.8,0.7,0.9,0.6,0.4,0.8,0.9,0.1,7.0,3.5,1,2,3,-3,4,0.32878787878787885,3,2,3,3,6,6,2,6,5,2.6666666666666665,4.611111111111112
47,1,5,7,7,2,4,1,1,4,5,3,4,4,5,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.5,0.7,0.5,0.7,0.8,0.6,6.333333333333333,3.3,3,1,3,3,1,0.3632575757575758,3,2,5,8,9,9,9,8,8,3.3333333333333335,7.722222222222222
48,1,4,7,5,2,4,1,2,4,5,1,4,2,3,0.8,0.7,0.8,0.7,0.9,0.8,0.7,0.7,1.0,0.9,0.5,0.9,0.8,0.4,5.333333333333333,2.8,3,3,3,0,-1,0.4308712121212121,2,2,1,7,8,9,5,7,6,1.6666666666666667,6.111111111111111
53,1,6,7,4,3,3,2,4,4,4,1,4,1,4,0.7,0.8,0.7,0.5,1.0,1.0,0.9,0.8,0.8,0.8,0.7,1.0,0.9,0.6,5.666666666666667,3.0,1,2,2,-3,0,0.46590909090909094,1,1,3,6,7,8,7,8,8,1.6666666666666667,6.611111111111111
55,1,4,7,5,4,3,2,3,3,4,3,4,3,4,0.6,0.6,0.5,0.8,0.8,0.8,0.7,0.6,1.0,0.7,0.6,1.0,1.0,0.6,5.333333333333333,3.3,0,0,2,0,1,0.47462121212121217,1,1,1,6,6,3,2,6,2,1.0,3.3333333333333335
58,1,6,7,6,1,5,2,3,4,4,1,4,1,4,0.8,0.8,0.7,0.9,0.7,0.6,0.6,0.7,0.3,0.8,0.3,0.5,0.4,0.2,6.333333333333333,2.9,3,4,2,-2,0,0.22310606060606059,5,4,5,7,7,8,7,7,6,4.666666666666667,6.611111111111111
61,1,7,7,7,4,4,3,5,4,4,2,3,1,4,0.8,0.9,0.8,0.9,1.0,1.0,0.9,1.0,0.2,0.7,0.1,0.9,0.6,0.3,7.0,3.4,0,2,0,-4,0,0.20738636363636365,1,1,4,5,7,6,8,7,7,2.0,6.166666666666667
64,1,7,7,6,2,4,4,4,3,4,2,4,2,3,0.6,0.5,0.5,0.7,0.5,1.0,0.6,0.9,0.8,0.6,0.8,0.8,0.8,0.3,6.666666666666667,3.2,2,2,0,-2,0,0.4104166666666667,5,5,7,8,9,9,8,8,8,5.666666666666667,7.944444444444444
68,0,4,7,7,2,5,4,2,5,5,2,5,5,5,0.8,0.9,0.5,0.7,0.3,0.9,0.9,1.0,0.6,0.9,0.9,0.6,0.6,0.4,6.0,4.0,3,3,1,3,0,0.41893939393939394,3,3,3,8,8,9,7,8,8,3.0,7.166666666666667
71,0,3,5,3,4,4,3,3,1,3,2,4,4,4,0.8,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.2,0.7,0.1,0.7,0.7,0.2,3.6666666666666665,3.2,-1,2,1,1,3,0.18446969696969695,1,2,5,6,7,7,5,6,6,2.6666666666666665,5.611111111111111
73,0,1,2,4,4,4,3,4,2,3,2,4,4,4,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.7,0.9,0.5,0.8,0.8,0.5,2.3333333333333335,3.4,-1,2,1,0,2,0.39867424242424243,6,4,5,6,8,7,7,7,7,5.0,6.833333333333333
75,0,6,7,6,4,5,2,3,3,4,1,4,4,4,0.6,0.7,0.6,0.6,0.6,0.8,0.6,0.6,0.5,0.6,0.3,0.4,0.6,0.3,6.333333333333333,3.4,0,4,2,1,1,0.2623106060606061,1,2,2,4,5,5,5,6,5,1.6666666666666667,4.611111111111112
79,0,3,7,5,4,3,1,2,2,3,3,5,3,5,0.7,0.9,0.9,0.9,0.5,0.8,0.8,0.9,0.2,0.8,0.3,0.8,0.8,0.3,5.0,3.1,-1,0,4,1,3,0.24242424242424243,2,2,4,5,6,5,6,5,6,2.6666666666666665,5.111111111111112
83,0,2,3,1,4,2,1,5,1,3,4,5,1,5,0.9,0.7,0.7,0.8,0.4,0.5,0.5,0.1,1.0,0.6,0.7,0.9,0.3,0.2,2.0,3.1,-1,-2,4,-4,4,0.39734848484848484,2,4,1,6,9,8,6,5,5,2.3333333333333335,5.888888888888889
85,0,4,5,6,4,5,3,5,1,5,2,3,3,5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.3,0.6,0.2,0.4,0.5,0.2,5.0,3.6,1,3,0,-2,4,0.18541666666666665,2,2,2,5,5,5,5,7,6,2.0,5.0
89,1,7,7,6,2,4,2,2,4,4,2,4,4,4,0.7,0.7,0.6,0.9,0.5,0.8,0.7,0.6,0.9,0.7,0.5,0.8,0.8,0.1,6.666666666666667,3.2,2,2,2,2,0,0.3494318181818182,1,2,5,8,9,9,7,9,8,2.6666666666666665,7.444444444444444
91,0,5,6,6,4,3,2,3,4,4,2,5,2,4,1.0,0.8,1.0,0.9,0.5,1.0,1.0,1.0,0.0,0.8,0.0,0.9,0.7,0.0,5.666666666666667,3.3,0,1,3,-1,0,0.11363636363636363,2,2,2,2,4,2,3,5,3,2.0,3.1666666666666665
94,1,7,7,6,4,5,2,4,4,4,3,3,2,5,0.7,0.7,0.6,0.4,0.6,0.7,0.8,0.8,0.3,0.8,0.3,0.7,0.8,0.1,6.666666666666667,3.6,0,2,1,-2,1,0.21723484848484848,7,7,6,9,9,8,8,8,8,6.666666666666667,7.944444444444444
96,1,4,7,5,5,5,5,1,4,3,2,5,5,5,0.7,0.7,0.7,1.0,0.6,1.0,0.9,0.9,0.8,0.7,0.7,0.9,0.8,0.2,5.333333333333333,4.0,-2,3,0,4,1,0.39071969696969694,1,1,3,4,8,8,6,8,8,1.6666666666666667,6.611111111111111
99,1,4,7,3,4,5,1,2,4,5,2,4,2,5,0.9,0.9,0.8,1.0,0.6,1.0,0.9,0.7,0.8,0.9,0.7,1.0,0.8,0.3,4.666666666666667,3.4,1,3,3,0,1,0.4204545454545454,2,3,3,7,8,9,8,9,8,2.6666666666666665,7.444444444444444
102,0,2,2,3,2,4,5,5,3,4,2,4,1,3,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.1,0.1,0.3,0.5,0.6,0.5,2.3333333333333335,3.3,2,2,-1,-4,0,0.21534090909090908,3,1,1,9,9,7,7,9,9,1.6666666666666667,7.111111111111111
107,0,4,3,2,4,4,1,4,3,4,2,4,2,4,1.0,0.9,0.9,0.6,0.7,0.9,0.8,0.7,0.5,0.8,0.4,0.8,0.7,0.3,3.0,3.2,0,2,3,-2,1,0.3073863636363636,2,3,2,5,7,7,5,5,6,2.3333333333333335,5.388888888888889
109,1,6,6,6,4,4,2,4,3,4,4,4,3,3,0.8,0.8,0.7,0.5,0.6,0.9,0.8,0.9,1.0,0.8,0.6,0.8,0.8,0.2,6.0,3.5,0,0,2,-1,0,0.4068181818181818,2,2,3,6,6,5,5,4,5,2.3333333333333335,4.555555555555555
112,0,1,6,4,3,4,2,2,4,4,4,4,3,5,0.9,0.8,0.9,0.5,0.6,0.9,0.4,0.8,0.7,1.0,0.2,0.8,0.8,0.2,3.6666666666666665,3.5,1,0,2,1,1,0.2981060606060606,5,4,6,6,9,9,7,9,8,5.0,7.833333333333333
115,0,4,5,6,4,3,4,4,3,4,2,4,5,4,0.9,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.5,0.6,0.3,0.8,0.7,0.1,5.0,3.7,0,1,0,1,1,0.24602272727272728,3,3,3,8,9,9,8,9,8,3.0,7.666666666666667
117,0,3,5,3,5,4,4,3,2,1,1,2,2,4,0.8,0.6,0.6,0.7,0.7,0.9,0.8,0.8,0.2,0.5,0.4,0.6,0.5,0.4,3.6666666666666665,2.8,-4,3,-2,-1,2,0.24791666666666667,1,1,2,4,7,6,5,7,6,1.3333333333333333,5.388888888888889
122,1,6,6,5,4,5,3,3,4,4,2,4,2,2,0.8,0.8,0.9,0.7,0.5,0.9,0.9,0.7,0.6,0.8,0.4,1.0,0.9,0.4,5.666666666666667,3.3,0,3,1,-1,-2,0.3481060606060606,2,3,2,4,8,9,5,6,5,2.3333333333333335,5.888888888888889
123,1,4,7,6,5,5,4,3,3,3,2,4,4,4,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.6,0.8,0.8,0.4,5.666666666666667,3.7,-2,3,0,1,1,0.42348484848484846,1,2,3,4,7,6,7,5,5,2.0,5.333333333333333
127,0,3,4,3,2,3,1,4,2,5,2,5,1,4,0.6,0.9,0.7,0.9,0.8,0.7,0.6,0.7,0.4,0.6,0.4,0.6,0.4,0.4,3.3333333333333335,2.9,3,1,4,-3,2,0.2835227272727273,2,3,5,8,9,8,9,9,9,3.3333333333333335,7.888888888888889
131,1,6,7,5,2,4,4,4,4,4,3,4,2,3,0.8,0.7,0.7,0.8,0.7,0.6,0.7,0.8,0.4,0.9,0.2,0.5,0.6,0.3,6.0,3.4,2,1,0,-2,-1,0.2488636363636364,3,3,6,7,6,8,5,8,6,4.0,6.166666666666667
132,1,1,7,5,4,4,4,4,5,5,4,4,3,3,0.7,0.7,0.6,0.5,0.7,0.4,0.5,0.4,0.7,0.5,0.5,0.7,0.7,0.2,4.333333333333333,4.0,1,0,0,-1,-2,0.31344696969696967,1,1,3,6,8,7,6,9,9,1.6666666666666667,6.777777777777778
135,1,5,7,5,3,2,4,4,4,4,3,3,4,2,0.8,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.0,0.8,0.1,0.9,0.5,0.1,5.666666666666667,3.3,1,-1,-1,0,-2,0.14356060606060606,2,2,3,5,4,9,6,5,4,2.3333333333333335,5.055555555555555
138,0,4,5,5,2,3,3,4,2,4,3,3,3,3,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.9,1.0,0.7,4.666666666666667,3.0,2,0,0,-1,1,0.4613636363636363,5,5,5,6,7,7,6,6,5,5.0,6.0
142,1,7,7,6,3,2,4,3,4,2,2,4,3,3,0.8,0.6,0.8,0.9,0.8,0.8,0.9,1.0,0.5,0.7,0.4,0.8,0.5,0.2,6.666666666666667,3.0,-1,0,0,0,-1,0.2821969696969697,3,3,3,7,6,8,7,8,8,3.0,6.666666666666667
146,0,3,6,4,5,4,2,2,3,2,1,4,4,4,0.8,0.7,0.7,0.6,0.6,0.9,0.7,0.8,0.8,0.7,0.5,0.6,0.6,0.4,4.333333333333333,3.1,-3,3,2,2,1,0.3753787878787879,6,6,7,7,8,8,7,8,7,6.333333333333333,7.388888888888889
148,1,5,7,6,1,4,3,5,4,5,3,5,1,4,0.5,0.8,0.6,0.8,0.7,0.9,0.9,1.0,0.6,0.7,0.5,0.7,0.8,0.4,6.0,3.5,4,1,2,-4,0,0.35113636363636364,1,3,2,6,7,8,6,6,6,2.0,5.833333333333333
151,0,4,6,3,4,4,3,3,1,4,5,5,5,4,0.7,0.6,0.6,0.8,0.6,0.9,0.8,0.9,0.5,0.7,0.5,0.8,0.7,0.6,4.333333333333333,3.8,0,-1,2,2,3,0.36609848484848484,2,2,1,3,5,4,3,3,3,1.6666666666666667,3.277777777777778
154,0,7,5,7,3,5,1,5,5,5,3,5,1,5,0.7,0.8,0.6,0.8,0.8,0.8,0.7,0.7,0.4,0.7,0.2,0.9,0.7,0.5,6.333333333333333,3.8,2,2,4,-4,0,0.2850378787878788,7,7,6,9,9,9,9,8,8,6.666666666666667,8.277777777777777
158,0,5,3,6,4,4,2,4,2,4,4,4,3,4,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.5,0.2,0.7,0.3,0.8,0.7,0.2,4.666666666666667,3.5,0,0,2,-1,2,0.2126893939393939,1,3,2,6,3,6,3,6,5,2.0,4.166666666666667
159,0,5,7,6,3,4,3,2,4,4,3,4,2,4,0.2,0.8,0.6,0.6,0.6,0.8,0.4,0.4,1.0,0.6,0.8,0.9,0.6,0.1,6.0,3.3,1,1,1,0,0,0.40303030303030307,1,1,2,3,6,5,4,4,5,1.3333333333333333,4.222222222222222
