,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.32084185271361504,-0.3550606367421675,0.10236507063803309,-0.09558353741405853,0.061787183903265416,0.08518354199999204,-0.03439595802450542,0.10694815798662469,-0.010979733645872274,-0.23500067844132635,0.006532797895069575
Which picture best describes the relationship between Pepper and your country? ,-0.32084185271361504,1.0,0.8441739779353543,0.47152242758398627,0.5295203067538362,0.40064639626169607,0.48625417504857477,0.41972304557074674,0.267644872191349,0.3148171475512739,0.9381707579111619,0.5338535986048799
Which picture best describes the relationship between Pepper and your national culture? ,-0.3550606367421675,0.8441739779353543,1.0,0.2693865707219425,0.5242828393801511,0.17841515005385566,0.4343854099627205,0.3272148151243744,0.26450215092320145,0.20796327505736642,0.8514873239020548,0.4198576762916927
Which picture best describes the relationship between Pepper and your own preferences? ,0.10236507063803309,0.47152242758398627,0.2693865707219425,1.0,0.6768513351556739,0.7508540725489792,0.6462924888514162,0.6640087424193702,0.3580560114871206,0.639588662819094,0.6939632553644987,0.7427171497073145
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,-0.09558353741405853,0.5295203067538362,0.5242828393801511,0.6768513351556739,1.0,0.674174077293953,0.8976714061884629,0.7594557757080995,0.7087588393793561,0.8374864618258239,0.6912129267674307,0.9054862306877092
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.061787183903265416,0.40064639626169607,0.17841515005385566,0.7508540725489792,0.674174077293953,1.0,0.8247109725883249,0.7243762615735218,0.5564296348847576,0.7415508415712614,0.5322757734332142,0.8812821731879575
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.08518354199999204,0.48625417504857477,0.4343854099627205,0.6462924888514162,0.8976714061884629,0.8247109725883249,1.0,0.6537494524992011,0.7607036127908976,0.811833978685191,0.6264107921495677,0.9287472870202589
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.03439595802450542,0.41972304557074674,0.3272148151243744,0.6640087424193702,0.7594557757080995,0.7243762615735218,0.6537494524992011,1.0,0.4279419797214123,0.748141404512871,0.5635742909463953,0.8343061136067601
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.10694815798662469,0.267644872191349,0.26450215092320145,0.3580560114871206,0.7087588393793561,0.5564296348847576,0.7607036127908976,0.4279419797214123,1.0,0.7867557333685644,0.35534422247571423,0.7736858714191313
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,-0.010979733645872274,0.3148171475512739,0.20796327505736642,0.639588662819094,0.8374864618258239,0.7415508415712614,0.811833978685191,0.748141404512871,0.7867557333685644,1.0,0.46316672512074697,0.9133967521020537
mean_cultural_closeness,-0.23500067844132635,0.9381707579111619,0.8514873239020548,0.6939632553644987,0.6912129267674307,0.5322757734332142,0.6264107921495677,0.5635742909463953,0.35534422247571423,0.46316672512074697,1.0,0.678859678659596
mean_competence,0.006532797895069575,0.5338535986048799,0.4198576762916927,0.7427171497073145,0.9054862306877092,0.8812821731879575,0.9287472870202589,0.8343061136067601,0.7736858714191313,0.9133967521020537,0.678859678659596,1.0
