Context,Metric,Group_A,Group_B,Mean_A,Mean_B,KS_p_value,Cliff_d,Magnitude
Global_Culture,Culture_Closeness_Q1,Italian,German,2.6491228070175437,2.6511627906976742,0.9951509785573514,-0.02216782265741874,Negligible
Global_Culture,Culture_Closeness_Q2,Italian,German,2.6842105263157894,2.6589147286821704,0.9593603494991625,-0.0033319733442132462,Negligible
Global_Culture,Culture_Closeness_Q3,Italian,German,3.2280701754385963,3.0930232558139537,0.9614091838991617,0.0484156126750986,Negligible
Global_Culture,Competence_Q1,Italian,German,5.482456140350878,5.062015503875969,0.038659742003832154,0.14973480212158302,Small
Global_Culture,Competence_Q2,Italian,German,6.271929824561403,5.945736434108527,0.42920990333361025,0.09853121175030599,Negligible
Global_Culture,Competence_Q3,Italian,German,6.526315789473684,5.75968992248062,0.010162392061536246,0.2207262341901265,Small
Global_Culture,Competence_Q4,Italian,German,5.324561403508772,5.116279069767442,0.6401141804016038,0.08404732762137902,Negligible
Global_Culture,Competence_Q5,Italian,German,6.447368421052632,6.155038759689923,0.10051738198406421,0.13538691690466476,Negligible
Global_Culture,Competence_Q6,Italian,German,5.649122807017544,5.24031007751938,0.058314644919166214,0.15238678090575275,Small
Global_Paradigm,Culture_Closeness_Q1,A,B,2.54320987654321,2.45679012345679,0.9981164707075931,0.05258344764517604,Negligible
Global_Paradigm,Culture_Closeness_Q2,A,B,2.567901234567901,2.567901234567901,0.9999999991920984,0.020118884316415182,Negligible
Global_Paradigm,Culture_Closeness_Q3,A,B,2.802469135802469,3.271604938271605,0.4462211607239761,-0.16034141137021796,Small
Global_Paradigm,Competence_Q1,A,B,4.802469135802469,5.54320987654321,0.3380139796233299,-0.20698064319463497,Small
Global_Paradigm,Competence_Q2,A,B,5.469135802469136,6.555555555555555,0.05619054624042126,-0.27632982777015697,Small
Global_Paradigm,Competence_Q3,A,B,5.567901234567901,6.666666666666667,0.02288521891131717,-0.28821825941167506,Small
Global_Paradigm,Competence_Q4,A,B,4.703703703703703,5.691358024691358,0.0027764389376439243,-0.28593202255753697,Small
Global_Paradigm,Competence_Q5,A,B,5.962962962962963,6.654320987654321,0.4462211607239761,-0.18488035360463345,Small
Global_Paradigm,Competence_Q6,A,B,4.925925925925926,5.777777777777778,0.12448725716216284,-0.2423411065386374,Small
