,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.18862382502860303,0.4458963213705228,-0.11713746416253043,-0.10497813183356479,-0.050234071500529685,0.35296560400125887,0.10684144485929901,-0.03731966854310367,0.08499341502148812,-0.05613488578352372,-0.17112399732326566,-0.1506188082821948,-0.10609342087749057,-0.2383785315927681,-0.35117078936897833,-0.1999999999999997,-0.20485438223058633,0.07219948723811577,-0.249135285187127,-0.15667662175673944,-0.1636017225856546,-0.33920460043486345,-0.22904761495670564,-0.30260133437836584,-0.24588034255943053,-0.3196401278324652,0.9018092860573259,-0.04043912679927511,0.06933752452815369,-0.11727346771789662,0.014509525002200242,-0.30105786511946336,-0.1536653544376964,-0.35619856501015307,0.35702924182491313,0.3144822452362093,0.47974293136657953,0.15689290811054732,0.054086718650037835,0.06805272830223481,0.13957263155977076,0.11557031438806142,0.24268133584853765,0.4576860387504889,0.20876091645333128
Which picture best describes your relationship with Italian or German language?,0.18862382502860303,1.0,0.12441815044835973,-0.15976324270629344,0.17770466332772794,0.07620030853264895,-0.0921845386111134,0.07046448252078163,-0.23284098543399573,-0.3643587055362869,-0.029088947456131862,-0.0369083879648947,0.2928445868526618,-0.30087591427276766,-0.27431538991400045,-0.31635786393859844,0.20727892860286068,0.28372334271129307,0.05986172944157049,-0.2637051506495154,-0.06424552975720837,-0.003123399058236058,-0.2784644712203326,-0.1661686047954327,-0.27655088169196035,0.054289671403063615,-0.24409612771008604,0.412295409812316,-0.06747653995654093,0.010060545457319185,0.3139125989282537,-0.07368421052631581,0.031201475864713352,0.1114805651092858,-0.19091400690644045,0.04504630183282769,0.02074085454546731,0.13972493180696077,0.05691103932244725,0.1625600378546512,0.028583001027529708,-0.033752209787322636,0.3218509251112268,0.11066600003051097,0.08463773656010462,0.1309701569453965
Which picture best describes your relationship with Italian or German Culture?,0.4458963213705228,0.12441815044835973,1.0,0.056248946238954954,-0.24004801440480142,-0.1488057923431646,0.21791916608467282,-0.3331483023263845,0.14080594776885325,0.2517715982088093,-0.15128226911302475,0.007931763087802959,0.2583091251624711,0.0330815846789427,-0.014097096860865,-0.15221777483116758,-0.09799919151000505,-0.1596919850581283,-0.12382109909351448,-0.24515118232022406,-0.011682529980951342,-0.18458857862050668,-0.38271782268690163,-0.35865573034876735,-0.5728746182065741,-0.34834542887072034,-0.08655446791269239,0.7295236633358836,-0.01387050606094823,0.023782574707724536,-0.29821588031038704,0.04976726017934401,-0.11985767372895685,0.3644617886482251,-0.3281408534660628,0.02662174340325022,0.007004319494863879,0.18617023743110447,-0.1009009190994467,-0.3710318289392979,-0.19042070799291907,0.04787301767423491,-0.08311673878269574,-0.023782574707724498,0.09234412715904534,-0.10575027579353648
I see myself as someone who  [... is reserved ],-0.11713746416253043,-0.15976324270629344,0.056248946238954954,1.0,0.10657289201436443,0.07810059959265166,-0.23484241608324305,-0.1046720458619707,-0.3444766693181963,0.2479927446436179,-0.1709629524651167,0.4279885019460638,0.10868152838532914,-0.03841231688374428,-0.11939513899979279,0.015369216435798253,-0.26774277522864104,-0.21378363999937428,0.009665445541608772,0.15404836596645421,-0.0367054043322727,0.14625074646654085,-0.1861203915116409,0.03499572624587501,0.06720920951099786,0.04257657363930814,-0.06305993097916975,-0.09487277508158708,0.5106417833978762,-0.8999200148344971,-0.05589585384132595,-0.13936793512676665,0.3828788244796013,0.129446592395367,0.049573062814539055,-0.12364617396993048,-0.09855268133257611,-0.3601457973554601,-0.42269486022655134,-0.4000466902645221,-0.43214051280765403,-0.2506874899535081,-0.18777980099193836,-0.2501582712716833,-0.23757555143867953,-0.3569721614379162
I see myself as someone who  [... is generally trusting],-0.10497813183356479,0.17770466332772794,-0.24004801440480142,0.10657289201436443,1.0,-0.2636739490259665,-0.25525861355473267,0.20392755061323703,0.013059163614342955,-0.3379715881481314,0.21046198000874503,0.10519621989258955,-0.0527056037082085,0.15187485168478743,0.37392980219067057,0.23631572706713835,-0.19995834634964713,0.09775104702039053,0.07218445037713016,0.2786875725950576,0.27412698423360937,-0.12805625194320935,0.48415834348819503,-0.12196734422726112,0.020627612190509497,0.2805658588748475,-0.2158523147765113,-0.1250361846873983,0.24763806575482913,-0.0727892379092954,0.8702709167955426,0.304636565704676,0.20693417547289789,-0.16589133094182495,-0.1380198680346853,0.2715961073676335,0.42160427648995924,0.11640971012277494,-0.022875450543583822,0.33797158814813144,0.24440165179867157,0.07054702352263295,0.2804791909111223,0.12131539651549235,0.30879896443851,0.2656009867259568
I see myself as someone who  [... tends to be lazy],-0.050234071500529685,0.07620030853264895,-0.1488057923431646,0.07810059959265166,-0.2636739490259665,1.0,0.17730899388626906,-0.27057184098941983,-0.48231404375055265,-0.07233561023876392,-0.22888667744509775,-0.26506880029058244,0.2572506634754595,0.011011372913420926,-0.04129215241456,-0.014979648112637484,0.5349602419536933,0.03827108560227811,0.4144999090538378,0.14081796118767856,0.14776639108300452,-0.21332399482118894,-0.3322319842946444,0.002273911910426999,0.21446365992261682,0.056143503221387135,-0.19974997652408497,-0.07537307991591083,0.11172820928795653,-0.28181495333519396,-0.1449696599851997,-0.8978384179281673,-0.25532949375156294,0.32175927362207896,-0.19340790502358013,-0.2197573147470319,-0.2620519675081963,0.06316708084191296,-0.23285864620765104,-0.012349982235886563,0.04825248122992699,0.07436228920156707,-0.10300200290224905,0.11082610524417728,-0.15368605077129865,0.00322308808264375
"I see myself as someone who  [... is relaxed, handles stress well]",0.35296560400125887,-0.0921845386111134,0.21791916608467282,-0.23484241608324305,-0.25525861355473267,0.17730899388626906,1.0,-0.26055118080925965,0.15280168844194364,0.1254535086529732,-0.028305262665890132,-0.5060614695415688,-0.02126530345571001,-0.07489465676116627,-0.034816312710858416,-0.24245401472906827,0.02016946308578638,-0.021911075986764762,0.3494939742388475,0.1355082216873019,0.14907349664074548,-0.08813829705340351,-0.06931595386302457,-0.19918562404204404,0.06380729463611104,-0.027671314198805395,-0.1266773005287588,0.305094888581814,0.048530310774364316,0.24473761225031845,-0.2426515538718212,-0.1536408976851892,-0.8652850083527989,0.1638697663687235,-0.16771971609162034,-3.1631654702868724e-17,-0.0028831536529213696,0.19528886904052556,-0.0922963334579222,0.02727250188108105,-0.17446303074632655,-0.10290772868557159,-0.21317290397615474,-0.08810554041011463,0.0823575128798678,-0.10331692757763576
I see myself as someone who  [... has few artistic interests],0.10684144485929901,0.07046448252078163,-0.3331483023263845,-0.1046720458619707,0.20392755061323703,-0.27057184098941983,-0.26055118080925965,1.0,-0.09424497275381724,0.0975625210227141,0.3349271286718266,0.13925729455715286,-0.3452536490514435,-0.31850903207022485,0.0399196030388864,0.16117308338942812,-0.26363473406840016,-0.03617675732772731,-0.22039707241773673,0.051569844985504994,0.052931404408423484,0.0459985379540041,0.2514335355952339,0.1450895936178905,0.11069427977080969,-0.21805313529348927,-0.03268020391639394,-0.04296939596667792,0.2395955080918701,0.033673278652522835,0.09033928993627897,0.3664153091080648,0.22975326639728175,-0.8605863678117373,0.06875170196225729,0.17338872751633552,0.21818011340021443,0.30951127692700187,0.5333575224316215,0.5103270330418889,0.3931130409006577,0.6235986495076207,0.30054517533176134,0.511833835518347,0.27892955534848557,0.5447997427285378
"I see myself as someone who  [... is ongoing, sociable]",-0.03731966854310367,-0.23284098543399573,0.14080594776885325,-0.3444766693181963,0.013059163614342955,-0.48231404375055265,0.15280168844194364,-0.09424497275381724,1.0,0.03748639909120833,0.2184718273909502,-0.11219159618699767,0.16413448484230467,-0.08998571140345377,0.04294721000540483,-0.32691934985806337,-0.30922011078571704,-0.11815150905055645,-0.20015995500120462,-0.3094134740838963,-0.32286269053768457,0.008033634289443927,-0.0033313166464539047,0.10034586474385365,-0.13346250863283646,0.019948201925179737,0.47715454495131704,-0.02413016034906751,0.010564223658250164,0.7193676543712264,-0.010564223658250415,0.4819266907819911,-0.15248015359464548,0.15251968335567537,0.21125418964812898,0.09269017714853153,0.05639555931578405,-0.10846856323454818,0.029275956637246265,0.03171926076948384,-0.009356808866238586,-0.1076486231816539,-0.16000008710782165,-0.22253819523714177,0.010047465448808548,-0.09953483509746083
I see myself as someone who  [... tends to find fault with others],0.08499341502148812,-0.3643587055362869,0.2517715982088093,0.2479927446436179,-0.3379715881481314,-0.07233561023876392,0.1254535086529732,0.0975625210227141,0.03748639909120833,1.0,0.03407925460416339,0.094699494472422,-0.030258343540148436,-0.2645554515578465,-0.0063512869805257164,-0.14461432819647013,-0.37529559879618146,-0.36693179748869187,-0.03187782328918361,0.036290741421709787,-0.013158578198750366,0.13139957647969863,-0.12070041966130911,0.15774092863746825,0.04706568741234781,0.16107316008505818,-1.0823601202857182e-16,0.07230929332085115,0.36401584568530015,-0.1660820208748212,-0.757715386941504,0.0728717411072573,-0.01661554290622191,-0.0821020610125307,0.11174498650520212,-0.059970621591367824,-0.03944645806707582,0.12852103704645562,0.21214556447903543,-0.14029850746268663,-0.272596807331932,0.09705890127109762,-0.2664519653321773,0.005357484544349042,0.017335249305285697,-0.109352936329964
