Group,Trait,Outcome,Correlation,P-Value,Significant
Global,Trust_Overall,Culture_Closeness_Avg,0.177,0.0057,True
Global,Trust_Overall,Competence_Overall,0.164,0.0106,True
Global,Trust_Overall,all_average,0.175,0.0064,True
Global,Extraversion,Culture_Closeness_Avg,0.02,0.7521,False
Global,Extraversion,Competence_Overall,-0.082,0.2047,False
Global,Extraversion,all_average,-0.032,0.6231,False
Global,Agreeableness,Culture_Closeness_Avg,0.088,0.172,False
Global,Agreeableness,Competence_Overall,-0.052,0.4236,False
Global,Agreeableness,all_average,0.014,0.8242,False
Global,Conscientiousness,Culture_Closeness_Avg,-0.111,0.0855,False
Global,Conscientiousness,Competence_Overall,0.007,0.9075,False
Global,Conscientiousness,all_average,-0.06,0.3526,False
Global,Neuroticism,Culture_Closeness_Avg,-0.061,0.3474,False
Global,Neuroticism,Competence_Overall,-0.159,0.0133,True
Global,Neuroticism,all_average,-0.125,0.0522,False
Global,Openness,Culture_Closeness_Avg,0.048,0.4552,False
Global,Openness,Competence_Overall,0.068,0.2882,False
Global,Openness,all_average,0.065,0.3156,False
Global,Culture_Affinity,Culture_Closeness_Avg,0.098,0.1279,False
Global,Culture_Affinity,Competence_Overall,0.033,0.6051,False
Global,Culture_Affinity,all_average,0.078,0.2267,False
Italian,Trust_Overall,Culture_Closeness_Avg,0.122,0.1947,False
Italian,Trust_Overall,Competence_Overall,0.201,0.0318,True
Italian,Trust_Overall,all_average,0.168,0.0732,False
Italian,Extraversion,Culture_Closeness_Avg,0.076,0.4191,False
Italian,Extraversion,Competence_Overall,-0.104,0.2693,False
Italian,Extraversion,all_average,0.008,0.931,False
Italian,Agreeableness,Culture_Closeness_Avg,0.387,0.0,True
Italian,Agreeableness,Competence_Overall,0.221,0.0179,True
Italian,Agreeableness,all_average,0.35,0.0001,True
Italian,Conscientiousness,Culture_Closeness_Avg,0.07,0.4594,False
Italian,Conscientiousness,Competence_Overall,0.017,0.8547,False
Italian,Conscientiousness,all_average,0.03,0.7548,False
Italian,Neuroticism,Culture_Closeness_Avg,0.058,0.5367,False
Italian,Neuroticism,Competence_Overall,0.042,0.6563,False
Italian,Neuroticism,all_average,0.058,0.5409,False
Italian,Openness,Culture_Closeness_Avg,0.23,0.0138,True
Italian,Openness,Competence_Overall,0.18,0.056,False
Italian,Openness,all_average,0.246,0.0084,True
Italian,Culture_Affinity,Culture_Closeness_Avg,0.281,0.0024,True
Italian,Culture_Affinity,Competence_Overall,-0.003,0.9786,False
Italian,Culture_Affinity,all_average,0.164,0.0813,False
German,Trust_Overall,Culture_Closeness_Avg,0.193,0.0284,True
German,Trust_Overall,Competence_Overall,0.131,0.14,False
German,Trust_Overall,all_average,0.159,0.0713,False
German,Extraversion,Culture_Closeness_Avg,-0.006,0.945,False
German,Extraversion,Competence_Overall,-0.057,0.5209,False
German,Extraversion,all_average,-0.05,0.5771,False
German,Agreeableness,Culture_Closeness_Avg,-0.188,0.0327,True
German,Agreeableness,Competence_Overall,-0.257,0.0033,True
German,Agreeableness,all_average,-0.276,0.0016,True
German,Conscientiousness,Culture_Closeness_Avg,-0.31,0.0004,True
German,Conscientiousness,Competence_Overall,-0.016,0.8536,False
German,Conscientiousness,all_average,-0.164,0.0635,False
German,Neuroticism,Culture_Closeness_Avg,-0.166,0.0609,False
German,Neuroticism,Competence_Overall,-0.276,0.0015,True
German,Neuroticism,all_average,-0.248,0.0045,True
German,Openness,Culture_Closeness_Avg,-0.103,0.2436,False
German,Openness,Competence_Overall,-0.013,0.886,False
German,Openness,all_average,-0.077,0.3876,False
German,Culture_Affinity,Culture_Closeness_Avg,-0.064,0.4737,False
German,Culture_Affinity,Competence_Overall,-0.138,0.1183,False
German,Culture_Affinity,all_average,-0.125,0.157,False
