Nationality,1,2,3,4,5,Variable
German,0,7,5,23,8,Personality_BFI_Q1
Italian,3,8,6,16,5,Personality_BFI_Q1
German,0,3,7,17,16,Personality_BFI_Q2
Italian,1,6,8,15,8,Personality_BFI_Q2
German,8,11,13,9,2,Personality_BFI_Q3
Italian,8,12,4,11,3,Personality_BFI_Q3
German,3,13,9,10,8,Personality_BFI_Q4
Italian,4,6,7,13,8,Personality_BFI_Q4
German,8,8,7,13,7,Personality_BFI_Q5
Italian,5,3,8,20,2,Personality_BFI_Q5
German,3,5,9,20,6,Personality_BFI_Q6
Italian,1,1,6,19,11,Personality_BFI_Q6
German,6,18,12,6,1,Personality_BFI_Q7
Italian,4,17,13,4,0,Personality_BFI_Q7
German,0,1,8,21,13,Personality_BFI_Q8
Italian,0,2,7,21,8,Personality_BFI_Q8
German,4,7,11,12,9,Personality_BFI_Q9
Italian,10,9,5,12,2,Personality_BFI_Q9
German,0,3,5,22,13,Personality_BFI_Q10
Italian,1,4,10,11,12,Personality_BFI_Q10
