,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,25.0,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
unique,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.8,,6.24,6.88,6.32,3.16,3.88,2.72,3.48,3.4,4.12,2.36,4.0,2.68,4.0,0.7120000000000001,0.6920000000000001,0.58,0.7360000000000001,0.588,0.816,0.72,0.7559999999999999,0.5479999999999999,0.6799999999999998,0.4040000000000001,0.696,0.664,0.256,5.453333333333334,3.1351999999999998,-1.52,-1.28,-0.8,0.6,-3.408,1.208381313131313
std,0.4082482904638631,,0.8793937305515279,0.439696865275764,0.6904105059069326,1.2138094304022082,1.0923979738782628,1.1372481406154653,1.2948616399703354,1.2583057392117918,0.725718035235908,0.8103497187428812,0.7071067811865476,1.345362404707371,0.9128709291752769,0.13940349110884323,0.16309506430300091,0.18708286933869708,0.20182500670960807,0.24886408606573454,0.12806248474865697,0.15811388300841897,0.2083266665599966,0.2663331247391757,0.13540064007726602,0.1968078589216735,0.15132745950421558,0.18000000000000002,0.1980740602232744,0.4895197949313486,0.27221498856602294,1.446835627614047,1.3391539617733779,2.48327740429189,1.6832508230603465,0.7466145815166841,0.07326162735126461
min,0.0,,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.3,0.3,0.1,0.1,0.1,0.5,0.3,0.3,0.1,0.3,0.1,0.4,0.2,0.0,4.666666666666667,2.69,-4.0,-4.0,-4.0,-2.0,-4.5,1.051830808080808
25%,1.0,,6.0,7.0,6.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,0.7,0.6,0.5,0.7,0.4,0.8,0.6,0.7,0.4,0.6,0.3,0.6,0.6,0.1,5.0,2.96,-2.0,-2.0,-3.0,0.0,-4.1,1.159280303030303
50%,1.0,,6.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,0.7,0.7,0.6,0.8,0.6,0.8,0.7,0.7,0.5,0.7,0.4,0.7,0.7,0.2,5.666666666666667,3.08,-2.0,-1.0,-1.0,0.0,-3.3,1.2155934343434343
75%,1.0,,7.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,0.8,0.8,0.7,0.9,0.7,0.9,0.9,0.9,0.8,0.7,0.5,0.8,0.8,0.3,5.666666666666667,3.2700000000000005,-1.0,0.0,2.0,1.0,-3.2,1.2482323232323234
