,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9595959595959596,0.9962343947220228,0.9856639980176115,0.9289979285083171,0.8935695796340184,0.9962343947220228,0.676968662049936,0.9349276627391291,0.9960286137424185,0.985590708438232
Which picture best describes the relationship between Pepper and your national culture? ,0.9595959595959596,1.0,0.9349276627391291,0.9856639980176115,0.9813358399735744,0.9818233652768844,0.9349276627391291,0.5222329678670935,0.9962343947220228,0.9806459324490993,0.9921722824511752
Which picture best describes the relationship between Pepper and your own preferences? ,0.9962343947220228,0.9349276627391291,1.0,0.9753841331435327,0.893413025898047,0.853683528824249,0.9999999999999999,0.7337090886046865,0.9069767441860463,0.9861480606625131,0.9711867508226291
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.9856639980176115,0.9856639980176115,0.9753841331435327,1.0,0.9437165488107274,0.9360727544018183,0.9753841331435328,0.6564879518897747,0.9753841331435328,0.9952636403633774,0.9982563195104296
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.9289979285083171,0.9813358399735744,0.893413025898047,0.9437165488107274,1.0,0.9860161736144927,0.893413025898047,0.3758230140014144,0.9728275170889845,0.9514741847796276,0.9612534500300304
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.8935695796340184,0.9818233652768844,0.853683528824249,0.9360727544018183,0.9860161736144927,1.0,0.853683528824249,0.3591104086305375,0.9875946706006018,0.9282028031766987,0.9506135519943575
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.9962343947220228,0.9349276627391291,0.9999999999999999,0.9753841331435328,0.893413025898047,0.853683528824249,1.0,0.7337090886046865,0.9069767441860465,0.9861480606625133,0.9711867508226293
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.676968662049936,0.5222329678670935,0.7337090886046865,0.6564879518897747,0.3758230140014144,0.3591104086305375,0.7337090886046865,1.0,0.49892218025118684,0.6406591286187057,0.6143842937403997
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9349276627391291,0.9962343947220228,0.9069767441860463,0.9753841331435328,0.9728275170889845,0.9875946706006018,0.9069767441860465,0.49892218025118684,1.0,0.9628072781616254,0.981173246975047
mean_cultural_closeness,0.9960286137424185,0.9806459324490993,0.9861480606625131,0.9952636403633774,0.9514741847796276,0.9282028031766987,0.9861480606625133,0.6406591286187057,0.9628072781616254,1.0,0.9966604008496658
mean_competence,0.985590708438232,0.9921722824511752,0.9711867508226291,0.9982563195104296,0.9612534500300304,0.9506135519943575,0.9711867508226293,0.6143842937403997,0.981173246975047,0.9966604008496658,1.0
