,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
unique,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.0,,6.5,6.5,5.75,3.75,4.25,2.75,3.25,4.0,4.25,2.5,4.25,3.0,3.75,0.675,0.75,0.65,0.75,0.75,0.8,0.7,0.7250000000000001,0.42500000000000004,0.675,0.3,0.7,0.625,0.3,5.333333333333334,3.2675,-1.75,-1.5,-0.25,-0.25,-3.575,1.1842487373737374
std,0.0,,0.5773502691896257,1.0,0.9574271077563381,0.9574271077563381,1.5,1.5,1.2583057392117916,0.816496580927726,0.5,1.2909944487358056,0.9574271077563381,1.4142135623730951,1.2583057392117916,0.09574271077563384,0.12909944487358058,0.17320508075688773,0.19148542155126763,0.19148542155126763,0.08164965809277262,0.14142135623730953,0.18929694486000911,0.1707825127659933,0.04999999999999999,0.1414213562373095,0.21602468994692867,0.09574271077563379,0.16329931618554522,0.3849001794597507,0.22081289213570246,2.6299556396765835,2.0816659994661326,2.6299556396765835,1.2583057392117916,0.4924428900898051,0.04072543874116623
min,0.0,,6.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.2,0.6,0.2,0.4,0.5,0.1,5.0,3.06,-4.0,-4.0,-4.0,-2.0,-4.3,1.1515151515151514
25%,0.0,,6.0,6.5,5.0,3.0,4.25,1.75,2.75,3.75,4.0,1.75,3.75,2.5,3.5,0.6,0.6749999999999999,0.575,0.6,0.6,0.775,0.6,0.6,0.35000000000000003,0.6749999999999999,0.2,0.625,0.575,0.25,5.0,3.1350000000000002,-3.25,-2.5,-1.0,-0.5,-3.625,1.1640151515151513
50%,0.0,,6.5,7.0,5.5,3.5,5.0,3.0,3.0,4.0,4.0,2.5,4.5,3.5,4.0,0.6499999999999999,0.75,0.6,0.7,0.7,0.8,0.6499999999999999,0.6499999999999999,0.45,0.7,0.25,0.75,0.6499999999999999,0.3,5.333333333333334,3.2199999999999998,-2.5,-1.5,0.5,0.0,-3.4,1.1708964646464646
75%,0.0,,7.0,7.0,6.25,4.25,5.0,4.0,3.5,4.25,4.25,3.25,5.0,4.0,4.25,0.725,0.8250000000000001,0.675,0.8500000000000001,0.8500000000000001,0.8250000000000001,0.75,0.7749999999999999,0.525,0.7,0.35,0.8250000000000001,0.7,0.35,5.666666666666667,3.3525,-1.0,-0.5,1.25,0.25,-3.35,1.1911300505050506
max,0.0,,7.0,7.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.6,0.7,0.5,0.9,0.7,0.5,5.666666666666667,3.5700000000000003,2.0,1.0,2.0,1.0,-3.2,1.2436868686868687
