dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,6.260093763318673,0.0027093963937437895,,53,3,
mean_cultural_closeness,paired_ttest,A,B,-0.1924843670637885,0.8481125838517267,1.0,53,3,
mean_cultural_closeness,paired_ttest,A,F,-3.6188775450154274,0.0006699698337058746,0.002009909501117624,53,3,
mean_cultural_closeness,paired_ttest,B,F,-2.618103694375027,0.011555164284980476,0.03466549285494143,53,3,
mean_cultural_closeness,wilcoxon,A,B,,0.6116710520600761,1.0,53,3,
mean_cultural_closeness,wilcoxon,A,F,,0.0005777309118809683,0.001733192735642905,53,3,
mean_cultural_closeness,wilcoxon,B,F,,0.018861926460911217,0.05658577938273365,53,3,
mean_competence,rm_anova,,,6.428948265107253,0.0023308497662774728,,53,3,
mean_competence,paired_ttest,A,B,-3.262429275973388,0.0019542855826931447,0.005862856748079434,53,3,
mean_competence,paired_ttest,A,F,-2.57310077700537,0.012971498600300453,0.03891449580090136,53,3,
mean_competence,paired_ttest,B,F,0.9826562988276398,0.3303267254594576,0.9909801763783729,53,3,
mean_competence,wilcoxon,A,B,,0.0028156658655353866,0.00844699759660616,53,3,
mean_competence,wilcoxon,A,F,,0.008523937470069992,0.025571812410209976,53,3,
mean_competence,wilcoxon,B,F,,0.21835737264113964,0.6550721179234189,53,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,6.751937984496139,0.0017499258118317275,,53,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,1.1505776464760058,0.25516966988104217,0.7655090096431265,53,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-2.8401877872187726,0.006421310728235184,0.019263932184705554,53,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-3.1589571846976057,0.00263754361402722,0.00791263084208166,53,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,B,,0.3572003809273073,1.0,53,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,F,,0.008704554021533835,0.026113662064601507,53,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,B,F,,0.002981785220637365,0.008945355661912095,53,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,3.230460921843689,0.04353947150833077,,53,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,0.9424610406584479,0.3503148136181863,1.0,53,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-1.756876254386844,0.08482581121705787,0.2544774336511736,53,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-2.3621422531974594,0.021948010240162644,0.06584403072048793,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,5.070783132530118,0.007918713004516971,,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-2.124256856314944,0.03842307721519141,0.11526923164557423,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-3.597139089931728,0.0007163035989321343,0.0021489107967964027,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,-0.7461286276998549,0.4589496479699259,1.0,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,B,,0.05104361444292011,0.15313084332876034,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,F,,0.0009779691962098348,0.0029339075886295044,53,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,B,F,,0.5547649194995112,1.0,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.826125041059901,0.024924399372520764,,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.5271020974123872,0.014580807855913577,0.04374242356774073,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.2047801074612203,0.031917041140829536,0.09575112342248861,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.5149556125225997,0.6087661840065012,1.0,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.009083624586270295,0.027250873758810884,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.04104798574460055,0.12314395723380164,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6515347631578312,1.0,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.826125041059901,0.024924399372520764,,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.5271020974123872,0.014580807855913577,0.04374242356774073,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.2047801074612203,0.031917041140829536,0.09575112342248861,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.5149556125225997,0.6087661840065012,1.0,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.009083624586270295,0.027250873758810884,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.04104798574460055,0.12314395723380164,53,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6515347631578312,1.0,53,3,
