Welches Bild beschreibt Ihre Beziehung zu [Land] am besten?,Welches Bild beschreibt Ihre Beziehung zu [Sprache] am besten?,Welches Bild beschreibt Ihre Beziehung zu [Kultur] am besten?,"Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste)","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).__2","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). .1","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__2","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__3","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__4","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__5",Quale immagine descrive meglio il tuo rapporto con [paese]?,Quale immagine descrive meglio il tuo rapporto con [lingua]?,Quale immagine descrive meglio il tuo rapporto con [cultura]?,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__2","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__3","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__4","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__5","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__2","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__3","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__4","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__5"
5.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0
,,,,,,,,,,,,,,,4.0,6.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0
5.0,7.0,6.0,3.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0
,,,,,,,,,,,,,,,5.0,7.0,6.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0
5.0,7.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,
5.0,6.0,6.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,,,,,,,,,,,,,,,
3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0
,,,,,,,,,,,,,,,6.0,7.0,6.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
,,,,,,,,,,,,,,,5.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0
,,,,,,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0
,,,,,,,,,,,,,,,7.0,7.0,7.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0
,,,,,,,,,,,,,,,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0
4.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,3.0,,,,,,,,,,,,,,,
3.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,,,,,,,,,,,,,,,
3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
5.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,
