,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.44586665232192313,0.5372023029358272,-0.05752517078820687,0.08043165230833213,0.11587379397078754,-0.21005607071033078,0.28676524711978013,0.3512680766423819,-0.034786178619010386,0.16198531885407683,0.10148825945738175,-0.15807333548671143,-0.3348080491201314,-0.22112639773500078,-0.18193545161723673,0.019678898708862726,-0.03999415850725113,-0.03135653560842833,-0.05159734314445293,-0.06538232776535068,-0.11906873180569123,-0.07705947358121447,-0.02286738297061871,-0.0017144085963016623,-0.040440998886317386,-0.016310031779046746,0.8236260652903165,0.24456549255543236,0.07018005042672364,-0.005170912847597597,0.1783783581702291,-0.32971014784580743,-0.08598207562069701,0.0865182528422544,0.17266186489059712,-0.05401456748780556,-0.04036291473081116,0.06654244131767177,0.05519941601626743,0.055191796589996636,-0.10552117048941902,0.015198561349691104,0.0716532555541285,0.03156362618137011
Which picture best describes your relationship with Italian or German language?,0.44586665232192313,1.0,0.40743690999012394,0.1094585885616004,0.18661989031466464,0.09792649595487281,-0.5201825941588416,0.27831616499060885,-0.0014739978502074477,0.008466284990953208,0.06957194570541504,0.41325476915974496,0.035656976778624165,-0.14052504751336067,-0.012429687110324784,-0.03659290484530065,-0.09619690237807466,-0.08236298107949609,0.17229750489789378,-0.011819104204205339,0.15856302477538425,0.09015699145128843,0.2841003329174896,0.07339476744161776,-0.004172539883210254,0.13183849014084692,-0.08775917820383865,0.7770713056719334,-0.058848684310546205,0.105588364847096,-0.037251613647888836,0.5350118842234406,-0.22095049616016302,0.06949348731991829,-0.02526824898489681,-0.001222474704414034,-0.0502645153080495,-0.2560328652571129,-0.1955875431102004,-0.2770860114933859,-0.1979543832460002,-0.25983956853030443,-0.24561603778572078,-0.031707309999857256,-0.2580173610580394
Which picture best describes your relationship with Italian or German Culture?,0.5372023029358272,0.40743690999012394,1.0,-0.16797193236875702,0.33489044576869464,-0.022833322431800418,-0.14056120992161805,0.3076549955694884,0.3566347112874157,-0.20395553714172565,0.10201803773595775,0.1323411910971644,0.061917904761858544,-0.32400662756194964,-0.1803258997548873,-0.24289268369151046,-0.23310764031777748,-0.12704839045674926,0.058105530691434086,-0.04332787470884218,-3.8410471136278896e-17,-0.10117597890762554,-0.005092854343514119,0.007650973873836967,-0.11625105797943641,0.06266877406534098,-0.03303705720259572,0.8035403668308206,0.30631003957738917,0.33015506965554303,0.0664352687592134,0.15647683337450144,-0.2324544264479883,-0.06767683196783432,0.2538785027340545,0.2151116561625001,0.0056697115343998464,-0.13646786651038845,-0.19181106400736475,-0.09439523221238516,-0.11551715129814509,-0.20886494285840743,-5.658312167871095e-17,0.1743546293304642,-0.11180850744154587
I see myself as someone who  [... is reserved ],-0.05752517078820687,0.1094585885616004,-0.16797193236875702,1.0,0.024031550104200067,-0.060533707935733407,0.026477307666571966,-0.1866044780044611,-0.5394657536503066,-0.23385358667337133,-0.03795948090005619,0.20992770401744743,0.07775589559231541,0.14208659317631225,-0.08765864155871375,0.04984023568121477,0.18014417303072305,0.19303110658968894,0.294575946598015,0.181369062527503,0.058952013688309365,-0.0790569415042094,0.14709779665278716,-0.12490423027106055,-0.07939640314846459,-0.08108364290239871,-0.1699016466235554,-0.045571268430109765,-0.8582493041983399,0.16441252113983937,0.025492120149846063,0.10580880572920161,0.2013980183298655,-0.12497402191335034,0.025850118310836927,-0.07316158994474657,-0.10917284206635362,-0.2075541715864693,-0.022940423519958404,-0.14946423965164043,-0.24735493808000278,-0.25036824294521,-0.25884044094534053,-0.06568584841362855,-0.202723944137359
I see myself as someone who  [... is generally trusting],0.08043165230833213,0.18661989031466464,0.33489044576869464,0.024031550104200067,1.0,-0.13883632392567044,0.0723957470792299,0.29778066168967193,0.1565488095196665,-0.30638666965173156,-0.041354207578786994,0.16592076540634107,-0.15945341447028702,-0.036421984885884134,0.10111550576084848,-0.03781658493968652,-0.18086200430922011,0.17671758894016346,0.006927575897406626,0.19758894701116028,0.16533818876806378,-0.11145850324946904,0.04262478369041206,-0.10015736251466253,-0.342704767403224,0.10636875893489266,0.04355199929194737,0.2492070617520656,0.08269904039312467,0.7915918392936427,0.08079094508556674,0.05424532514873346,-0.33991733322200796,-0.07725060399584531,-0.06331826198664102,-0.07213072469579962,-0.040152374073725836,-0.025381589787246996,-0.14701171659505316,-0.1558948667398614,-0.186881159257538,-0.09983326536028066,3.6355870892321004e-17,-0.06735073097766409,-0.1391140103616207
I see myself as someone who  [... tends to be lazy],0.11587379397078754,0.09792649595487281,-0.022833322431800418,-0.060533707935733407,-0.13883632392567044,1.0,-0.21035335721068404,0.16398676149480787,-0.003689683666528202,0.09536690334591723,-0.32701722442369074,0.36027450795332966,-0.1573721970089481,-0.13666535609476918,-0.33000444122197875,-0.21111054519836278,-0.10152300147633404,-0.1555642315695428,0.09955715233901558,0.13868137085832824,0.18902815115114788,-0.12089961618462772,-0.28081043669274963,0.15629294691869866,-0.06162327732827214,0.07812747145077593,-0.022289976984398115,0.08053169873812031,0.02979913238368052,-0.14381399786687976,-0.8871117120858555,0.32761634066545076,-0.2236309909230418,-0.027018382724656138,-0.1370438444134444,-0.13158325353485464,-0.28164589084443453,0.01138911651952428,-0.03586176520692933,-0.1001861592412898,0.10972133027199076,0.08697550501203494,0.10740856506033977,-0.22223359595725714,0.0026449336371125068
"I see myself as someone who  [... is relaxed, handles stress well]",-0.21005607071033078,-0.5201825941588416,-0.14056120992161805,0.026477307666571966,0.0723957470792299,-0.21035335721068404,1.0,-0.27117868955183766,0.0681407274755078,0.01956918791358327,-0.03930920320425112,-0.5204234810708783,0.05964493030548381,0.06107136575197544,0.022617467896836538,-0.0635614539081422,0.2129302891398452,0.2976786853667809,-0.21439166136603147,0.03244128886223285,-0.15452476916181948,0.08186796301239646,0.016055667093026995,-0.032964494485630394,0.003857806210809739,-0.16044978978040603,0.18251433418869917,-0.3660927415879914,0.027516377314177422,0.030507456271977113,0.13381078876621957,-0.8706655124772463,0.2647287604475324,0.08172715141074818,-0.08869010319823294,-0.09183392835994697,-0.05362277895837521,-0.10994685925141702,-0.09790398649998061,-0.0698687674863532,-0.14380357520675624,-0.22347900728760298,-0.18810105988259235,-0.08977913307294555,-0.16389941812854408
I see myself as someone who  [... has few artistic interests],0.28676524711978013,0.27831616499060885,0.3076549955694884,-0.1866044780044611,0.29778066168967193,0.16398676149480787,-0.27117868955183766,1.0,0.2785032479830769,-0.02622385064903236,0.10694950105943542,0.15007293378173822,0.0174387660424694,0.0876331087510468,0.05488336367539997,0.07846927187367661,-0.12751874729646137,0.013915352164362437,0.2591130738431552,0.2577885382043237,0.23098756229626127,-0.11303231465211395,0.04805134648592725,0.009696806562370092,0.31793561708558166,0.3169020971855316,-0.03655405058716349,0.36282891764914343,0.26855073808395885,0.19398799153320662,-0.06704793477832229,0.24125860950610536,-0.8518614304143856,-0.024620314320194323,-0.12271493706634724,0.045438575391726944,0.05189718764065554,0.2882645018685603,0.11190335723100825,0.2456295750812248,0.20146448497703268,0.18717179706765824,0.2291512426700658,-0.00491058216683775,0.2090201105353616
"I see myself as someone who  [... is ongoing, sociable]",0.3512680766423819,-0.0014739978502074477,0.3566347112874157,-0.5394657536503066,0.1565488095196665,-0.003689683666528202,0.0681407274755078,0.2785032479830769,1.0,0.18055030805263927,0.15661039877898505,0.0025324680824005768,-0.0800435355118716,-0.07791205242001274,-0.04300386963825306,0.14083654787264335,0.013582335719039832,-0.01995973336100325,-0.006259595033165235,-0.003938310359959746,0.17670460073870453,-0.3004171951788638,-0.0074066835385247064,-0.23598575783157666,-0.01112284434791253,-0.04488003203170512,-0.16587563592914173,0.29026806914194525,0.8951421805080361,-0.02276591994781889,0.07917366427132698,-0.03744186340217287,-0.2817209266322583,-0.28636508177703285,-0.04989496730210121,0.09368996865582609,-0.0041228117139755875,0.08545198057998149,0.22250086556655221,0.23278198321562146,0.19976910310617602,0.10067745100995344,0.16960257899985776,0.014791520188158247,0.20557974214177333
I see myself as someone who  [... tends to find fault with others],-0.034786178619010386,0.008466284990953208,-0.20395553714172565,-0.23385358667337133,-0.30638666965173156,0.09536690334591723,0.01956918791358327,-0.02622385064903236,0.18055030805263927,1.0,0.015781263567533326,0.009697253634881185,0.14367205980652364,-0.007160125938312445,-0.10528029254655548,-0.03315290417691935,-0.024964362063136555,-0.04585754068879098,-0.11684916995072002,-0.18096557134354552,-0.1268685287478523,0.1878120566063371,0.09217474069581882,0.03195547595439497,0.45146750770345295,0.11897537702443156,-0.07227753242640728,-0.09382674924445784,0.2338599086637936,-0.8241962475607695,-0.061661594933786146,-0.005585894878905024,0.09784080877455659,0.09597431974716417,-0.23882045957215634,-0.13102353669156996,0.03946737883600742,-0.30398888289556314,-0.01634956287984283,0.08570788909595572,-0.1113404428537808,0.10574021142908588,-0.37542222473396486,-0.11790213696500118,-0.07783092126487072
