Answer_Value,Language,3rd View Video 1,3rd View Video 2,3rd View Video 3,3rd View Video 4,3rd View Video 5,3rd View Video 6
1.0,German,1.0,3.0,0.0,0.0,0.0,1.0
2.0,German,3.0,2.0,3.0,0.0,1.0,2.0
3.0,German,9.0,10.0,7.0,6.0,4.0,6.0
4.0,German,5.0,4.0,7.0,4.0,7.0,4.0
5.0,German,1.0,0.0,2.0,9.0,7.0,6.0
1.0,Italian,1.0,1.0,0.0,0.0,0.0,0.0
2.0,Italian,2.0,6.0,2.0,1.0,1.0,3.0
3.0,Italian,7.0,9.0,10.0,2.0,0.0,2.0
4.0,Italian,6.0,0.0,3.0,9.0,10.0,4.0
5.0,Italian,1.0,1.0,2.0,5.0,6.0,8.0
2.0,English,0.0,0.0,0.0,1.0,0.0,0.0
3.0,English,1.0,2.0,0.0,0.0,0.0,1.0
4.0,English,2.0,1.0,3.0,1.0,2.0,1.0
5.0,English,0.0,0.0,0.0,1.0,1.0,1.0
