,,0
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.9661041105733449
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.9661041105733449
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.9453337827936318
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.9453337827936318
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.9233843783102945
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,mean_competence,0.9233843783102945
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9208413988466058
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9208413988466058
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.9164302504124172
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.9164302504124172
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",mean_trust_subj,0.9126745642363504
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",0.9126745642363504
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.9108130840449518
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,mean_competence,0.9108130840449518
I see myself as someone who  [... tends to be lazy],coscientiousness,0.9073229767805333
coscientiousness,I see myself as someone who  [... tends to be lazy],0.9073229767805333
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.898745935000114
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.898745935000114
I see myself as someone who  [... get nervous easily],neuroticism,0.8907857658673151
neuroticism,I see myself as someone who  [... get nervous easily],0.8907857658673151
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8772341894118684
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.8772341894118684
I see myself as someone who  [... is reserved ],extraversion,0.8690872392341208
extraversion,I see myself as someone who  [... is reserved ],0.8690872392341208
"I see myself as someone who  [... is relaxed, handles stress well]",neuroticism,0.8686037872475605
neuroticism,"I see myself as someone who  [... is relaxed, handles stress well]",0.8686037872475605
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,mean_competence,0.8596562367239164
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.8596562367239164
I see myself as someone who  [... is generally trusting],agreebleness,0.8523135262378535
