Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?
German,5,7,4
Italian,6,7,7
German,4,5,5
Italian,7,7,7
German,5,7,5
Italian,6,7,6
German,6,7,5
German,5,7,6
Italian,7,7,6
Italian,2,5,2
German,7,7,5
German,3,6,2
Italian,6,7,5
German,5,6,5
Italian,7,7,7
Italian,3,4,5
Italian,7,7,7
Italian,5,7,7
Italian,4,7,5
Italian,6,7,4
Italian,4,7,5
Italian,6,7,6
Italian,7,7,7
Italian,4,5,5
Italian,7,7,6
German,4,7,7
German,3,5,3
Italian,6,7,7
German,1,2,4
German,6,7,6
German,3,7,5
German,2,3,1
German,4,5,6
Italian,7,7,6
German,4,5,7
German,5,6,6
Italian,7,7,6
Italian,4,7,5
Italian,4,7,3
German,2,2,3
German,4,3,2
Italian,6,6,6
Italian,5,6,4
German,1,6,4
German,4,5,6
German,3,5,3
Italian,6,6,5
Italian,4,7,6
German,3,4,3
Italian,6,7,5
Italian,1,7,5
Italian,5,7,5
German,4,5,5
Italian,7,7,6
German,3,6,4
Italian,5,7,6
German,4,6,3
German,7,5,7
German,5,3,6
German,5,7,6
German,4,4,4
German,4,6,5
German,2,7,5
Italian,4,7,4
Italian,7,7,7
German,3,5,5
German,5,6,4
Italian,6,6,6
German,5,7,6
German,4,7,5
German,2,4,3
Italian,4,6,6
Italian,2,2,4
German,3,6,5
German,4,6,5
Italian,5,6,7
Italian,5,7,7
German,2,6,3
German,4,6,5
German,4,7,4
German,5,7,3
