,,0
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.9625334218796217
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.9625334218796217
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.961192191998245
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.961192191998245
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9589761250689784
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9589761250689784
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.9503288904374105
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.9503288904374105
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",mean_trust_subj,0.9423941605378041
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",0.9423941605378041
agreebleness,I see myself as someone who  [... is generally trusting],0.925
I see myself as someone who  [... is generally trusting],agreebleness,0.925
mean_cultural_closeness_subj,Which picture best describes your relationship with Italy or Germany?,0.9120023609671131
Which picture best describes your relationship with Italy or Germany?,mean_cultural_closeness_subj,0.9120023609671131
I see myself as someone who  [... tends to be lazy],coscientiousness,0.9103664774626048
coscientiousness,I see myself as someone who  [... tends to be lazy],0.9103664774626048
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]",Which picture best describes your relationship with Italy or Germany?,0.9068453126375146
Which picture best describes your relationship with Italy or Germany?,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]",0.9068453126375146
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.8998108633217179
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8998108633217179
neuroticism,I see myself as someone who  [... get nervous easily],0.8829944192264337
I see myself as someone who  [... get nervous easily],neuroticism,0.8829944192264337
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",0.8763075402514886
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",mean_trust_subj,0.8763075402514886
