,,0
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9426493712574427
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9426493712574427
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9177656132232003
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.9177656132232003
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.8964285588743802
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.8964285588743802
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.864314310072765
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.864314310072765
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,mean_competence,0.8575972089918966
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.8575972089918966
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your own preferences? ,0.8326696151482694
Which picture best describes the relationship between Pepper and your own preferences? ,mean_cultural_closeness,0.8326696151482694
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,mean_competence,0.8250357298599597
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.8250357298599597
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,mean_competence,0.8224471810363116
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8224471810363116
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.8210687791149853
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.8210687791149853
