Informazioni cronologiche,Nationality,Participant ID,"Today, the robot interacted with you in three different ways: 
 1. Neutral: The robot used English and general behaviors. 
 2. National Knowledge: The robot used your native language and communication style. 
 3. Adaptive: The robot adjusted its interactions to your personal preferences. Thinking about your experience: Did your answers to the questionnaire change between the first (Neutral) and second (National Knowledge) interactions? If so, why do you think that happened? "
8/12/2025 13:02:25,German,af963537-2f40-45ef-a585-362b6a0cfa23,yes they changed because I got more frustrated that it didnt do what I wanted and it did the same thing (basically ignoring me and talking about what they wanted) every time
8/12/2025 14:07:48,Italian, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,"Yes they changed. For neutral case scores were lower and I felt more ""robotic"" interactions, while for the second case the interactions felt a bit more natural"
8/12/2025 15:27:05,German,769f83e0-4702-4b09-930c-53309601ff1f,I think my individual preference for Pepper increased because we conversed in my native tongue.
8/12/2025 16:27:53,Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,"My answers didn't change much, although I did notice a difference in language."
8/13/2025 8:21:34,German,831dea5f-05d3-4907-8ac8-893e24281e36,"Yes I think my answers to the questionnaires changed a bit, because when the robot speaks mz national language (german), it directly feels more german. Espacially knowing about the different cultures in germany. I did not feel a big difference between nr. 1 and 3. culturally, but the adaptiveness showed a little when the robot asked me where it should stand and which tone to use for the conversation, but both did not feel especially german to me. "
8/13/2025 9:36:25,Italian,3318f716-94c4-4264-a345-2546b545b2a1,"I felt pepper closer to me when it was communicating in my native language, and that partially influenced my answers"
8/13/2025 10:45:09,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,Yes it did. I think because I might have some expectations about how good communication is supposed to be and if the robot adjusts its interactions with me according to my native language and communication style it will appear as more competent and natural to me
8/13/2025 11:53:23,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,"first of all i think i was more relaxed and talkative the further time went on. i think it all happened, because the robot was more active and acutally asked me things back. i think my answers differed, becuase i found the robot more or less (sympatisch) in the different trys, it also depended on wether he responded more or less to my answers."
8/13/2025 13:03:06,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,"yes, it felt confusing and out of context the adaptive one"
8/13/2025 14:15:27,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,"I think my answers changed between the first and second interactions, because Pepper sounded a little bit ""weirder"" the first time in Italian than it was in English, but they changed more between the second and the third since I noticed a bigger difference in Pepper's interactions"
8/13/2025 15:22:05,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,"Yes, i felt more comfortable talking during the second interaction. I would mostly attribute this to the responsivness of Pepper though as it did not cut me off as often."
8/13/2025 16:35:06,German,54327bfe-6f42-427f-b32d-02e417005af2,"not really, the robot seemed to have a similar personality and wanted to talk about cultures and linguistics. Furthermore he got confused often times with my orders, and at some point he startet speakig Italian, and I didnt know what to ask/response anymore."
8/13/2025 17:40:19,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,I do not remember all the values I gave to each of the questions. I might have given a higher point (maybe one only) in a few. But over all my experience with the robot has not improved.
8/14/2025 8:23:18,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,"Yes it changed, mainly because there was very little interaction in the first part. But also the talk about tea and coffee in the morning was human like and therefore it felt like Pepper was more ready to interact with human."
8/14/2025 9:37:33,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,"Yes it definitely changed. When talking to Pepper in Italian, I felt like it was a stretch. When talking in English it felt more like a natural conversation between me and something that would be in my house helping."
8/14/2025 10:40:53,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,"I believe I was more relaxed and funny in my native language, but the I kept the overall answers to the questionnare the same. I do believe that when talking in italian Pepper was a bit more 'italian' in being more approachable. "
8/14/2025 11:25:27,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,yes they slighlty changed because i could grasp that the robot knew about my culture (even though i have to say when talking in italian to them i specifically asked about my home city). Overall though i didn't perceive much of a difference between the two interactions).
8/14/2025 14:08:45,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,"I gave lower scores after the neutral interaction as I perceived the national knowledge was lowest overall, as this was the last interaction I completed."
8/18/2025 9:29:54,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,"The answers changed only very slightly, I didn't perceive big differences in the different communication ways."
8/18/2025 10:34:40,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,"Yes, but not because I noticed the difference in interaction, but rather because I talked more to the robot in the second interaction because I knew how it worked better"
8/18/2025 11:55:33,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,Yes. The National Knowledge was acting less interactive and it was less interesting to  talk to. He also looked like a bit less competent. 
8/18/2025 14:15:05,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,"Yes, a little bit. The neutral one seemed to interact better than the national knowledge one, I had fewer problems in the interaction and he was more responsive in the communication than the other one. "
8/18/2025 15:22:32,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,"yes, the interaction with the robot was much smoother in the neutral case. It seemed much more responsive and interactive. This might be due to the fact that english language is much better supported in technological applications."
8/18/2025 16:32:13,Italian, b1f78262-947f-4f64-b434-66eed804c0a2,I felt I change my interactions when the robot was switching languages. For some reason I was more interested in some topics when he was talking in English and other topic when he was talking in Italian. I felt it was more natural in English
8/18/2025 17:49:31,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,The conversation i have was quite similar and we talked about the same things. but the national knowledge section was a more 'normal' and fluid conversation and i felt that pepper was more responsive and capable 
8/19/2025 8:26:10,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,"1. in this scenario I ranked the functions much higher, because the robot interacted with me the most. It answered to questions and repeated his questions, when I asked it to. In the National Knowledge Part I didnt understand the get the pronounciation of the word it was asking me about, since it has two different meanings in germen. When I asked which one it meant, it just assumed an answer."
8/19/2025 9:45:20,German, f31981fc-9011-4437-b2d0-b29e34f4d363,"I adjusted my answers probably more because I felt like I got to know the Robot better the more interactions we had instead of based on large differences I percieved between the two interactions (I had national knowledge first, then neutral)"
8/19/2025 10:35:52,Italian, a12345e3-86bb-407c-b37d-958545f2b64b,"In the neutral interaction the robot was much more talkative than in the national knowledge one, and i felt like it came closer and wanted to interact more"
8/19/2025 11:54:31,German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,"Zes, i answered the two differenlty but the differences were quite small. I felt like the national knowledge run, the robot responded better even to ""slang"" in German. It was easier to uphold a conversation because it was more capable of giving good starters and continue the talk. howver, the topic changes were surprising and it was sometims quite a big jump to different topics that were not related - this was the case for both neutral and national knowledge. Furthermore, I had the feeling that the neutral interaction round was more general and formal and not as specific as the national knowledge round in terms of topics and responses."
8/19/2025 13:11:38,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,"Yes the answers changed slightlz because the robot was speaking German, so the experience felt differently.  "
8/19/2025 14:29:09,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,I felt comfortable when the robot used my native language and communicaton style
8/19/2025 16:40:49,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,"For 2., the robot spoke to me in German and was direct, which is a key element of German communication. For 1., the robot asked me whether I preferred communication based on implicit knowledge or not, and I very much prefer communication based on implicit knowledge. I cannot remember my answers perfectly, but in the first round (2.) I think I deemed the robot to be pretty incompetent and misaligned with the values of Germany, but I think that this is the case because I could not compare it to anything. I think that when the robot was neutral, I find that it was a little bit more incompetent. Given that I had the neutral version in the final round, I was more familiar with the robot and gave it higher scores, because the second round (adaptive) was the robot's worst round, so in comparison it seemed more competent in the third round. But in truth I think that the robot was most competent in the first round (national knowledge), even if my answers do not reflect that. The order of the rounds is very important because people make decisions by comparing it to other things, and in the first round I couldn't compare it to anything."
8/19/2025 17:58:21,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,"I think neutral worked best, because the interactions were the most fluent, when the robot was speaking german, i feel it often used phrases and intonation that wasa bit ambiguous. I was impressed however by its explanations on high and low context cultures, and that it can adapt to personal preferences in regards to communication styles is intriguing."
8/20/2025 8:24:57,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,"I found Pepper much more capable and able to interact in the neutral modality. The conversation was faster and more fluent with respect to the Italian mode. Moreover, in neutral interaction the robot also showed social skills (e.g. irony). I consider the level of knowledge equivalent in both modalities."
8/20/2025 9:35:25,German, d07625d6-1896-4f00-88a4-af8f3876f20d,"Competency was rated lower as Pepper misunderstood ""OK"" in German as English and changed language despite a request to turn back to German."
8/20/2025 10:37:31,German,48058970-cb05-497a-afdc-417cd948375d,"It only changed slightly, as by the second interaction I felt more at ease with the robot"
8/20/2025 13:03:55,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,I noticed that at the last two trials the robot could give better answers. 
