,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.39901193756050635,,0.21926450482675744,-0.40990639884485025,0.5499999999999998,0.1118033988749895,0.16318834144205502,0.7071067811865476,0.5976143046671969,-0.07254762501100112,-0.2192645048267575,-0.4264014327112209,-0.07254762501100122,0.20916500663351859,-0.05976143046671976,-0.3500000000000001,-0.012867125316374505,-0.14199045856176631,-0.02024440825447303,0.46625240412015684,0.14924050144892723,0.17928429140015903,1.0749688212373145e-16,0.1292776360486239,0.2958039891549807,0.05976143046671975,-0.5976143046671969,0.355995327591988,0.2878248378005309,0.5939992016378403,0.4,-0.20356413280434146,-0.34513424498131673,-0.6643638388299197,-0.03336509991230887,0.30845402395184657,0.28593138470052004,0.12843225981358705,0.23108952131999702,0.08918825850158456,0.30845402395184673,0.25354627641855493,0.4382299106011074,0.35,0.29000309723722895,0.34738964761642666
Which picture best describes your relationship with Italy or Germany?,0.39901193756050635,1.0,,0.5885634057525944,-0.6122474999736546,0.2357797812857538,0.02027767764134533,0.4989261924751569,0.28214404682341726,0.33600511319059656,-0.1710526315789472,-0.7317274774221444,-0.23974168714477645,-0.5263157894736843,-0.33600511319059667,-0.6286547279049869,-0.9068453126375146,-0.5974268047500126,-0.10301070542879102,-0.543412983287593,-0.49892619247515696,-0.5181513883451621,0.03251662385715446,-0.21073180760588126,-0.25152197376340474,-0.521168438562221,-0.34684398780964776,-0.3360051131905965,0.9120023609671131,-0.12849851324064707,0.588164373657144,0.23577978128575378,-0.328925738293896,-0.4173111630559929,-0.5497586502300099,-0.2514773221406114,0.48646971440854203,0.5468778576434178,0.1979959277657713,-0.18970916454681072,-0.10167765666389862,-0.25782894863652717,0.09197090092274483,0.0611394985055647,0.009068453126375163,0.4962036780753629,0.041159525193937674
Which picture best describes your relationship with Italian or German language?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italian or German Culture?,0.21926450482675744,0.5885634057525944,,1.0,-0.3277900741893057,0.41660255917083894,-0.12257258446136506,0.449823451060242,0.3410955201203234,0.24896764872145571,-0.30223526241349424,-0.1346153846153846,-0.009349469900084466,-0.15907119074394513,-0.8386278693775349,-0.3668996928526713,-0.5700877125495692,-0.6376146725947418,-0.3113346758666983,-0.5237878578684706,-0.17379542427327543,0.07479575920067645,-0.43241749514779143,-0.764286998047602,-0.5978428427257326,-0.4632808229131882,-0.34069257193462366,-0.7206958252463187,0.868385673879198,0.16505632294338143,0.3520079481475953,0.416602559170839,0.06492274731611952,-0.25225229774861724,-0.39149190939196127,-0.7283810255716053,0.14702830179048348,0.11399018814688834,-0.09856222548132682,-0.4053578357030522,-0.5084513027544794,-0.646924527878127,-0.11118739749916529,-0.3252218177939955,-0.41660255917083894,0.07438524343140956,-0.4026686957689373
I see myself as someone who  [... is reserved ],-0.40990639884485025,-0.6122474999736546,,-0.3277900741893057,1.0,0.13261677609686331,0.10783277320343847,-0.31478562528930154,-0.1363988678940946,-0.37465377150775275,-0.017492785713533,0.2326252139407975,0.4523838666339658,0.7696825713954516,-0.014409760442605614,0.11527808354084704,0.349626046073549,0.024820315303155174,0.2738955178323884,0.566237793048806,0.4159667191322914,0.3598508030042909,0.0,-0.09338592095470341,0.26070797767035964,0.34643413702416953,0.40347329239296426,0.18012200553257343,-0.5418529792875472,0.501820670566804,-0.86709749602319,0.09644856443408235,-0.008924303808748944,0.44383603287318546,0.5606732120242913,0.18434006612292408,-0.3621732776147856,-0.43873568424341264,-0.10838718700289876,0.0293266481408855,-0.006144342497752697,0.1034780793185101,-0.18340630783632508,-0.40641005547647197,-0.18686909359103468,-0.36942014503731774,-0.2079344850384656
I see myself as someone who  [... is generally trusting],0.5499999999999998,0.2357797812857538,,0.41660255917083894,0.13261677609686331,1.0,-0.13975424859373684,0.3730019232961256,0.8131727983645298,0.7320775232173161,-0.5622440938352591,-0.21926450482675758,-0.1385804656311468,0.2539166875385038,-0.19422464901683947,-0.059761430466719404,-0.35000000000000014,-0.4181815727821704,0.11359236684941312,0.07085542889065519,0.46625240412015667,0.1492405014489271,-0.0896421457000796,-0.5809475019311126,-0.18804019788890744,0.042257712736425895,-0.20916500663351917,-0.7320775232173162,0.35599532759198776,0.6863515362935738,0.3050266170572694,0.925,0.04626457563735032,-0.2876118708177639,-0.5709376739944624,-0.36805401185512693,-0.17434357875539153,-0.29892826582327087,-0.5217560554926977,-0.3709594947505214,-0.5415001409024771,-0.17434357875539155,-0.44370598373247117,-0.42137491403952637,-0.26875,-0.37481532378773924,-0.44209260431587966
I see myself as someone who  [... tends to be lazy],0.1118033988749895,0.02027767764134533,,-0.12257258446136506,0.10783277320343847,-0.13975424859373684,1.0,-0.20851441405707474,0.0,-0.5345224838248488,0.1622214211307624,0.19611613513818404,0.45289472989165636,-0.3244428422615247,0.0334076552390533,-0.668153104781061,-0.22360679774997883,0.24456001850058534,0.41275041275061886,0.045267873021258904,-0.10425720702853745,0.16685595311797893,0.3340765523905305,0.14433756729740627,0.2627941656138183,-0.14173667737846046,-0.13363062095621198,0.283965069531951,-0.049751859510499694,0.34655164004183603,-0.358979079308869,-0.16770509831248426,-0.9103664774626048,0.38587181657064484,-0.18569533817705186,0.3344279049953023,0.3448620827448386,0.3632738710744352,0.30513221741253865,0.5439282932204212,0.5698028822981898,0.38984409353764354,0.472455591261534,0.6030226891555273,0.47516444521870527,0.3976446371888221,0.5845418758583751
"I see myself as someone who  [... is relaxed, handles stress well]",0.16318834144205502,0.4989261924751569,,0.449823451060242,-0.31478562528930154,0.3730019232961256,-0.20851441405707474,1.0,0.46156633137705094,0.4736864806890499,0.18604027516022814,-0.6338421355848866,-0.5169078021169036,-0.2706040365966956,-0.09752368720068677,-0.22291128503014088,-0.2564388222660863,-0.8039099671252405,0.42370171306590104,-0.8400713576587767,-0.11956521739130448,0.10934588121703744,-0.6687338550904234,-0.09028938981432676,-0.8493437576390397,-0.5516772843673705,-0.5294143019465852,-0.4109926817743227,0.5342599614552074,0.20646003475383326,0.4640843367611895,0.16318834144205496,-0.060398714926237676,-0.858238247822582,-0.5614422421802157,-0.8000650460649825,0.5314991986690095,0.4120682407291617,-0.5314514179039428,-0.8222724477869264,-0.6297042048913286,-0.7065812876423304,-0.5910828046793255,-0.3457820374040624,-0.6877222960772315,0.20920001105113706,-0.5685272561295364
I see myself as someone who  [... has few artistic interests],0.7071067811865476,0.28214404682341726,,0.3410955201203234,-0.1363988678940946,0.8131727983645298,0.0,0.46156633137705094,1.0,0.6761234037828134,-0.20519567041703088,-0.24806946917841716,-0.12060453783110542,0.10259783520851538,0.08451542547285133,-0.16903085094570322,-0.24748737341529153,-0.2547560838363936,0.32128773156099966,-0.14314958357846713,0.5275043787166295,0.2412090756622108,-9.383097129595137e-17,-0.3651483716701106,-0.28254956050867674,0.17928429140015906,-0.0845154254728517,-0.8028965419920908,0.346124226540154,0.7201579347479219,0.4540766091864997,0.6363961030678927,-0.10468478451804268,-0.32539568672798425,-0.8221083073205849,-0.3602986587062088,0.018966081045272025,-0.07352146220938076,-0.3859651178085248,-0.27520836646151253,-0.23424374030084513,0.018966081045272126,-0.4183300132670378,-0.04767312946227957,-0.22980970388562796,-0.15476464650682736,-0.2061414226923513
"I see myself as someone who  [... is ongoing, sociable]",0.5976143046671969,0.33600511319059656,,0.24896764872145571,-0.37465377150775275,0.7320775232173161,-0.5345224838248488,0.4736864806890499,0.6761234037828134,1.0,-0.43355498476206006,-0.3668996928526717,-0.59883544993921,-0.0433554984762062,0.1249999999999996,0.285714285714286,-0.20916500663351897,-0.2845143915134002,-0.08485552916276612,-0.1209834796239568,0.27863910628767635,-0.1401529776453473,-0.1071428571428572,-0.23145502494313785,-0.23879796323558067,0.025253813613805368,-0.28571428571428586,-0.5982142857142858,0.33241859400571383,0.13231403100624056,0.7867177953646697,0.6872564503672763,0.37601786192323755,-0.6187714854940426,-0.6203645837318315,-0.33773029363604457,-0.10419021659109401,-0.17864380772534502,-0.5276765700616687,-0.4506499485879248,-0.5634590360826847,-0.1763219050003128,-0.45456864504849487,-0.28203803740888317,-0.194224649016839,-0.29756999880972007,-0.38860739175404674
