,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,,0.6614378277661477,0.34684398780964815,-0.1889822365046136,-0.4629100498862757,0.12098347962395682,0.06681531047810611,-0.47368648068904995,-0.3733643283161719,0.043355498476206025,-0.6446583712203043,-0.13103560459023977,0.08451542547285171,-0.13363062095621228,-0.577196370674513,-0.3367822619938892,-0.3733643283161717,-0.4913036844405174,0.09449111825230681,-0.11527808354084698,-0.06681531047810603,0.4409585518440984,-0.18898223650461313,0.4394353744020411,-0.1296407447104327,0.1543033499620922,-0.32796802467631514,0.8315218406203007,-0.7335037571219202,-0.13103560459023983,-0.39652233878659904,-0.41833001326703784,-0.09862273454430757,0.3724194613619294,0.3685230929917438,0.2686353447586677,0.10873970905021002,0.22118697760190442,0.01569412051435863,0.39019948628585394,0.3335621924974956,0.16769461772638442,0.22941573387056177,0.35856858280031817,0.20058948464427967,0.3271163497090149
Which picture best describes your relationship with Italy or Germany?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italian or German language?,0.6614378277661477,,1.0,-0.28676966733820186,0.25000000000000006,-0.30618621784789724,0.5121475197315839,-0.35355339059327373,-0.47918635750341565,-0.4490132550669373,-0.22941573387056177,-0.42640143271122083,0.3813563849048451,-0.4472135954999579,0.17677669529663673,-0.24433888871261078,0.13103560459024,-0.044901325506693734,-0.18569533817705183,0.25000000000000017,0.26687249808205843,0.35355339059327384,0.16666666666666674,-0.12500000000000008,0.2906591794880899,-0.4716211091418991,0.10206207261596613,-0.7050239879106326,0.5499999999999997,-0.5567491676038057,-0.5547001962252291,-0.13803940759355818,-0.6324555320336758,0.3750886420057292,0.024633231954107316,-0.012465707286903185,-0.05076730825668095,-0.20549873413169664,0.14630143399516324,0.10380684981717497,0.5161854012087639,0.44126130406091424,0.11091956367701421,0.541943730952575,0.47434164902525716,-0.0599188587723162,0.40560358122707446
Which picture best describes your relationship with Italian or German Culture?,0.34684398780964815,,-0.28676966733820186,1.0,-0.11470786693528093,-0.14048787173725427,-0.5434129832875929,0.4055535528269067,-0.18604027516022817,0.26782783411485706,0.4210526315789472,-0.09782319760890382,-0.5567491676038059,0.512989176042577,-0.08111071056538138,-0.05605518546712118,-0.456936766731688,-0.10301070542879082,-0.3621121744159593,0.05735393346764076,-0.3323629285571271,-0.64888568452305,0.3823595564509362,-0.286769667338202,-0.10478566837903294,0.33442802702996954,0.2341464528954235,0.2861617460312274,0.6423640548375734,-0.09488292830168409,0.3022352624134946,-0.31668411996133755,0.399011937560506,-0.4863765517127561,0.463402580881135,0.3076248906500873,0.19799592776577102,0.03771571432023541,-0.1476809437237904,-0.4477205830740499,-0.3947368421052633,-0.337440952999386,-0.295181639978151,-0.6365717440155407,-0.4352857500660073,0.03927522559410679,-0.4027059704433851
I see myself as someone who  [... is reserved ],-0.1889822365046136,,0.25000000000000006,-0.11470786693528093,1.0,0.5103103630798288,-0.35210141981546395,-0.5303300858899106,-0.1474419561548971,0.22450662753346867,-0.057353933467640464,0.053300179088902735,0.5893689584893058,-0.11180339887498951,0.5303300858899105,0.5803048606924498,0.28827833009852755,-0.04490132550669381,0.32496684180984053,-0.24999999999999986,0.49562035358096507,4.906538933386797e-17,-0.4999999999999999,0.43749999999999944,-0.5813183589761797,-0.600245047998781,0.10206207261596577,-0.21693045781865622,0.09999999999999917,0.3976779768598613,-0.6587064830174596,0.44172610429938614,0.31622776601683783,0.5707870639217619,0.024633231954107347,-0.685613900779677,0.1776855788983833,0.04109974682633926,0.1463014339951632,0.10380684981717489,0.0,0.04902903378454601,0.11091956367701414,0.08671099695241197,0.158113883008419,0.11983771754463252,0.09224429272053876
I see myself as someone who  [... is generally trusting],-0.4629100498862757,,-0.30618621784789724,-0.14048787173725427,0.5103103630798288,1.0,-0.6272500481871801,-0.1443375672974064,6.01448156707331e-17,0.7698973538621048,-0.14048787173725413,0.13055824196677335,0.254762332682534,0.27386127875258304,-0.14433756729740652,0.37406600104036253,-0.19258222162991084,-0.43994134506406,0.2653343152526161,-0.20412414523193168,-0.09338592095470348,-0.14433756729740627,-0.5443310539518172,0.4592793267718457,-0.2542738138578039,-0.3150630189063025,0.3333333333333331,0.39852669849304284,-0.367423461417477,0.7792865001991965,0.16984155512168933,0.8791278938007464,0.5809475019311126,0.1997338654842403,0.18101654700955414,-0.34413344407112184,0.4974160033738069,0.6040404496926219,0.5017094066958714,0.3559833394009254,-0.04682929057908465,-3.555559264902523e-17,0.43471413360133115,0.10619884881071832,0.12909944487358055,0.5661152869965274,0.1993689254552192
I see myself as someone who  [... tends to be lazy],0.12098347962395682,,0.5121475197315839,-0.5434129832875929,-0.35210141981546395,-0.6272500481871801,1.0,-0.045267873021259286,0.09439004018637931,-0.6438908697455835,-0.2496762355645699,-0.09554144082570751,0.03551104121142176,-0.6584880844609484,0.09053574604251856,-0.12513755582813502,0.4898997871781653,0.5461574341592003,0.0832154810139581,0.512147519731584,0.22454257310556133,0.6563841588082593,0.18138557990493615,-0.35210141981546406,0.29240431365758357,0.15370700628187076,-0.33976044276805545,-0.4860642321765201,-0.06401843996644824,-0.5051010779616171,-0.20418848696567504,-0.3888309712334189,-0.8705095549423348,0.04176102558320047,-0.4983260216066202,0.09636813450978181,-0.7280098281990214,-0.673572268758583,-0.39711795773512343,-0.1860754723275531,0.13218153647536052,0.03766514707138704,-0.24995158947832627,0.22759521286598253,0.06073322476341892,-0.6422412433770667,-0.05801123909028253
"I see myself as someone who  [... is relaxed, handles stress well]",0.06681531047810611,,-0.35355339059327373,0.4055535528269067,-0.5303300858899106,-0.1443375672974064,-0.045267873021259286,1.0,-0.026064301757134374,0.3492503492505239,-0.040555355282690705,-0.07537783614444113,-0.907037125014101,0.7115124735378853,-2.428612866367529e-16,-0.04319342127906821,-0.352093425414023,0.06350006350009539,-0.2954394739343757,0.26516504294495546,-0.05391638660171908,-0.12500000000000003,0.20623947784607635,-0.22097086912079583,-0.10276353841507319,0.8488746876271651,0.07216878364870315,0.13421887304828983,0.07071067811865496,0.21371260356627747,0.710920989875917,-0.09760860118037878,0.0,-0.9801894085306905,0.4877131100041323,0.1565184622632509,-0.14359163172354764,-0.1017166839008419,-0.51725368037648,-0.6312617359783063,-0.5677749739576688,-0.6240377207533827,-0.4862782489820729,-0.5824823725107175,-0.6708203932499368,-0.24210875062207943,-0.6167747240607825
I see myself as someone who  [... has few artistic interests],-0.47368648068904995,,-0.47918635750341565,-0.18604027516022817,-0.1474419561548971,6.01448156707331e-17,0.09439004018637931,-0.026064301757134374,1.0,-0.29129492773280685,0.338255045745869,-0.22004311471167595,-0.19424194477601353,-0.13187609467915756,-0.10425720702853708,0.5223741538892648,0.6414288427752557,0.12578644606643932,0.6844820977417421,-0.25802342327107,0.1124234376033218,0.26064301757134345,-0.5406205059012894,0.51604684654214,-0.42855357998101323,0.2402178252764824,-0.601929265428846,0.3198465105036006,-0.545535237773119,0.18763014024940752,-0.10223260251369135,-0.16282240225645903,-0.18650096164806285,-0.07694442171660332,-0.7554501563920278,-0.4340585599757467,-0.3967172556184362,-0.13331619553002297,-0.21570969616513438,0.012244387999457564,-0.35516779803316256,-0.34698895917974426,0.18970869035488516,-0.39633000933495327,0.0699378606180234,-0.2524158213702669,-0.23081152239880443
"I see myself as someone who  [... is ongoing, sociable]",-0.3733643283161719,,-0.4490132550669373,0.26782783411485706,0.22450662753346867,0.7698973538621048,-0.6438908697455835,0.3492503492505239,-0.29129492773280685,1.0,-0.08240856434303295,0.3637738010070546,-0.19925419255468715,0.5622535302317492,-0.1270001270001908,0.208451659544546,-0.5460047926576328,-0.23387096774193547,-0.16675933649126762,0.08980265101338739,-0.27389551783238825,-0.44450044450066667,-0.07483554251115611,-0.044901325506693804,-0.16406949340198357,0.1078071931358967,0.5865884600854128,0.36039720865676816,-0.12572371141874286,0.7771047957992363,0.5853091906293936,0.6644419343973411,0.7099522928088311,-0.28704587242420354,0.5663051603216702,0.005324968290736716,0.3920773424986853,0.3912318194243389,0.14714847414204874,-0.09695015519208125,-0.30903211628637334,-0.2641762326286301,-0.10359305702141879,-0.22581944455187034,-0.42597137568529864,0.33822626284547697,-0.2051454254961213
I see myself as someone who  [... tends to find fault with others],0.043355498476206025,,-0.22941573387056177,0.4210526315789472,-0.057353933467640464,-0.14048787173725413,-0.2496762355645699,-0.040555355282690705,0.338255045745869,-0.08240856434303295,1.0,-0.1222789970111295,-0.3022352624134945,0.10259783520851541,-0.4055535528269065,0.05605518546712101,-0.08417256229267957,-0.26782783411485683,-0.2769093098474982,-0.4014775342734831,-0.4548124285518578,-0.6894410398057409,0.30588764516074896,0.02867696673382061,-0.06668178896847558,-0.1573778950729266,0.32780503405359285,-0.17418541062770376,0.18353258709644985,0.029194747169749125,-0.01590711907439442,-0.5953661455273143,0.14509525002200235,-0.1197234588831399,-0.15823502761794858,0.10372678473678806,0.11646819280339492,0.04714464290029466,0.02685108067705276,0.10478566837903293,0.07894736842105256,0.13497638119975416,-0.07125074068438117,-0.3481251725084987,-9.665285240290247e-17,0.0667678835099821,-0.017427769972820306
I see myself as someone who  [... does a thorough job],-0.6446583712203043,,-0.42640143271122083,-0.09782319760890382,0.053300179088902735,0.13055824196677335,-0.09554144082570751,-0.07537783614444113,-0.22004311471167595,0.3637738010070546,-0.1222789970111295,1.0,0.236524958395633,-0.0953462589245593,0.1507556722888818,-0.013023306526765338,-0.15644655469368587,0.4499307538771466,-0.15836151649297917,0.05330017908890278,-0.11379481553341211,-0.26382242650554333,0.24873416908154575,-0.42640143271122133,0.03541071158982563,0.03656362120635653,0.21759706994462208,0.09249945801257603,-0.4264014327112216,0.35948937327237873,0.236524958395633,0.16480856327180382,0.5730698830937557,0.15298449372125575,0.08402916318031352,0.21735657597705368,-0.07576538541439337,-0.14896242291196615,-0.1746727949770824,-0.044263389487282034,-0.07336739820667777,6.266802152263676e-17,-0.4729626086758237,0.01848684666616339,-0.5056498968474317,-0.1386972163748009,-0.1989792045582646
I see myself as someone who  [... get nervous easily],-0.13103560459023977,,0.3813563849048451,-0.5567491676038059,0.5893689584893058,0.254762332682534,0.03551104121142176,-0.907037125014101,-0.19424194477601353,-0.19925419255468715,-0.3022352624134945,0.236524958395633,1.0,-0.5891649892987401,0.19611613513818427,-0.01694185368929224,0.25439916452544137,-0.031133467586670037,0.25751310131230226,-0.2426813358485378,0.2326252139407974,0.24514516892273008,-0.2657938440245889,0.2253469547164989,0.09788885593728681,-0.80860754006264,-0.05661385170722981,-0.15041420939904668,-0.18027756377319992,-0.08823682071944673,-0.6442307692307693,0.35222423780322104,0.08770580193070293,0.9724624959635443,-0.25961711337349336,-0.20305012019432053,0.21824492785150904,0.16528577281298806,0.5031512916999266,0.6161239756052752,0.5726562866781999,0.6119193298729738,0.43684243653168175,0.7274914312438712,0.5920141630322447,0.28963673797633344,0.628312048128502
