,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.012187119455995345,0.11773703366114542,0.20477214553450385,0.10785484629381828,0.15576998991028304,0.3006147415292265,-0.025744254759397747,0.10236151635768974,0.09733588440020381,0.11506378543697837,0.15981187772781133
Which picture best describes the relationship between Pepper and your country? ,-0.012187119455995345,1.0,0.823107700214711,0.7149137848856366,0.5957355503365118,0.4246963979105202,0.33766435903052827,0.565897364967923,0.5213130572897756,0.47373359862422293,0.9225873599896763,0.6371148262281914
Which picture best describes the relationship between Pepper and your national culture? ,0.11773703366114542,0.823107700214711,1.0,0.7276264068829552,0.704550451444186,0.4033889109418609,0.4565160054951594,0.5858869760403249,0.5546524553980408,0.5948421602549345,0.9284753011199183,0.6978668716595204
Which picture best describes the relationship between Pepper and your own preferences? ,0.20477214553450385,0.7149137848856366,0.7276264068829552,1.0,0.6838782713608338,0.3951489050711091,0.42393390273240783,0.6503097296881686,0.5470897320605453,0.6885511902689841,0.8931865113584359,0.7133985990446109
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.10785484629381828,0.5957355503365118,0.704550451444186,0.6838782713608338,1.0,0.647806217057848,0.6350988947353707,0.7591258092969972,0.6329706418212184,0.8057732708638449,0.7239357233502001,0.8553927509695981
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.15576998991028304,0.4246963979105202,0.4033889109418609,0.3951489050711091,0.647806217057848,1.0,0.7698700823130484,0.5366769689284008,0.5757501794641259,0.5396647531347344,0.4456232421591448,0.8080637209295768
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3006147415292265,0.33766435903052827,0.4565160054951594,0.42393390273240783,0.6350988947353707,0.7698700823130484,1.0,0.46713222631806306,0.6149391810325379,0.6211182645298415,0.4446647454228795,0.8246287087910026
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.025744254759397747,0.565897364967923,0.5858869760403249,0.6503097296881686,0.7591258092969972,0.5366769689284008,0.46713222631806306,1.0,0.5508197399918183,0.751819896546809,0.6576973458024769,0.8005239897922731
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.10236151635768974,0.5213130572897756,0.5546524553980408,0.5470897320605453,0.6329706418212184,0.5757501794641259,0.6149391810325379,0.5508197399918183,1.0,0.6883223219635851,0.591818838596799,0.825704684170451
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.09733588440020381,0.47373359862422293,0.5948421602549345,0.6885511902689841,0.8057732708638449,0.5396647531347344,0.6211182645298415,0.751819896546809,0.6883223219635851,1.0,0.6424343016657842,0.8663876756024262
mean_cultural_closeness,0.11506378543697837,0.9225873599896763,0.9284753011199183,0.8931865113584359,0.7239357233502001,0.4456232421591448,0.4446647454228795,0.6576973458024769,0.591818838596799,0.6424343016657842,1.0,0.747313118539435
mean_competence,0.15981187772781133,0.6371148262281914,0.6978668716595204,0.7133985990446109,0.8553927509695981,0.8080637209295768,0.8246287087910026,0.8005239897922731,0.825704684170451,0.8663876756024262,0.747313118539435,1.0
