,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.457357729563425,0.6153607951664195,-0.3450595285516323,-0.06877866374942135,-0.0730446684756337,0.256101275116305,-0.01096322524133792,0.12274756325774575,-0.07229058758963065,-0.06534666277174166,-0.18494445514376293,-0.09764469236341296,0.025640136810615426,-0.29444780078846344,-0.3046586854130418,-0.14981910446110971,-0.22383808092878338,0.25213610972621286,0.09213316671081735,0.222280793499659,-0.19011139137581454,-0.187959782276263,-0.23095566076928994,-0.24026316359265878,-0.2350195776989068,-0.11631646035895912,0.9020204506311442,0.3006589364452696,-0.013234211779061283,0.026069559518823636,-0.2497636231309841,-0.046433740592799845,-0.257998080974995,0.17080716204269902,0.035243968457508185,0.10407369640899838,-0.15212381463453423,0.029453486829836156,-0.10027507019986648,-0.04008342177862709,0.017341658879667973,-0.12326945123108538,0.11521951666323586,-0.028390314509262382
Which picture best describes your relationship with Italian or German language?,0.457357729563425,1.0,0.3523515121335779,-0.33631044581601943,0.1644521837516883,0.1938077688473591,-0.1185187897933824,0.1674278668823614,0.3124287824195087,0.01858594797156934,-0.2683905636310475,0.08333643345311179,-0.0030125401922614474,0.06644829358184473,-0.12987741717402168,-0.25767180688595115,-0.028748006132141516,-0.038672852713210734,0.1187308707911975,0.08915108166738092,0.18718478702627947,-0.1319698936772092,-0.17614301599265628,-0.004453411610614611,-0.12077449062936021,-0.099545414003466,-0.06429579932857596,0.6831658232092828,0.39422780800414275,0.11636627932061525,-0.2705893958689676,0.11428712786437425,-0.11074919766538897,-0.11225121560215837,0.10539506619871063,0.12323290165831984,0.1302193559768601,0.010266667031703822,0.05452204972712012,-0.15777833151306017,-0.10961271312349692,0.03210155704995272,-0.11409350595203241,0.13467070694795769,-0.04237461046846427
Which picture best describes your relationship with Italian or German Culture?,0.6153607951664195,0.3523515121335779,1.0,-0.2360413694044858,-0.03964993139432856,-0.046098517879190636,0.2760799472605217,-0.21222381674397145,0.2731174260104923,0.22226403225490934,0.013878948316934885,-0.05729603242274965,-0.004740277096256316,-0.0049789230864034075,-0.3579162916575386,-0.20910023001037964,-0.23061193522769396,-0.20428990710253817,-0.1320658088955201,-0.08894600837060246,0.16805475175348525,-0.16432446676863657,-0.43399496925736997,-0.39242055136216253,-0.4776149359211916,-0.3268088603258487,-0.11411080324817162,0.8194496540905447,0.3049488778053986,-0.1525867356218326,0.04158326416237455,-0.18732552791745963,0.13568434817774352,-0.33852114743385453,-0.06219026798923029,0.005703200464753079,0.12771295664959578,-0.07269639429087366,-0.15504983207107492,-0.07423657147260766,-0.12382981708151554,-0.00968152045646252,-0.019662572932971717,0.028505172092880064,-0.0769207700946153
I see myself as someone who  [... is reserved ],-0.3450595285516323,-0.33631044581601943,-0.2360413694044858,1.0,0.031382126661536,0.003555051388461511,-0.24928669338616666,-0.11004990060164076,-0.35595494917917236,0.1465979420232781,-0.11628311501344098,0.36419183387642773,0.18534061896456466,-0.07300179935734313,0.010076233321302298,0.0063912078188450945,-0.1240466135302187,-0.17321618076100642,-0.00484395467402347,0.047388573482569495,-0.1769059207868503,0.21580082087334673,-0.12521213650778915,0.15806965571183174,0.16179369718486458,0.1424940497661898,-0.04009924704866092,-0.3753381074379873,-0.871443607861029,-0.056359027906375495,-0.05573629984063074,0.3493109356590376,0.17340458776515805,0.14952260311604545,0.031174156063574734,0.028588470045000113,-0.07175728784546562,-0.17352651821245715,-0.2795301694120507,-0.15739105780277474,-0.16227460403004326,-0.13672974827492895,-0.16455686761201632,-0.005392002319103343,-0.19559145443273282
I see myself as someone who  [... is generally trusting],-0.06877866374942135,0.1644521837516883,-0.03964993139432856,0.031382126661536,1.0,-0.15394492534307366,-0.30142123614155925,0.14477490863676393,0.18010481875979342,-0.12535592767801948,0.16343476894270717,0.09348457946753452,0.05470382573480966,0.08003057987406263,0.21172259295012963,0.25503907346392857,-0.13745236491965437,0.12420728604406073,0.005310341729361524,0.1323919051574062,0.20997888165825207,0.06958194658468358,0.36479400679813023,0.03850865874685182,-0.01326142542654738,0.28214107652219556,-0.1978204249663705,-0.0008148049910157458,0.07304761312861786,0.8385162005756613,0.19225001675058687,0.22235422816283065,-0.06431967704109727,0.022166564186742743,0.2701505757153525,0.39959817646042045,0.4519452838246661,0.3576400121209547,0.06335139860177766,0.010700466945126814,0.3543393627983004,0.08882631214112412,0.38194227616787896,0.42205658534499996,0.2662125956227274
I see myself as someone who  [... tends to be lazy],-0.0730446684756337,0.1938077688473591,-0.046098517879190636,0.003555051388461511,-0.15394492534307366,1.0,0.05975515911730319,-0.18450550729203233,-0.3315447917129979,0.14200655345956353,-0.2971549725336126,0.021511310497803953,0.05975674660195298,-0.0714825420921511,-0.0391051672581322,0.04286103065529628,0.39258727694988504,0.09741139022890477,0.14287281296048263,-0.014238332018252068,0.11645704208407189,-0.26090841101608686,-0.26680085145383103,-0.043623640367744465,0.05633586760717712,-0.02166894716748141,-0.23508138912690188,0.00346137346650851,-0.17645283124351413,-0.19647799569665403,-0.9002664217312288,-0.020990735588818903,0.15301241220413392,-0.24135395968962398,-0.21984657747371478,-0.08654090832853828,0.12712025283994569,-0.025860267304095,-0.14520130384795438,-0.2079642134371274,-0.15610199258077717,-0.10494854926687526,-0.028738523928649083,-0.06378241595475416,-0.15139509127580794
"I see myself as someone who  [... is relaxed, handles stress well]",0.256101275116305,-0.1185187897933824,0.2760799472605217,-0.24928669338616666,-0.30142123614155925,0.05975515911730319,1.0,-0.12684179412452376,0.18409466334041985,0.10982822175849277,0.07732274974662354,-0.5511506709877286,-0.17345270388987089,0.008989394455758908,-0.15001040691020087,-0.19643749776130312,-0.14733003091329044,0.01778818884125419,0.04652555326810977,0.1262704908110737,0.12520113868302715,-0.15931639068405207,-0.13838669185262387,-0.3677510887586157,-0.06826013693496151,-0.13965681376463604,-0.10081816373732871,0.2048824005895343,0.26729112186577536,-0.2923134031975204,-0.010445656490326853,-0.8766515049889865,-0.012522770401498717,-0.26988236533138393,-0.07984632150817769,-0.00274588528473493,-0.24730813645972946,-0.11778010432133543,-0.08390158882451357,-0.04804693365107789,-0.14180945299812264,0.09606337168714806,0.04568769436640005,-0.12481264551039044,-0.04878162060407949
I see myself as someone who  [... has few artistic interests],-0.01096322524133792,0.1674278668823614,-0.21222381674397145,-0.11004990060164076,0.14477490863676393,-0.18450550729203233,-0.12684179412452376,1.0,0.1435423129408037,0.16907477217574068,0.14901331800916112,0.04780838410827139,-0.3836674709508444,-0.09354961244045903,0.07101814636093111,0.058969013670189384,-0.27177375577325785,-2.794709869157333e-17,-0.2420879124967811,0.11165938337815288,0.035794677176069274,-0.022774069123403493,0.19122789584901564,0.06752050479401986,0.08138334568888969,-0.2291839462485177,-0.013602171244697814,-0.037145338175945,0.1506830464489407,0.01857147451205309,0.20904700558433056,0.09845266903290255,-0.8621187130060359,0.011987566898500968,0.27393424681074174,0.0824293471142975,0.11359123382063298,0.093394988086956,0.2118258179294264,0.014071528712858892,0.3579467717606927,0.2141517451180769,0.21252213996459005,0.17412416184398685,0.24657683197917293
"I see myself as someone who  [... is ongoing, sociable]",0.12274756325774575,0.3124287824195087,0.2731174260104923,-0.35595494917917236,0.18010481875979342,-0.3315447917129979,0.18409466334041985,0.1435423129408037,1.0,0.168267728082447,0.0,-0.1784256768544545,3.788160683662163e-17,0.18799658842186978,-0.048190333404514604,-0.27509782995684773,-0.3061998101155819,-0.10941386125544544,-0.16216600817572796,-1.1869636259718454e-17,-0.07633675404193244,-0.024284316138063984,-0.049219424565051025,-7.07328373294695e-17,-0.10847528412541059,-0.0625856661269809,0.32150954600383985,0.2665963878371747,0.7685644315597276,0.046207068373809,0.25355991637210706,-0.20576372293827533,-0.09353236530393359,0.08475362743855681,0.21298959164660033,0.20508971840910137,0.08074930652242775,0.13278455153679694,0.21210016595131417,0.12253815986877292,0.15267350808386485,0.090822245133922,-0.018445439710762953,0.1856710880511663,0.1527051453037009
I see myself as someone who  [... tends to find fault with others],-0.07229058758963065,0.01858594797156934,0.22226403225490934,0.1465979420232781,-0.12535592767801948,0.14200655345956353,0.10982822175849277,0.16907477217574068,0.168267728082447,1.0,-0.059550382966572966,0.1965160359875252,-0.18618099147452866,-0.16392038661790329,-0.07998302309547248,-0.06873376531864409,-0.26640015461680305,-0.2359932619490586,-0.27535372184001344,-0.09629083542170927,-0.0531316412561832,-0.003900527308924875,-0.18973402443361861,-0.03777662803043022,-0.13009332233180473,-0.008935519387635808,-0.14676803372849692,0.054810236417356495,-0.012043531735938697,-0.6456915648703885,-0.13575529882953088,0.05193509127091451,-0.21232638418196073,-0.09971008106635265,0.06613975238537326,0.15153018916725539,0.24858953168121453,0.20439091617377786,0.12181661313943831,0.22868586975197255,0.059262215247281404,0.12253748556331209,0.22713969527795694,0.17644884911377226,0.19750993467913794
I see myself as someone who  [... does a thorough job],-0.06534666277174166,-0.2683905636310475,0.013878948316934885,-0.11628311501344098,0.16343476894270717,-0.2971549725336126,0.07732274974662354,0.14901331800916112,0.0,-0.059550382966572966,1.0,0.0545871520432686,-0.05568658719990465,-0.19789147161464704,-0.014868185427912746,0.06989793034892904,-0.15699017934137405,-0.1344626799248564,-0.08072575796600132,-0.024679463699765643,-0.006927121575419308,0.33363443905438844,0.12416535901679385,0.11890809808103159,0.019687016837318185,0.04240536086110404,-0.05343657764521392,-0.1110900752362779,0.07960885891312022,0.1584963757762792,0.6831934169256979,-0.011736607103560422,-0.1276523675964568,0.19739904030194488,0.009277238871274808,-0.055832138703774264,0.10991303018420105,0.09037076013158046,-0.016097382778323056,-0.0438431265528896,0.10737038441899935,0.3032907554720771,0.1298882467219238,0.024430446557018273,0.1088148113558689
I see myself as someone who  [... get nervous easily],-0.18494445514376293,0.08333643345311179,-0.05729603242274965,0.36419183387642773,0.09348457946753452,0.021511310497803953,-0.5511506709877286,0.04780838410827139,-0.1784256768544545,0.1965160359875252,0.0545871520432686,1.0,0.026543909128816913,-0.30435933008835037,-0.20271362550339267,0.005949638364999076,-0.028972527167276302,-0.09431524828124098,-0.05411142191041107,-0.20112412748033556,-0.14652288297349542,0.22400015448066785,-0.03459579359129642,0.3389867766578632,-0.08680323778255256,-0.1155039918813709,0.04720993319653301,-0.09317491850912694,-0.34298110289897643,-0.035976119782066635,0.008436661949063349,0.8846212837095833,-0.01658743270480606,0.2332803903980181,0.16583045259272086,0.21689830207834337,0.32220967447825727,0.25307548948570574,-0.03085911360484404,0.0408884336697697,0.05778367215856168,0.16656796892265588,0.18031458296999453,0.2655298632741412,0.13723206813028296
I see myself as someone who  [... has active imagination],-0.09764469236341296,-0.0030125401922614474,-0.004740277096256316,0.18534061896456466,0.05470382573480966,0.05975674660195298,-0.17345270388987089,-0.3836674709508444,3.788160683662163e-17,-0.18618099147452866,-0.05568658719990465,0.026543909128816913,1.0,-0.1631451964248299,0.008364004341839421,-0.28647896143928103,0.07971691707689663,-0.20346508149767245,-0.04825000370670621,-0.1560749079347778,-0.17720737748155246,-0.0642761773334126,-0.21356538318033202,0.06706251923967212,-0.08660499613148814,0.08508946737291505,-0.02790089888096736,-0.053674322170361506,-0.12688648033134403,0.14435613280874407,-0.07109038413075225,0.1122400285647508,0.798695685803681,-0.04258062125280729,-0.15710920447399257,-0.06763193426363233,-0.1173756298122175,-0.09650652765442357,-0.1890823928086097,-0.28104079523783154,-0.2136425392067316,-0.11349560612221958,-0.24811043703106367,-0.12755895849653004,-0.25015858355981047
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]",0.025640136810615426,0.06644829358184473,-0.0049789230864034075,-0.07300179935734313,0.08003057987406263,-0.0714825420921511,0.008989394455758908,-0.09354961244045903,0.18799658842186978,-0.16392038661790329,-0.19789147161464704,-0.30435933008835037,-0.1631451964248299,1.0,0.5825609084687191,0.30591657351398494,0.2660178560838167,0.0683866851477196,0.10610940113075346,0.5672660509959982,0.4166153108841577,-0.2775190722346987,0.47891719106538627,-0.3548734127412361,0.23532266840210955,0.0318511008069022,-0.09717103568761785,0.031833293058262845,0.14865231901917697,0.15162364302985618,-0.035556847916823,-0.18052009702243352,-0.02856029803973888,-0.23023079821404324,0.05387377142401231,0.0729062074119373,0.11454448308389137,0.10666027328637738,0.24605509925546368,0.2225889151828092,0.10089222560033884,0.10389435955723665,0.030683711617239217,0.09096592959117704,0.16904323306214633
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]",-0.29444780078846344,-0.12987741717402168,-0.3579162916575386,0.010076233321302298,0.21172259295012963,-0.0391051672581322,-0.15001040691020087,0.07101814636093111,-0.048190333404514604,-0.07998302309547248,-0.014868185427912746,-0.20271362550339267,0.008364004341839421,0.5825609084687191,1.0,0.5298001710102692,0.24336008357379377,0.2339157219138102,0.18613513711157337,0.546603797342947,0.4416661865248867,-0.30260326853811775,0.644006918143116,-0.225650918486407,0.3987443207346277,0.2013119935874225,-0.12973153768255288,-0.33312838021306473,-0.03219213186316647,0.2068838344774367,0.02312806333167843,-0.033052741369832286,-0.04168621245293924,-0.17769062510440728,-0.03396463957875782,-0.010063039033572129,0.15600719795846568,0.061080712727305156,0.24322460903374934,0.04831490273606094,0.20990848794203976,-0.060531837892374055,0.08861982776683167,0.04365320647027628,0.11945614826097478
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]",-0.3046586854130418,-0.25767180688595115,-0.20910023001037964,0.0063912078188450945,0.25503907346392857,0.04286103065529628,-0.19643749776130312,0.058969013670189384,-0.27509782995684773,-0.06873376531864409,0.06989793034892904,0.005949638364999076,-0.28647896143928103,0.30591657351398494,0.5298001710102692,1.0,0.23407092824978115,0.5523717202307761,0.16763115456959068,0.34607710094531535,0.42496516183911387,-0.2040608234224241,0.5376673208513016,-0.30272359041435026,0.3018132540443889,-0.006817308007748473,-0.2575248382079316,-0.31960276793301734,-0.14876699760051926,0.2340450203391708,-0.0009105388891486844,0.11321030732832331,-0.19561456260907778,-0.22051751065720276,0.10241341718675225,0.1340396163665181,0.1715186894510692,0.24330356021541275,0.10531626208639609,0.1250333872877849,0.4347651970177938,-0.02543927532175362,0.38404765974327354,0.15349110847534644,0.24681820942615343
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]",-0.14981910446110971,-0.028748006132141516,-0.23061193522769396,-0.1240466135302187,-0.13745236491965437,0.39258727694988504,-0.14733003091329044,-0.27177375577325785,-0.3061998101155819,-0.26640015461680305,-0.15699017934137405,-0.028972527167276302,0.07971691707689663,0.2660178560838167,0.24336008357379377,0.23407092824978115,1.0,0.16065973288706215,0.44576828090206533,0.21867156295411147,0.1530839545280196,-0.13407068270320785,0.1466566047461874,-0.04419180592817517,0.2740749949882006,0.08909193644877615,-0.08490392674207782,-0.1769677681472788,-0.07579224968182309,0.04051643274589347,-0.3718213902017119,0.06563001342955743,0.22082861547083063,-0.06260890716416147,-0.31230228158426965,-0.22778704273251354,-0.03835250167322798,-0.004851310760249205,-0.2373266749614673,-0.13047131082751962,-0.21506126405353393,-0.10323317852269767,-0.061400498837123854,-0.21405809543102006,-0.19797697141047568
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]",-0.22383808092878338,-0.038672852713210734,-0.20428990710253817,-0.17321618076100642,0.12420728604406073,0.09741139022890477,0.01778818884125419,-2.794709869157333e-17,-0.10941386125544544,-0.2359932619490586,-0.1344626799248564,-0.09431524828124098,-0.20346508149767245,0.0683866851477196,0.2339157219138102,0.5523717202307761,0.16065973288706215,1.0,0.1815798543595346,0.06981111106074568,0.21412257475933516,-0.20869847711582445,0.274160080240244,-0.20519923418601696,0.13206625833470775,0.014940522305884642,0.14542319206685786,-0.2083221241207216,0.061157528785851886,0.22520817694142575,-0.13580474585255972,-0.06432400980849255,-0.11164076989372612,-0.07441518510807422,0.08982637980738765,0.12811004746197424,-0.004819141865628243,0.11226545385369634,-0.15726853277947372,-0.22914419689157728,0.3728162560526014,-0.057816509253765774,0.3185065683956913,0.07910534244643519,0.06342134258912147
