,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8452260879915527,0.8208018204010384,0.6993537497898746,0.5408259310377119,0.5981854101315911,0.5380828695606967,0.5348799166848748,0.5149692905074494,0.96390351053663,0.6742605171446562
Which picture best describes the relationship between Pepper and your national culture? ,0.8452260879915527,1.0,0.6065950541190536,0.8458519888517935,0.7702103491257777,0.6996610352564328,0.677181255698846,0.5434976551999863,0.5764613536983137,0.8918781454382374,0.7835469376273736
Which picture best describes the relationship between Pepper and your own preferences? ,0.8208018204010384,0.6065950541190536,1.0,0.6478505808252549,0.4907981005708994,0.5641453993970139,0.6842714039128055,0.6581723502208456,0.5919038904393528,0.8900834508234045,0.7120087272157256
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.6993537497898746,0.8458519888517935,0.6478505808252549,1.0,0.8926277486167564,0.8818531990119595,0.88597228261528,0.6892024376045113,0.8663418757130671,0.8048733554384672,0.9668709631883972
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.5408259310377119,0.7702103491257777,0.4907981005708994,0.8926277486167564,1.0,0.9079005553788384,0.7791813546141267,0.5645122140962757,0.6979521043827113,0.6641049158677157,0.9043653304906154
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.5981854101315911,0.6996610352564328,0.5641453993970139,0.8818531990119595,0.9079005553788384,1.0,0.7690091339308006,0.6669602296530378,0.8097652810408962,0.6831214985513743,0.9427937066640786
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.5380828695606967,0.677181255698846,0.6842714039128055,0.88597228261528,0.7791813546141267,0.7690091339308006,1.0,0.6182333295518342,0.8284874394394092,0.7056197567034269,0.9032326579289643
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.5348799166848748,0.5434976551999863,0.6581723502208456,0.6892024376045113,0.5645122140962757,0.6669602296530378,0.6182333295518342,1.0,0.545738562420136,0.6412183641058027,0.7648156912065256
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5149692905074494,0.5764613536983137,0.5919038904393528,0.8663418757130671,0.6979521043827113,0.8097652810408962,0.8284874394394092,0.545738562420136,1.0,0.6212881620683719,0.8730041393991584
mean_cultural_closeness,0.96390351053663,0.8918781454382374,0.8900834508234045,0.8048733554384672,0.6641049158677157,0.6831214985513743,0.7056197567034269,0.6412183641058027,0.6212881620683719,1.0,0.7990911956774712
mean_competence,0.6742605171446562,0.7835469376273736,0.7120087272157256,0.9668709631883972,0.9043653304906154,0.9427937066640786,0.9032326579289643,0.7648156912065256,0.8730041393991584,0.7990911956774712,1.0
