question_index,Italiano_col,Deutsch_col,q_label
1,Quale immagine descrive meglio il tuo rapporto con [paese]?,Welches Bild beschreibt Ihre Beziehung zu [Land] am besten?,q1
2,Quale immagine descrive meglio il tuo rapporto con [lingua]?,Welches Bild beschreibt Ihre Beziehung zu [Sprache] am besten?,q2
3,Quale immagine descrive meglio il tuo rapporto con [cultura]?,Welches Bild beschreibt Ihre Beziehung zu [Kultur] am besten?,q3
4,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).",q4
5,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste)",q5
6,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__2","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).__2",q6
7,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__3","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). .1",q7
8,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__4","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.",q8
9,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore)__5","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt",q9
10,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.",q10
11,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt",q11
12,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__2","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__2",q12
13,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__3","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__3",q13
14,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__4","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__4",q14
15,"Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva__5","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt__5",q15
