,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8966537905883989,0.9133784147590197,0.7041890918002461,0.7331343214380818,0.6275766558886599,0.7681343521538616,0.30264433766401694,0.46063740988314655,0.9827474394652823,0.7597860092327915
Which picture best describes the relationship between Pepper and your national culture? ,0.8966537905883989,1.0,0.7940177890998291,0.7860457739933728,0.6166543558171861,0.6797199649629476,0.6726453933244341,0.32779007418930556,0.5600013328973208,0.9469250704722285,0.7443145484032957
Which picture best describes the relationship between Pepper and your own preferences? ,0.9133784147590197,0.7940177890998291,1.0,0.650574687847919,0.6832672262548447,0.5639695683357484,0.7698027330948809,0.2003991509228657,0.43073496744568884,0.9337044447569403,0.7033081776365817
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.7041890918002461,0.7860457739933728,0.650574687847919,1.0,0.7503834984835619,0.9228507697927582,0.8184432878719076,0.6504403872056113,0.8673777519204676,0.7513081467015951,0.9371610816557205
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.7331343214380818,0.6166543558171861,0.6832672262548447,0.7503834984835619,1.0,0.8475655413823614,0.8494666013866381,0.380864280560808,0.7625582808844322,0.7091425696754001,0.9068232021080143
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.6275766558886599,0.6797199649629476,0.5639695683357484,0.9228507697927582,0.8475655413823614,1.0,0.7265688132075758,0.4581306810618914,0.8358542283826296,0.6575377163592411,0.9043205413083383
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.7681343521538616,0.6726453933244341,0.7698027330948809,0.8184432878719076,0.8494666013866381,0.7265688132075758,1.0,0.6618337905219871,0.784905019038264,0.7675726596825263,0.9369610107201555
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.30264433766401694,0.32779007418930556,0.2003991509228657,0.6504403872056113,0.380864280560808,0.4581306810618914,0.6618337905219871,1.0,0.6606110394188994,0.29751921167361983,0.6607012144100491
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.46063740988314655,0.5600013328973208,0.43073496744568884,0.8673777519204676,0.7625582808844322,0.8358542283826296,0.784905019038264,0.6606110394188994,1.0,0.5098365452196539,0.8962993249582052
mean_cultural_closeness,0.9827474394652823,0.9469250704722285,0.9337044447569403,0.7513081467015951,0.7091425696754001,0.6575377163592411,0.7675726596825263,0.29751921167361983,0.5098365452196539,1.0,0.7725736234183741
mean_competence,0.7597860092327915,0.7443145484032957,0.7033081776365817,0.9371610816557205,0.9068232021080143,0.9043205413083383,0.9369610107201555,0.6607012144100491,0.8962993249582052,0.7725736234183741,1.0
