,,0
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9335147984615256
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9335147984615256
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.9145613324722224
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9145613324722224
mean_cultural_closeness_subj,Which picture best describes your relationship with Italy or Germany?,0.9020204506311442
Which picture best describes your relationship with Italy or Germany?,mean_cultural_closeness_subj,0.9020204506311442
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.8949268534507493
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.8949268534507493
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",0.8921305703079739
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",mean_trust_subj,0.8921305703079739
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.890569085512826
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.890569085512826
I see myself as someone who  [... get nervous easily],neuroticism,0.8846212837095833
neuroticism,I see myself as someone who  [... get nervous easily],0.8846212837095833
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",0.8387911143612199
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",mean_trust_subj,0.8387911143612199
agreebleness,I see myself as someone who  [... is generally trusting],0.8385162005756613
I see myself as someone who  [... is generally trusting],agreebleness,0.8385162005756613
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.8355294987423635
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.8355294987423635
mean_cultural_closeness_subj,Which picture best describes your relationship with Italian or German Culture?,0.8194496540905447
Which picture best describes your relationship with Italian or German Culture?,mean_cultural_closeness_subj,0.8194496540905447
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.8163434455486345
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,mean_competence,0.8163434455486345
openness,I see myself as someone who  [... has few artistic interests],-0.8621187130060359
I see myself as someone who  [... has few artistic interests],openness,-0.8621187130060359
extraversion,I see myself as someone who  [... is reserved ],-0.871443607861029
I see myself as someone who  [... is reserved ],extraversion,-0.871443607861029
"I see myself as someone who  [... is relaxed, handles stress well]",neuroticism,-0.8766515049889865
neuroticism,"I see myself as someone who  [... is relaxed, handles stress well]",-0.8766515049889865
coscientiousness,I see myself as someone who  [... tends to be lazy],-0.9002664217312288
I see myself as someone who  [... tends to be lazy],coscientiousness,-0.9002664217312288
