,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.1491396897503261,0.1267731382092775,0.34274732406736574,0.46440178087999096,0.6614378277661477,0.5499999999999997,0.3162277660168379,0.6149186938124424,0.6181339274290045,0.21811193349741467,0.5959870256636113
Which picture best describes the relationship between Pepper and your country? ,0.1491396897503261,1.0,0.9625334218796217,0.6632566151358134,0.6764165534414996,0.31771902390518025,0.23048861143232216,0.51985508621323,0.21221867190679136,0.30904033110760387,0.9589761250689784,0.5334110676547416
Which picture best describes the relationship between Pepper and your national culture? ,0.1267731382092775,0.9625334218796217,1.0,0.6715178327658972,0.7737682494280426,0.3354101966249684,0.2958039891549808,0.6514492771615343,0.3307189138830738,0.3918138890690034,0.961192191998245,0.6149478106135974
Which picture best describes the relationship between Pepper and your own preferences? ,0.34274732406736574,0.6632566151358134,0.6715178327658972,1.0,0.8475417110698928,0.3062003731479604,0.3894855955310973,0.474189715116566,0.43545813393226107,0.493546234727457,0.8349514563106797,0.607236401193324
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.46440178087999096,0.6764165534414996,0.7737682494280426,0.8475417110698928,1.0,0.5667026658388091,0.5838193816777028,0.7605081059563745,0.6527299120066193,0.6561428496465663,0.8268699620194075,0.8247530961774496
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.6614378277661477,0.31771902390518025,0.3354101966249684,0.3062003731479604,0.5667026658388091,1.0,0.7181324987175317,0.6797862715589363,0.6761234037828132,0.8031122829462826,0.3474196541486473,0.8430047390547425
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.5499999999999997,0.23048861143232216,0.2958039891549808,0.3894855955310973,0.5838193816777028,0.7181324987175317,1.0,0.5533985905294662,0.9503288904374105,0.6760839831254734,0.3271679002461219,0.8519323741081072
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.3162277660168379,0.51985508621323,0.6514492771615343,0.474189715116566,0.7605081059563745,0.6797862715589363,0.5533985905294662,1.0,0.6187184335382291,0.8551861104941364,0.5973558748871027,0.8614012027421146
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.6149186938124424,0.21221867190679136,0.3307189138830738,0.43545813393226107,0.6527299120066193,0.6761234037828132,0.9503288904374105,0.6187184335382291,1.0,0.7558848723836901,0.3483665071458089,0.874818544974337
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.6181339274290045,0.30904033110760387,0.3918138890690034,0.493546234727457,0.6561428496465663,0.8031122829462826,0.6760839831254734,0.8551861104941364,0.7558848723836901,1.0,0.4273388129957252,0.8998108633217179
mean_cultural_closeness,0.21811193349741467,0.9589761250689784,0.961192191998245,0.8349514563106797,0.8268699620194075,0.3474196541486473,0.3271679002461219,0.5973558748871027,0.3483665071458089,0.4273388129957252,1.0,0.6334398481491337
mean_competence,0.5959870256636113,0.5334110676547416,0.6149478106135974,0.607236401193324,0.8247530961774496,0.8430047390547425,0.8519323741081072,0.8614012027421146,0.874818544974337,0.8998108633217179,0.6334398481491337,1.0
