,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italy or Germany?,,1.0,0.4993764287742153,0.5353972789484633,-0.16755378407254534,0.014544781414122195,-0.05952084885596502,0.10713030877349804,-0.08704339471576891,0.005551808492558259,-0.19199187458034564,-0.06618494646872376,-0.08089015981310736,0.16019414964864387,0.02417547385148615,-0.1371386397756638,-0.19778476065192818,-0.001971137045726476,-0.1563554179035428,0.3071365064319257,-0.007760780832840073,0.13277677718139824,-0.19104945247089702,-0.10559464513536475,-0.1700174492894193,-0.1482253709546984,-0.13815602110898886,-0.1371098708985196,0.42104554767696434,-0.05888602710205541,-0.11948742750385494,-0.014407750131252514,-0.10439717865715484,0.1502154310230214,-0.0013790821018499668,0.36257225249110053
Which picture best describes your relationship with Italian or German language?,,0.4993764287742153,1.0,0.3783911498784933,-0.11790572882482317,0.24072721028193583,0.2258348486700942,-0.18092736784313257,0.07040694818381306,0.2543291455233495,-0.11348613403128185,-0.2531412605946283,0.16734921925470106,0.2835046179273858,0.0785954920997057,-0.009371382900392267,-0.13238372324984501,0.07573386646976296,0.06180159309641471,0.1206087900416987,-0.027107286332741797,0.12074487859195551,-0.17951152684230998,-0.10785264534584588,-0.04658805095568759,-0.0539813070184953,-0.010337194278567859,-0.07549861949395044,0.6291376339971267,0.2951019115636901,-0.23889171441659923,0.29807404772752444,0.19386464950097576,0.12539347376834845,-0.23925343429236406,0.6278008686696093
Which picture best describes your relationship with Italian or German Culture?,,0.5353972789484633,0.3783911498784933,1.0,0.04896531831411293,0.044630406199331674,-0.027148992803390382,-0.023480533575620348,-0.29239449717220556,0.13202610775606877,0.09501995058285785,0.08362420100070893,0.13155131804426684,0.3590985501385497,-0.1038548234081901,-0.15810686658718567,-0.14101478222398905,0.01209679877896364,-0.24353262420606892,-0.0856766339287157,-0.3160743331248646,-0.04701037012245826,-0.22026053592760897,-0.43122626237878897,-0.28848727750438935,-0.43542674477065185,-0.2951406680504779,-0.19036345372499044,0.7156269845656322,0.15674921648320342,0.021567357161931457,-0.061509465204390254,0.08788113414120939,0.3975990488572758,-0.14895545974631602,0.5123312013919098
I see myself as someone who  [... is reserved ],,-0.16755378407254534,-0.11790572882482317,0.04896531831411293,1.0,0.08413566877247934,-0.009305513521678974,-0.18689529160519158,-0.05830124814591463,-0.20874726104649466,0.10747695712170932,-0.127617701847116,0.3275417656305449,0.23860063118058653,-0.02796906467650898,-0.08712449778676566,-0.060570250039555865,-0.18623641277839514,-0.1512003089387849,-0.09525218267182917,0.02856825581901642,-0.13785690003361403,0.07878673729713792,-0.19761896274869398,-1.0123431926168775e-16,0.07720877178547778,0.030348479192916396,-0.045235269784058244,0.5523057779524054,0.10304112361561574,1.0111241659959248e-16,0.05435412933185494,0.2885871775133699,0.1790935598782132,0.20262675576502875,0.5597506404588388
I see myself as someone who  [... is generally trusting],,0.014544781414122195,0.24072721028193583,0.044630406199331674,0.08413566877247934,1.0,-0.125529071747989,-0.26897274282262446,0.05990307408241809,0.1697765406548449,-0.1854747099745773,0.12316200793895427,0.12624163606266334,0.13149787600354734,0.07138027749879775,0.21232085601201772,0.252729728315911,-0.15381324881244557,0.1754002816843158,-0.03170798496926435,0.055054098934627996,0.2082239664128245,0.020961260958077616,0.3274976465284941,-0.03799371256081367,-0.045927942011525794,0.22498199414967615,-0.20340419376225694,0.19476190419733008,0.365740247726732,-0.8301116670593184,-0.15721373824112433,0.2182245176604161,0.041111883601686994,-0.1564759506913054,0.2718879986540747
I see myself as someone who  [... tends to be lazy],,-0.05952084885596502,0.2258348486700942,-0.027148992803390382,-0.009305513521678974,-0.125529071747989,1.0,0.07139695775119968,-0.03740121046869985,-0.2751875652065611,0.22680686832425728,-0.2134094061288069,-0.049057389676119105,0.07943171286638444,0.028195538533063363,0.01201883811279786,0.08277117845154944,0.4390920623031749,0.030484924585091284,0.20791168288132475,0.11437548083382325,0.10720787281170453,-0.23827409100543323,-0.21008564109372807,-0.02888980620859394,0.1319080698052005,0.08362420100070898,-0.21098318637850358,0.09675158037303455,0.3691442617931159,0.21969161554641187,0.8818221448778346,-0.06680475979389734,0.07088013254263094,0.2782541331457722,0.08626144747392414
"I see myself as someone who  [... is relaxed, handles stress well]",,0.10713030877349804,-0.18092736784313257,-0.023480533575620348,-0.18689529160519158,-0.26897274282262446,0.07139695775119968,1.0,-0.25415844626430417,-0.03080043175663407,-0.013743693902489904,0.18719089525627663,-0.6103190548821841,-0.05321725970396146,-0.05364846669657497,0.008795611888818965,-0.10327286250431449,-0.051032392416360824,-0.05800454775612971,0.08738143171431353,0.08611082343365305,-0.01259182225227122,0.02042211733389181,-0.017230001113824046,-0.1998889813958309,0.03897287262989585,0.05821250707179789,-0.12147435209667279,-0.21419512974001814,0.0016334452652743035,0.18717026475031714,-0.03475286870223762,-0.891829624121489,0.12723177201013366,0.021422516252302664,-0.24300880640948783
I see myself as someone who  [... has few artistic interests],,-0.08704339471576891,0.07040694818381306,-0.29239449717220556,-0.05830124814591463,0.05990307408241809,-0.03740121046869985,-0.25415844626430417,1.0,0.012907815312479143,0.2608318577665042,0.12155095631698476,0.19881430945284254,-0.3358079836761453,-0.13168583721226013,0.11953354875498841,0.08269474340643723,-0.22652343825492327,0.029990994250705668,-0.16978236761047044,0.0642071691432985,0.03392337058029927,-0.0843621726909373,0.14441464585193367,0.09274456226150835,0.09006325133279293,-0.18006306796963792,-0.02112482062708918,-0.14244512413075605,0.36828395672843073,0.10458551267394879,-0.08780131267917567,0.25161955896043575,-0.8264626136873585,-0.03536125322961836,-0.10183063988241745
"I see myself as someone who  [... is ongoing, sociable]",,0.005551808492558259,0.2543291455233495,0.13202610775606877,-0.20874726104649466,0.1697765406548449,-0.2751875652065611,-0.03080043175663407,0.012907815312479143,1.0,0.09223491730182552,-0.03917624370828486,0.08139696006393964,0.1602325559752602,0.04865388037711287,0.08774429961115181,-0.24351164349120247,-0.24198538832157962,-0.010520883453451445,-0.15993356368118614,-0.25416061494334563,-0.16444143027644154,-0.07778757386687224,-0.06250366243127123,0.07930984136017263,-0.11168881153329889,-0.06687115347806039,0.32210230796969724,0.07245145692288302,0.31256994088234424,-0.07072708870708387,-0.19540808020130054,0.06321668573727955,0.08769389034780535,-0.9852829396091736,0.04508919556819027
I see myself as someone who  [... tends to find fault with others],,-0.19199187458034564,-0.11348613403128185,0.09501995058285785,0.10747695712170932,-0.1854747099745773,0.22680686832425728,-0.013743693902489904,0.2608318577665042,0.09223491730182552,1.0,-0.02447357973558463,0.2513396174071318,-0.273072898379933,-0.0738147358065216,0.037729301192826865,-0.013582396816216888,-0.18940426547212327,-0.20272149660550123,-0.10222577919794361,-0.0006335806297479698,0.02751624596285397,-0.02479298743720061,-0.17291944179128343,0.028311555934587573,-0.0637163107666655,0.010993346663714173,-0.16058177380871094,0.052007703941065984,0.4530597959253639,0.7018870577005365,0.1884526706825481,0.15099788487743326,-0.3264312080525608,-0.10427768257486496,-0.006010279978492656
I see myself as someone who  [... does a thorough job],,-0.06618494646872376,-0.2531412605946283,0.08362420100070893,-0.127617701847116,0.12316200793895427,-0.2134094061288069,0.18719089525627663,0.12155095631698476,-0.03917624370828486,-0.02447357973558463,1.0,-0.05936320612347178,-0.09476468683854095,-0.20471259193580604,-0.0022374948354133965,-0.003283917301784092,-0.1836027015591307,-0.24279733678817597,-0.13943491802691776,-0.03783682112985854,-0.04804805671402236,0.30235679673804405,0.03506479275681152,0.08898624633166127,-0.0456053962738798,0.024680902548536686,-0.12507779206597544,-0.16346577223577868,0.27217101336707233,-0.10316323219278944,-0.6489073650754701,-0.13560071180129687,-0.13270137303963325,0.0038925879081184818,-0.17701283649164504
I see myself as someone who  [... get nervous easily],,-0.08089015981310736,0.16734921925470106,0.13155131804426684,0.3275417656305449,0.12624163606266334,-0.049057389676119105,-0.6103190548821841,0.19881430945284254,0.08139696006393964,0.2513396174071318,-0.05936320612347178,1.0,-0.0056255356380224405,-0.14744906893268547,-0.2742833505921622,-0.02592753333720651,-0.05317510447922509,-0.01727994780081248,-0.02771097352314694,-0.11005963557764736,-0.023959208234192987,0.06864979734491813,-0.0728545482034799,0.23507164529974947,-0.10793817776447712,-0.23178475333879256,0.0727651837684361,0.34330655950694083,0.3666639596985964,0.05111268258054753,-0.009551583574357628,0.9026492290967099,-0.1277704880198034,-0.10611032803927448,0.33536986680415903
