,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.4292688601614699,0.38408338511927514,0.38954371902146895,-0.1620937172606969,-0.21187542825582506,0.05229937476824265,0.06891687876063168,0.10054690334130528,0.22792115291927592,-0.02507624019851687,-0.12346876584633111,-0.2501933845951472,-0.0762555632775947,-0.07898613509542261,-0.09724439266896269,-0.09146015218304361,0.2542294817281807,0.07247806809056456,0.13948537670979705,0.07275416700158113,0.04745737952335434,0.2690196905866148,0.07364920335109121,0.11263206882465139,0.23860495696236697,0.2566044497570974,-0.05734402288725955,0.48028118290163774,0.22720295629509024,-0.12921914767618436,-0.09745484594132293,-0.18474632790331413,-0.11767219363620429,0.18260843004761337,0.06346395117273045,0.13853482063424208,0.09691656824784543,0.07491501419436596,0.10970224529107105,0.23517646623122135,0.045362995421113876,0.06919779389107956,0.13890429085928596,0.1119785021911709,0.14846503005536765
Which picture best describes your relationship with Italy or Germany?,0.4292688601614699,1.0,0.527074529030415,0.6387154505431737,-0.25856935011849785,-0.08868904787256651,0.040842139796850724,0.040985986550672114,0.18435852738823932,0.316495807978694,-0.055616320076954925,-0.004863414836403514,-0.1396789863823693,-0.1473888694340882,-0.2024195222335502,-0.26878668111448384,-0.2541410662068972,0.06084395035377462,-0.08897105545927286,0.15553614325635304,0.04399852848007278,0.0713019132498421,-0.0180685771877515,-0.0772162078076929,-0.05291339872134781,-0.001783531704797966,-0.007046295931227096,-0.08331257896734418,0.8824822674855539,0.3354016389232688,-0.02696446483596849,-0.032647737758636546,-0.10453952374291413,-0.21979984751408183,-0.06800739918615832,0.08611142016945154,0.0704530206094465,-0.029468979220947433,-0.09684998642812472,-0.1258687106449268,-0.08503369444137186,-0.03786401371264473,-0.017631593556112102,-0.075095453009287,0.04606601383160126,-0.06681291374978071
Which picture best describes your relationship with Italian or German language?,0.38408338511927514,0.527074529030415,1.0,0.4784616535827029,-0.12218041080081549,0.07271911122753207,0.13909013376979887,-0.3183327012335865,0.2625116602757996,0.17262449160897514,0.0008810398289946953,-0.08888039762623859,0.1644238270472702,-0.010402819743836247,-0.10754269927747906,-0.08297711309843629,-0.1356884848964027,0.03133190812652451,-0.03102680982982506,0.19038433293206075,0.047180765215568424,0.17161502072099177,0.11351874384689437,0.16699848304510387,0.08818923619156348,0.051675874102502184,0.1431088173548981,-0.09348641918742889,0.7821576758860106,0.17173146418624582,0.048994633717315716,-0.14550937190979799,0.2735054526975879,-0.20649389353913558,0.07849881299711832,0.09564679718272585,0.10019453321572723,0.020005021356240132,-0.09062373200508685,-0.05560224602249339,-0.12034779528795654,-0.07995582158678823,0.02582644687774768,0.022941613463278544,0.07966963040398013,-0.03388819452456344
Which picture best describes your relationship with Italian or German Culture?,0.38954371902146895,0.6387154505431737,0.4784616535827029,1.0,-0.24174225266508273,0.06385431707893716,-0.009782015932207677,0.05511732631792124,0.14769480896833795,0.3806819775578709,-0.05803627026456746,0.012051881340879613,-0.05007665985500476,-0.0001398774113302678,-0.22964587649245094,-0.2661450126781586,-0.24556840415083017,-0.10776150760437986,-0.11854586608530969,0.03428825169529047,-0.027879445584783533,0.07443571394828948,-0.008102679258497466,-0.11409720333885741,-0.08577162129020949,-0.1471645983530427,0.011562154566317042,-0.08391672766943228,0.8410757907417125,0.3622485113188507,0.07837784935117248,0.0129869459337927,-0.05999578223410799,-0.11312817496746394,-0.08741622452980502,0.025903346269752756,0.09397641126193013,-0.05810748257973606,-0.06913104753465993,-0.14132483634505108,-0.0641320000094658,-0.0035503117692281005,-0.02486960293169972,0.049534799367024464,0.022066350268394583,-0.03691594529716636
I see myself as someone who  [... is reserved ],-0.1620937172606969,-0.25856935011849785,-0.12218041080081549,-0.24174225266508273,1.0,0.06139715169426129,-0.03442047936643743,-0.12145869075069955,-0.1617180768851359,-0.46454397255594093,-0.057407628778672476,-0.0551516734538425,0.31473657774609975,0.14540810990711328,0.06118345138732451,-0.023677481522666924,0.04227903465705748,-0.007020117551448556,-0.0146108709281047,0.1136407080121339,0.10121289178274122,-0.05382461114112744,0.025198105874339412,0.01368188306726598,-0.011749433869509593,0.004938772904106283,-0.010220508224650076,-0.0915978654331469,-0.25225683602079446,-0.8611236391278536,0.07632649965207894,-0.000608786288671016,0.25177006378168076,0.2014122289593956,-0.02035313479561289,-0.0037524462836866627,0.010233213936492814,-0.07680232663372276,-0.20912683102525398,-0.20499355818923187,-0.17574679320564432,-0.13280891034985953,-0.15124091831116512,-0.1582436160287561,-0.02711447422824308,-0.1803524210892515
I see myself as someone who  [... is generally trusting],-0.21187542825582506,-0.08868904787256651,0.07271911122753207,0.06385431707893716,0.06139715169426129,1.0,-0.15411297811938984,-0.12166344857786669,0.19910168873496115,0.10847431684241214,-0.2134202882813704,0.08242395365732383,0.17577421655069014,-0.030753456900909963,0.02703018381736945,0.16737892536111995,0.11925451478805275,-0.20433973050690102,0.1303055673012871,-0.02364379394147283,0.14606963896564545,0.16715608806767557,-0.07696468757876805,0.15553522718858057,-0.060191035456898,-0.21852529526683626,0.12757591095836598,-0.06276523394342375,0.011185080945968037,0.02577906331821358,0.8093416191314976,0.15360443273779514,0.17059427677934452,-0.16882048165149757,-0.06746671944451324,0.04384448751272888,0.05668541529077729,0.03539857688059654,0.01640339189961446,-0.1263536368840437,-0.14971112294686395,-0.014727769438801903,-0.0656246323654718,0.07868447801681994,0.050637992751188354,-0.053730709271104994
I see myself as someone who  [... tends to be lazy],0.05229937476824265,0.040842139796850724,0.13909013376979887,-0.009782015932207677,-0.03442047936643743,-0.15411297811938984,1.0,-0.07879082028963767,0.02166615784335774,-0.12798991116245115,0.11149732146688557,-0.3160739059061687,0.17860839853962965,-0.051885672331153085,-0.11229254509130206,-0.20277087136833913,-0.09706272383242702,0.12415456807186398,-0.024697799324774953,0.1263450752384035,0.07270745359495373,0.15864590835436768,-0.16697080233582,-0.2657228410214012,0.0745640317086085,0.008264541915531207,0.04280322267060987,-0.12757389644623537,0.06516642366598933,-0.05301869117719071,-0.17198742488596286,-0.8928682203936601,0.1483708203509372,-0.044283047772469504,-0.11277712044007122,-0.23613016436019835,-0.13900868931969432,-0.057645449915845554,0.03638790460949877,-0.038112197889819316,-0.08882584906649436,-0.07224598557609441,-0.06471480360882,-0.012376776975473503,-0.15941334707194113,-0.08401621601814338
"I see myself as someone who  [... is relaxed, handles stress well]",0.06891687876063168,0.040985986550672114,-0.3183327012335865,0.05511732631792124,-0.12145869075069955,-0.12166344857786669,-0.07879082028963767,1.0,-0.2044954159865365,0.12713350455764916,0.052277330217393336,0.0036808950080047297,-0.5332469705551245,-0.056114648441868684,0.03587300973899058,-0.05613380249340267,-0.12720668079933797,0.07946820784415196,0.16881000646521932,-0.08485638594007797,0.07694227978409059,-0.040630729480891324,-0.008063952950930754,-0.03743901950874899,-0.15901021938497595,-0.01181138978153832,-0.1279924154889869,0.0493360547190963,-0.0765600791269318,0.14518601061928887,-0.11428571428571432,0.06027637811151026,-0.8689685742181497,0.12657551823221708,-0.05554219938901646,-0.15957784438047137,-0.03505219949771085,-0.1469421224443315,-0.1363668335029283,-0.07469332289974921,-0.07729966531854407,-0.17251833367128347,-0.19286314708198368,-0.10177662045302942,-0.1273339461785499,-0.14964460796435503
I see myself as someone who  [... has few artistic interests],0.10054690334130528,0.18435852738823932,0.2625116602757996,0.14769480896833795,-0.1617180768851359,0.19910168873496115,0.02166615784335774,-0.2044954159865365,1.0,0.2459290977059444,0.03759086191838132,0.1090032687973876,0.07925505737943693,-0.15796299704486144,0.02149037223965109,0.05044194728519418,0.06078552220781827,-0.14769605111644107,0.015132781163125702,0.06844057119629257,0.20807558210621166,0.16693862229731407,-0.04571749018326108,0.10288005051184294,0.04139066167682785,0.23606873293943245,0.11934622723391787,-0.032622495086989306,0.2343107613050559,0.2373180527076998,0.1129961193456603,0.035643975907846244,0.1602727331076635,-0.8497803219437563,0.007972950292560357,0.06506567326605073,-0.07712651600195256,-0.04340803456086999,-0.009586783424926167,0.011958690839262499,0.0272611653497568,0.10062082258059929,0.11736967771084655,0.09192640612076973,-0.022006406379688696,0.0694414944967743
"I see myself as someone who  [... is ongoing, sociable]",0.22792115291927592,0.316495807978694,0.17262449160897514,0.3806819775578709,-0.46454397255594093,0.10847431684241214,-0.12798991116245115,0.12713350455764916,0.2459290977059444,1.0,0.16574676173087285,0.06197375413930692,-0.12433181149295632,-0.06083089564558365,-0.009082398330025589,-0.06573080163938468,-0.04471739585677935,-0.04172757085685126,-0.039994058035047915,-0.03627060450941044,0.014235673959094834,0.0950849387854751,-0.11230706538315942,-0.0043926534346007216,-0.11887143018969007,0.005681818181818184,0.009620343780861126,0.022192975854734114,0.3495034429768835,0.850239540113691,-0.025770304977901833,0.1244923735846395,-0.14354862290906564,-0.22072120354626107,-0.09359199566553733,0.09477792784275718,0.0763334150619573,0.02761166996503575,0.15009866980284556,0.15233590873860908,0.1497482228438,0.14957356059511398,0.12299112996682786,0.0528536871176363,0.0733765242995578,0.1455075923471799
