,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
0,0,5,7,4,2,5,4,1,5,3,4,4,5,3,0.7,0.7,0.5,0.4,0.5,0.6,0.7,0.5,0.8,0.5,0.6,0.8,0.8,0.3,5.333333333333333,3.6,1,1,0,4,-2,0.36856060606060603,2,1,1,3,2,2,1,7,2,1.3333333333333333,2.555555555555556
4,0,4,5,5,3,4,2,1,4,4,1,5,5,4,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.3,0.6,0.3,0.8,0.8,0.3,4.666666666666667,3.3,1,3,3,4,0,0.24545454545454545,3,2,4,7,7,8,8,9,9,3.0,7.333333333333333
7,1,7,7,7,3,2,4,4,1,5,2,3,3,5,0.6,0.4,0.3,0.8,0.8,0.8,0.3,0.3,0.8,0.3,0.6,0.4,0.5,0.8,7.0,3.2,2,0,-1,-1,4,0.425189393939394,1,1,2,3,3,3,2,2,2,1.3333333333333333,2.2222222222222223
11,0,5,7,5,4,5,3,2,5,5,2,4,5,2,0.8,0.6,1.0,0.5,0.5,1.0,1.0,1.0,0.3,0.7,0.5,0.7,0.9,0.2,5.666666666666667,3.7,1,3,1,3,-3,0.2712121212121212,5,3,4,7,9,9,6,9,8,4.0,7.5
14,1,6,7,6,1,4,5,5,1,4,2,4,1,5,0.9,0.9,0.7,1.0,0.9,1.0,0.9,0.9,0.1,0.9,0.1,1.0,1.0,0.0,6.333333333333333,3.2,3,2,-1,-4,4,0.1606060606060606,2,5,5,9,9,9,6,9,9,4.0,7.666666666666667
17,0,6,7,5,3,2,4,3,4,4,4,3,3,4,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.5,0.8,0.5,0.3,6.0,3.4,1,-2,-1,0,0,0.321969696969697,1,1,2,5,6,5,5,5,5,1.3333333333333333,4.555555555555555
20,0,5,7,6,4,4,3,2,4,4,2,3,4,4,0.7,0.4,0.4,0.1,0.2,0.9,0.6,0.5,0.5,0.6,0.5,0.7,0.4,0.3,6.0,3.4,0,2,0,2,0,0.290530303030303,5,5,5,7,7,7,8,9,7,5.0,7.166666666666667
23,1,7,7,6,4,3,3,4,5,4,3,4,4,5,0.3,0.3,0.3,0.5,0.3,0.7,0.5,0.4,0.6,0.5,0.5,0.7,0.5,0.1,6.666666666666667,3.9,0,0,1,0,0,0.26875000000000004,4,4,2,6,7,7,5,7,6,3.3333333333333335,5.888888888888889
26,1,2,5,2,5,3,4,1,2,1,2,4,5,5,0.5,0.9,0.8,1.0,0.7,0.9,0.5,0.5,0.8,0.8,0.8,0.9,0.9,0.3,3.0,3.2,-4,1,0,4,3,0.42689393939393944,2,2,4,5,6,6,4,4,5,2.6666666666666665,4.611111111111112
28,0,7,7,5,5,5,4,2,4,4,2,5,4,2,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.2,0.7,0.2,0.7,0.7,0.1,6.333333333333333,3.7,-1,3,1,2,-2,0.18901515151515152,2,2,4,6,6,6,5,8,6,2.6666666666666665,5.611111111111111
