,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.13256452285226428,-0.07366933465389341,0.11496812843960062,0.18853555192268995,0.1414331305572231,0.3405383775062979,-0.013785084078916312,0.2583678128203487,0.30529867820409123,-0.039859047807230916,0.19186318832879115
Which picture best describes the relationship between Pepper and your country? ,-0.13256452285226428,1.0,0.9351274852394377,0.6054258492400939,0.6438534497247694,0.5013644600960208,0.46826617299200074,0.5262418741506941,0.259490362790338,0.4024614304052929,0.9526654896377079,0.62067573173547
Which picture best describes the relationship between Pepper and your national culture? ,-0.07366933465389341,0.9351274852394377,1.0,0.5616909936545939,0.6518561724876679,0.4711121285913072,0.4815130722105865,0.4945342331923055,0.3057685439837245,0.44157245720628174,0.9361083531361866,0.6223721573618242
Which picture best describes the relationship between Pepper and your own preferences? ,0.11496812843960062,0.6054258492400939,0.5616909936545939,1.0,0.8606078455905029,0.8631597902257493,0.6359872178725905,0.8159689317479637,0.3940739142605814,0.7738933879041319,0.7947244017754154,0.8668896393586756
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.18853555192268995,0.6438534497247694,0.6518561724876679,0.8606078455905029,1.0,0.8441072823540913,0.7676209555819763,0.8435623035708528,0.5658030189661956,0.8728513123228402,0.7951534544367306,0.9464009539747197
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.1414331305572231,0.5013644600960208,0.4711121285913072,0.8631597902257493,0.8441072823540913,1.0,0.7395413739181401,0.7473516144046431,0.4567721075300568,0.826612265471524,0.6724981845830351,0.8988303660058982
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3405383775062979,0.46826617299200074,0.4815130722105865,0.6359872178725905,0.7676209555819763,0.7395413739181401,1.0,0.4674231522453427,0.6305531164067952,0.7595526463876672,0.5845669275410907,0.8309665141372228
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.013785084078916312,0.5262418741506941,0.4945342331923055,0.8159689317479637,0.8435623035708528,0.7473516144046431,0.4674231522453427,1.0,0.39432243826229124,0.783538957369028,0.6746744840373107,0.8348888424795475
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.2583678128203487,0.259490362790338,0.3057685439837245,0.3940739142605814,0.5658030189661956,0.4567721075300568,0.6305531164067952,0.39432243826229124,1.0,0.6636295874044308,0.35288824210471753,0.6921435256146184
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.30529867820409123,0.4024614304052929,0.44157245720628174,0.7738933879041319,0.8728513123228402,0.826612265471524,0.7595526463876672,0.783538957369028,0.6636295874044308,1.0,0.5915500474061584,0.9325131543813853
mean_cultural_closeness,-0.039859047807230916,0.9526654896377079,0.9361083531361866,0.7947244017754154,0.7951534544367306,0.6724981845830351,0.5845669275410907,0.6746744840373107,0.35288824210471753,0.5915500474061584,1.0,0.7772047503726807
mean_competence,0.19186318832879115,0.62067573173547,0.6223721573618242,0.8668896393586756,0.9464009539747197,0.8988303660058982,0.8309665141372228,0.8348888424795475,0.6921435256146184,0.9325131543813853,0.7772047503726807,1.0
