,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.7782520795168563,0.45059416010057285,0.39154168116616406,0.20853708236328486,0.14381094684175894,0.23194479322685282,0.1260000426684187,0.36663201314250865,0.8300690617549112,0.33447691085723347
Which picture best describes the relationship between Pepper and your national culture? ,0.7782520795168563,1.0,0.6571688405242877,0.5746306889319933,0.3696936532780946,0.40560450646064994,0.47756467272673336,0.3433009721865024,0.49401914132553176,0.9273145883894045,0.5621395961205155
Which picture best describes the relationship between Pepper and your own preferences? ,0.45059416010057285,0.6571688405242877,1.0,0.5895226952662556,0.4755076008400657,0.5617780272441211,0.5764687387347535,0.673157800660917,0.5623290201218629,0.8409255019793204,0.7095168981807651
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.39154168116616406,0.5746306889319933,0.5895226952662556,1.0,0.8102581965293134,0.69172910629477,0.8522184482076737,0.6920048534571477,0.8790181483262407,0.6078908359175975,0.9101023616927003
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.20853708236328486,0.3696936532780946,0.4755076008400657,0.8102581965293134,1.0,0.7893587852680706,0.7216076882513747,0.6277499126599628,0.6539878834250074,0.4189558488462719,0.8683172036412024
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.14381094684175894,0.40560450646064994,0.5617780272441211,0.69172910629477,0.7893587852680706,1.0,0.7004042102491742,0.7298646244611456,0.6474671315815734,0.4482749378730384,0.8851906855197362
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.23194479322685282,0.47756467272673336,0.5764687387347535,0.8522184482076737,0.7216076882513747,0.7004042102491742,1.0,0.6428235642301618,0.7972545463816624,0.5115551876059767,0.8824736639128495
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.1260000426684187,0.3433009721865024,0.673157800660917,0.6920048534571477,0.6277499126599628,0.7298646244611456,0.6428235642301618,1.0,0.6334465118178048,0.46871265020624714,0.8267820006984624
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.36663201314250865,0.49401914132553176,0.5623290201218629,0.8790181483262407,0.6539878834250074,0.6474671315815734,0.7972545463816624,0.6334465118178048,1.0,0.5575838675823135,0.8585740687718251
mean_cultural_closeness,0.8300690617549112,0.9273145883894045,0.8409255019793204,0.6078908359175975,0.4189558488462719,0.4482749378730384,0.5115551876059767,0.46871265020624714,0.5575838675823135,1.0,0.6370094671865818
mean_competence,0.33447691085723347,0.5621395961205155,0.7095168981807651,0.9101023616927003,0.8683172036412024,0.8851906855197362,0.8824736639128495,0.8267820006984624,0.8585740687718251,0.6370094671865818,1.0
