Nationality,Participant_ID,Culture_Affinity_Q1,Culture_Affinity_Q2,Culture_Affinity_Q3,Personality_BFI_Q1,Personality_BFI_Q2,Personality_BFI_Q3,Personality_BFI_Q4,Personality_BFI_Q5,Personality_BFI_Q6,Personality_BFI_Q7,Personality_BFI_Q8,Personality_BFI_Q9,Personality_BFI_Q10,Robot_Trust_Q1,Robot_Trust_Q2,Robot_Trust_Q3,Robot_Trust_Q4,Robot_Trust_Q5,Robot_Trust_Q6,Robot_Trust_Q7,Robot_Trust_Q8,Robot_Trust_Q9,Robot_Trust_Q10,Robot_Trust_Q11,Robot_Trust_Q12,Robot_Trust_Q13,Robot_Trust_Q14
German,af963537-2f40-45ef-a585-362b6a0cfa23,5,7,4,2,5,4,1,5,3,4,4,5,3,70,70,50,40,50,60,70,50,80,50,60,80,80,30
Italian, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,6,7,7,4,4,2,5,2,4,1,5,1,5,50,60,40,70,30,50,50,40,70,60,40,60,60,20
German,769f83e0-4702-4b09-930c-53309601ff1f,4,5,5,3,4,2,1,4,4,1,5,5,4,80,80,70,60,60,70,70,70,30,60,30,80,80,30
Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,7,7,7,3,2,4,4,1,5,2,3,3,5,60,40,30,80,80,80,30,30,80,30,60,40,50,80
German,831dea5f-05d3-4907-8ac8-893e24281e36,5,7,5,4,5,3,2,5,5,2,4,5,2,80,60,100,50,50,100,100,100,30,70,50,70,90,20
Italian,3318f716-94c4-4264-a345-2546b545b2a1,6,7,6,1,4,5,5,1,4,2,4,1,5,90,90,70,100,90,100,90,90,10,90,10,100,100,0
German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,6,7,5,3,2,4,3,4,4,4,3,3,4,60,60,50,60,60,70,60,60,60,70,50,80,50,30
German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,5,7,6,4,4,3,2,4,4,2,3,4,4,70,40,40,10,20,90,60,50,50,60,50,70,40,30
Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,7,7,6,4,3,3,4,5,4,3,4,4,5,30,30,30,50,30,70,50,40,60,50,50,70,50,10
Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,2,5,2,5,3,4,1,2,1,2,4,5,5,50,90,80,100,70,90,50,50,80,80,80,90,90,30
German,53d3e943-cd2e-45c1-b454-52e0d27145fb,7,7,5,5,5,4,2,4,4,2,5,4,2,80,90,90,100,100,90,90,100,20,70,20,70,70,10
German,54327bfe-6f42-427f-b32d-02e417005af2,3,6,2,5,3,4,5,2,2,3,4,4,4,80,90,70,70,60,80,80,90,50,90,20,90,70,0
Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,6,7,5,4,1,2,4,4,4,2,3,2,4,90,80,10,80,10,80,90,70,50,70,50,80,70,50
German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,5,6,5,4,3,5,2,5,4,3,5,4,5,80,70,70,80,70,90,90,100,30,50,70,80,70,40
Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,7,7,7,3,2,4,4,4,3,4,4,1,3,70,70,70,90,40,90,70,70,100,60,40,80,80,0
Italian, bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,3,4,5,2,2,4,4,4,3,4,5,2,1,60,70,50,70,30,80,80,70,80,60,60,70,70,20
Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,7,7,7,4,4,2,5,1,5,2,5,2,5,80,60,40,80,20,90,80,70,90,60,40,80,90,10
Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,5,7,7,2,4,1,1,4,5,3,4,4,5,70,70,70,70,60,70,60,70,50,70,50,70,80,60
Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,4,7,5,2,4,1,2,4,5,1,4,2,3,80,70,80,70,90,80,70,70,100,90,50,90,80,40
Italian,c12a3001-11c2-4e38-8bb5-788342191e17,6,7,4,3,3,2,4,4,4,1,4,1,4,70,80,70,50,100,100,90,80,80,80,70,100,90,60
Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,4,7,5,4,3,2,3,3,4,3,4,3,4,60,60,50,80,80,80,70,60,100,70,60,100,100,60
Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,6,7,6,1,5,2,3,4,4,1,4,1,4,80,80,70,90,70,60,60,70,30,80,30,50,40,20
Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,7,7,7,4,4,3,5,4,4,2,3,1,4,80,90,80,90,100,100,90,100,20,70,10,90,60,30
Italian, b1f78262-947f-4f64-b434-66eed804c0a2,4,5,5,3,3,1,2,3,4,2,3,4,3,50,50,50,70,70,70,60,60,70,70,60,70,50,50
Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,7,7,6,2,4,4,4,3,4,2,4,2,3,60,50,50,70,50,100,60,90,80,60,80,80,80,30
German,d510493c-d0f3-4094-8d3b-07d71f8fae47,4,7,7,2,5,4,2,5,5,2,5,5,5,80,90,50,70,30,90,90,100,60,90,90,60,60,40
German,f31981fc-9011-4437-b2d0-b29e34f4d363,3,5,3,4,4,3,3,1,3,2,4,4,4,80,90,80,80,70,80,90,90,20,70,10,70,70,20
Italian, a12345e3-86bb-407c-b37d-958545f2b64b,6,7,7,4,4,2,2,4,5,3,4,4,3,90,80,50,80,70,80,70,100,10,50,20,60,20,0
German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,1,2,4,4,4,3,4,2,3,2,4,4,4,90,80,80,70,80,90,90,90,70,90,50,80,80,50
German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,6,7,6,4,5,2,3,3,4,1,4,4,4,60,70,60,60,60,80,60,60,50,60,30,40,60,30
German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,3,7,5,4,3,1,2,2,3,3,5,3,5,70,90,90,90,50,80,80,90,20,80,30,80,80,30
German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,3,1,4,2,1,5,1,3,4,5,1,5,90,70,70,80,40,50,50,10,100,60,70,90,30,20
German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,4,5,6,4,5,3,5,1,5,2,3,3,5,40,40,50,50,40,50,50,50,30,60,20,40,50,20
Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,7,7,6,2,4,2,2,4,4,2,4,4,4,70,70,60,90,50,80,70,60,90,70,50,80,80,10
German, d07625d6-1896-4f00-88a4-af8f3876f20d,4,5,7,5,4,2,2,3,2,2,4,3,4,100,90,90,80,80,90,100,90,80,90,0,100,50,50
German,48058970-cb05-497a-afdc-417cd948375d,5,6,6,4,3,2,3,4,4,2,5,2,4,100,80,100,90,50,100,100,100,0,80,0,90,70,0
Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,7,7,6,4,5,2,4,4,4,3,3,2,5,70,70,60,40,60,70,80,80,30,80,30,70,80,10
Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,4,7,5,5,5,5,1,4,3,2,5,5,5,70,70,70,100,60,100,90,90,80,70,70,90,80,20
Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,4,7,3,4,5,1,2,4,5,2,4,2,5,90,90,80,100,60,100,90,70,80,90,70,100,80,30
German,4db961c3-1479-418f-a6bc-970fd0316cad,2,2,3,2,4,5,5,3,4,2,4,1,3,80,80,80,80,70,80,80,80,10,10,30,50,60,50
German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,4,3,2,4,4,1,4,3,4,2,4,2,4,100,90,90,60,70,90,80,70,50,80,40,80,70,30
Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,6,6,6,4,4,2,4,3,4,4,4,3,3,80,80,70,50,60,90,80,90,100,80,60,80,80,20
Italian, 73f9f44d-e3dd-4508-ac67-58fec77cb282,5,6,4,2,4,1,5,2,4,2,4,1,2,90,80,70,70,70,90,90,100,100,80,50,80,70,20
German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,1,6,4,3,4,2,2,4,4,4,4,3,5,90,80,90,50,60,90,40,80,70,100,20,80,80,20
German,8a9560ba-939a-4096-ab6b-3d829874c1ab,4,5,6,4,3,4,4,3,4,2,4,5,4,90,70,80,70,70,90,70,70,50,60,30,80,70,10
German,6dae70e5-448b-415e-8971-daab8041bce0,3,5,3,5,4,4,3,2,1,1,2,2,4,80,60,60,70,70,90,80,80,20,50,40,60,50,40
Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,6,6,5,4,5,3,3,4,4,2,4,2,2,80,80,90,70,50,90,90,70,60,80,40,100,90,40
Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,4,7,6,5,5,4,3,3,3,2,4,4,4,70,70,70,80,70,80,80,80,90,80,60,80,80,40
German,101da011-5202-484f-bbcb-37ef039a2d7b,3,4,3,2,3,1,4,2,5,2,5,1,4,60,90,70,90,80,70,60,70,40,60,40,60,40,40
Italian,217bc211-db4a-48da-ba5d-2898104d8269,6,7,5,2,4,4,4,4,4,3,4,2,3,80,70,70,80,70,60,70,80,40,90,20,50,60,30
Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,1,7,5,4,4,4,4,5,5,4,4,3,3,70,70,60,50,70,40,50,40,70,50,50,70,70,20
Italian,703587b0-27fd-4a67-844b-5393d2523a08,5,7,5,3,2,4,4,4,4,3,3,4,2,80,80,100,100,100,100,90,90,0,80,10,90,50,10
German,48fb29b4-5b1d-421c-baca-aad711d9b983,4,5,5,2,3,3,4,2,4,3,3,3,3,70,70,70,70,60,70,70,80,70,80,70,90,100,70
Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,7,7,6,3,2,4,3,4,2,2,4,3,3,80,60,80,90,80,80,90,100,50,70,40,80,50,20
German,c518959a-629d-41c5-9c57-13d23114062a,3,6,4,5,4,2,2,3,2,1,4,4,4,80,70,70,60,60,90,70,80,80,70,50,60,60,40
Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,5,7,6,1,4,3,5,4,5,3,5,1,4,50,80,60,80,70,90,90,100,60,70,50,70,80,40
German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,4,6,3,4,4,3,3,1,4,5,5,5,4,70,60,60,80,60,90,80,90,50,70,50,80,70,60
German,47297d3c-5468-40a0-aa44-6323d590253c,7,5,7,3,5,1,5,5,5,3,5,1,5,70,80,60,80,80,80,70,70,40,70,20,90,70,50
German,306ce31e-7894-4635-86a2-db5a2e2aee61,5,3,6,4,4,2,4,2,4,4,4,3,4,70,60,60,70,70,80,70,50,20,70,30,80,70,20
German,872acdf7-1623-4b13-a37d-e25032e12d76,5,7,6,3,4,3,2,4,4,3,4,2,4,20,80,60,60,60,80,40,40,100,60,80,90,60,10
German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,4,4,4,4,4,3,4,4,3,3,3,2,5,40,40,20,50,30,50,70,70,50,70,40,50,50,60
German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,4,6,5,4,5,1,5,3,4,3,5,4,3,90,100,80,90,100,80,70,60,80,70,40,70,60,40
German,38f76f66-888f-46ad-8272-4a7e2d198c2a,2,7,5,5,5,1,3,4,1,2,4,2,5,100,100,80,60,90,90,100,90,40,80,40,80,90,50
Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,4,7,4,4,5,4,2,4,5,3,2,4,4,80,80,60,90,70,90,90,90,80,90,70,90,90,40
Italian,14f09597-b462-4377-bc8c-ee9f84738755,7,7,7,5,5,1,1,3,4,3,4,4,3,70,70,60,60,70,80,70,70,50,70,40,60,80,30
German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,3,5,5,5,4,3,2,1,1,2,4,5,4,40,60,30,30,20,60,40,20,70,30,60,50,40,10
German,6df4a0d4-25f8-469c-b4e0-03d254d49444,5,6,4,4,5,2,2,4,4,1,4,4,4,70,90,90,90,50,60,70,90,10,80,10,60,50,30
Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,6,6,6,2,3,1,5,4,5,3,5,4,2,70,60,60,80,60,90,80,70,90,90,80,90,70,70
German,bace0f65-c427-49a3-b91f-82b51bd6547c,5,7,6,4,5,3,5,4,3,1,5,3,5,50,50,30,70,60,70,70,40,80,90,80,80,70,80
German,14d250d1-b72e-404d-8fd4-894c0d375599,4,7,5,4,5,1,4,1,3,2,5,3,5,80,80,80,80,80,80,50,70,70,80,50,50,50,40
German,7136f1af-5dd3-4449-8119-25485f011a03,2,4,3,4,5,2,5,5,2,2,4,3,3,90,90,80,90,80,90,90,70,90,90,90,90,90,50
Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,4,6,6,4,2,5,3,1,4,3,2,1,5,80,70,70,100,50,80,80,70,30,60,50,90,80,40
Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,2,2,4,5,3,1,5,3,3,2,5,1,4,70,70,80,80,80,70,70,60,80,80,30,80,80,30
German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,3,6,5,4,5,2,4,1,4,2,3,3,2,80,80,50,80,80,80,100,90,50,90,50,50,50,30
German,7719d904-e3b3-4a09-8390-2c4d8b90742d,4,6,5,2,5,3,4,2,4,3,3,2,4,80,80,80,30,50,50,70,80,60,70,40,70,70,30
Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,5,6,7,4,3,2,3,3,5,3,5,4,5,80,90,80,50,40,60,80,90,50,80,30,70,40,30
Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,5,7,7,4,4,2,4,1,3,2,3,4,4,70,60,80,80,70,90,80,90,80,70,30,60,70,10
German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,2,6,3,4,5,4,3,5,5,4,3,5,5,90,70,80,70,70,90,80,90,10,80,10,80,70,10
German,e81a5e00-04a4-4a7d-99cb-8db952ea7448,4,6,5,2,4,2,2,4,4,3,4,4,4,70,70,70,40,40,70,70,60,40,70,10,80,70,20
German,e477d8c2-4e46-4431-a43b-858494c9f174,4,7,4,5,4,3,3,4,3,3,4,5,5,80,70,80,80,80,80,80,80,60,80,30,80,80,30
